"token","lsd","n"
"carry",0,8
"change",0,8
"cleaned",1,8
"completely",0,8
"current",0,8
"delivery",0,8
"dollar",0,8
"drive",0,8
"dry",0,8
"duct",0,8
"epoxy",0,8
"expect",0,8
"feels",0,8
"flimsy",-1,8
"foam",0,8
"furnace",0,8
"garage",0,8
"handy",1,8
"hooks",0,8
"items",0,8
"jobs",0,8
"laptop",0,8
"leaked",-1,8
"length",0,8
"line",0,8
"looked",0,8
"magnetic",0,8
"material",0,8
"measurement",0,8
"pack",0,8
"packaging",0,8
"paid",0,8
"purposes",0,8
"rating",0,8
"rubber",0,8
"satisfied",1,8
"save",0,8
"seal",0,8
"seller",0,8
"silver",0,8
"simply",0,8
"single",0,8
"sleeve",0,8
"sprayer",0,8
"stand",0,8
"stay",0,8
"stock",0,8
"strip",0,8
"sturdy",1,8
"suction",0,8
"taking",0,8
"terralux",0,8
"tube",0,8
"type",0,8
"weak",-1,8
"12",0,7
"24",0,7
"7",0,7
"application",0,7
"arctic",0,7
"arms",0,7
"awesome",1,7
"barely",-1,7
"company",0,7
"control",0,7
"correct",1,7
"covers",0,7
"cpu",0,7
"cups",0,7
"cure",1,7
"decided",0,7
"designed",0,7
"dust",0,7
"electrical",0,7
"failed",-1,7
"fall",0,7
"fat",0,7
"figure",0,7
"fits",0,7
"fix",0,7
"hope",1,7
"hours",0,7
"impossible",-1,7
"indicator",0,7
"jaws",0,7
"legs",0,7
"lift",0,7
"liquid",0,7
"loud",0,7
"measure",0,7
"measurements",0,7
"mine",0,7
"moved",0,7
"nailer",0,7
"note",0,7
"oil",0,7
"oral",0,7
"output",0,7
"pain",-1,7
"past",0,7
"pin",0,7
"position",0,7
"prefer",0,7
"press",0,7
"probe",0,7
"recently",0,7
"remove",0,7
"replaced",0,7
"rest",0,7
"service",0,7
"shape",0,7
"sheets",0,7
"slow",0,7
"snap",0,7
"solid",0,7
"solution",0,7
"spent",0,7
"spring",0,7
"steam",0,7
"stuck",0,7
"surface",0,7
"tighten",0,7
"tiny",0,7
"tip",0,7
"washer",0,7
"wheels",0,7
"30",0,6
"3rd",0,6
"attachments",0,6
"based",0,6
"beat",0,6
"blade",0,6
"boards",0,6
"bulbs",0,6
"cables",0,6
"changed",0,6
"clamp",0,6
"complete",0,6
"connections",0,6
"correctly",1,6
"cream",0,6
"delivered",0,6
"dentist",0,6
"design",0,6
"dial",0,6
"duty",0,6
"electric",0,6
"factory",0,6
"fairly",0,6
"fell",0,6
"flat",0,6
"function",0,6
"glass",0,6
"green",0,6
"hate",-1,6
"holding",0,6
"hook",0,6
"hoses",0,6
"incandescent",0,6
"installation",0,6
"installed",0,6
"keeping",1,6
"leds",0,6
"level",0,6
"lid",0,6
"lids",0,6
"lights",0,6
"lose",-1,6
"lost",-1,6
"lots",0,6
"machine",0,6
"main",0,6
"middle",0,6
"mist",-1,6
"mount",0,6
"noisy",0,6
"normal",1,6
"panels",0,6
"polish",1,6
"processor",0,6
"putting",0,6
"reading",0,6
"realize",0,6
"reviewtime",0,6
"sink",-1,6
"slide",0,6
"slightly",0,6
"solder",0,6
"spend",0,6
"stapler",0,6
"stick",0,6
"summary",0,6
"takes",0,6
"temperature",0,6
"temps",0,6
"testing",0,6
"tile",0,6
"unixreviewtime",0,6
"verified",0,6
"25",0,5
"ac",0,5
"accuracy",1,5
"accurate",1,5
"adjust",0,5
"adjustable",0,5
"ammo",0,5
"anymore",0,5
"appears",0,5
"applied",0,5
"applying",0,5
"aware",0,5
"awkward",-1,5
"beam",0,5
"belts",0,5
"bigger",0,5
"blades",0,5
"bleach",0,5
"boss",0,5
"brought",0,5
"building",0,5
"built",0,5
"button",0,5
"calipers",0,5
"carpet",0,5
"center",0,5
"chip",0,5
"class",0,5
"connected",0,5
"consistently",0,5
"construction",0,5
"contacted",0,5
"conversion",0,5
"costs",0,5
"cover",0,5
"crap",-1,5
"cross",0,5
"defect",-1,5
"devices",0,5
"dollars",0,5
"drain",0,5
"driver",0,5
"dropped",0,5
"due",0,5
"edges",0,5
"exact",0,5
"expecting",0,5
"feet",0,5
"fingers",0,5
"firmly",1,5
"fridge",0,5
"gauge",0,5
"grab",-1,5
"handles",0,5
"hardware",0,5
"hardwood",0,5
"hole",0,5
"huge",0,5
"im",0,5
"immediately",0,5
"included",0,5
"inexpensive",1,5
"jb",0,5
"kinda",0,5
"lasts",0,5
"leaking",-1,5
"leave",0,5
"listed",0,5
"loved",1,5
"lower",0,5
"measuring",0,5
"mechanism",0,5
"mess",-1,5
"mind",0,5
"minor",0,5
"mixed",0,5
"mounted",0,5
"mounting",0,5
"noise",0,5
"noticed",0,5
"overlap",0,5
"owned",0,5
"pads",0,5
"panel",0,5
"philips",0,5
"pictured",0,5
"pins",0,5
"pop",0,5
"post",0,5
"powerful",1,5
"professional",0,5
"projects",0,5
"provided",0,5
"pull",0,5
"purchasing",0,5
"reasonable",1,5
"receptacle",0,5
"response",0,5
"result",0,5
"round",0,5
"rv",0,5
"securely",0,5
"selling",0,5
"served",0,5
"shoulder",0,5
"shut",0,5
"signal",0,5
"slippery",-1,5
"smooth",1,5
"son",0,5
"sprayers",0,5
"square",0,5
"start",0,5
"started",0,5
"stated",0,5
"stays",0,5
"steamer",0,5
"stream",0,5
"surefires",0,5
"tall",0,5
"temp",0,5
"threads",0,5
"toothpaste",0,5
"tv",0,5
"uncomfortable",-1,5
"upright",1,5
"voltage",0,5
"weld",0,5
"wobbly",0,5
"wow",0,5
"16",0,4
"20",0,4
"4d",0,4
"60",0,4
"absolutely",0,4
"actual",1,4
"addition",0,4
"antenna",0,4
"attach",1,4
"attached",0,4
"badly",-1,4
"bags",0,4
"balance",1,4
"basically",0,4
"bend",0,4
"bite",-1,4
"bits",0,4
"black",0,4
"blue",0,4
"boxes",0,4
"brightness",1,4
"brushing",0,4
"cabinet",0,4
"car",0,4
"card",0,4
"checked",0,4
"circuit",0,4
"clogged",-1,4
"compare",0,4
"complaint",-1,4
"compressor",0,4
"condition",0,4
"contractor",0,4
"cooling",0,4
"cord",0,4
"crimped",0,4
"customer",0,4
"cutting",-1,4
"damage",-1,4
"dark",-1,4
"dealing",0,4
"diameter",0,4
"directions",0,4
"dlp",0,4
"doesnt",0,4
"dometic",0,4
"double",-1,4
"dropper",0,4
"drywall",0,4
"durable",0,4
"electronic",0,4
"electronics",0,4
"extremely",0,4
"fault",-1,4
"faulty",-1,4
"feeling",0,4
"fill",0,4
"filling",0,4
"flashlights",0,4
"flow",0,4
"folks",0,4
"force",0,4
"fresh",1,4
"fuel",0,4
"gap",0,4
"generator",0,4
"glad",1,4
"gloss",0,4
"guage",0,4
"hands",0,4
"hang",0,4
"harder",-1,4
"hour",0,4
"hqrp",0,4
"ii",0,4
"improve",1,4
"improvement",1,4
"insert",0,4
"intended",0,4
"issues",0,4
"kits",0,4
"lap",0,4
"left",0,4
"lever",0,4
"limited",-1,4
"link",0,4
"live",0,4
"locks",0,4
"lowes",0,4
"luck",1,4
"lumens",0,4
"market",0,4
"matter",0,4
"means",0,4
"meter",0,4
"mini",0,4
"minute",0,4
"mop",0,4
"mouth",0,4
"mouthwash",0,4
"nailing",0,4
"nozzle",0,4
"nut",0,4
"office",0,4
"paint",0,4
"pair",0,4
"pink",0,4
"plaque",0,4
"play",0,4
"pleased",1,4
"plugged",0,4
"plywood",0,4
"pocket",0,4
"poles",0,4
"port",0,4
"precision",1,4
"prevent",0,4
"pricey",0,4
"probes",0,4
"process",0,4
"promised",0,4
"provide",1,4
"pushing",0,4
"rated",0,4
"reach",0,4
"returning",0,4
"road",0,4
"safety",1,4
"saved",0,4
"scalpel",0,4
"screwed",-1,4
"scrubber",0,4
"section",0,4
"secure",1,4
"series",0,4
"setting",0,4
"sharp",0,4
"shims",0,4
"shine",0,4
"similar",0,4
"site",0,4
"sitting",0,4
"situation",0,4
"skin",0,4
"slides",0,4
"smell",0,4
"socket",0,4
"sonic",0,4
"space",0,4
"special",1,4
"spout",0,4
"sprays",0,4
"spread",0,4
"stainless",0,4
"star",0,4
"stores",0,4
"superior",1,4
"supply",0,4
"surfaces",0,4
"systems",0,4
"table",0,4
"tank",0,4
"tend",0,4
"thicker",0,4
"threaded",0,4
"tips",0,4
"told",0,4
"total",0,4
"trash",0,4
"trick",-1,4
"trigger",0,4
"troubleshooting",-1,4
"truck",0,4
"trust",1,4
"unable",-1,4
"upgrade",1,4
"vehicles",0,4
"video",0,4
"wasted",-1,4
"wear",0,4
"wedge",0,4
"weeks",0,4
"weird",-1,4
"wife",0,4
"window",0,4
"worthless",-1,4
"yellow",0,4
"yellowish",0,4
"03",0,3
"1.5",0,3
"1000",0,3
"11",0,3
"2.0",0,3
"250",0,3
"2d",0,3
"32",0,3
"3d",0,3
"acceptable",1,3
"adapter",0,3
"added",0,3
"adhere",1,3
"age",0,3
"allowing",0,3
"alternative",0,3
"amazing",1,3
"annoying",-1,3
"appliance",0,3
"apply",0,3
"aspect",0,3
"attention",0,3
"auto",0,3
"avail",0,3
"average",0,3
"avoid",-1,3
"bob",0,3
"bosch",0,3
"breaking",-1,3
"breaks",0,3
"bricks",0,3
"bring",0,3
"brisk",0,3
"bulk",0,3
"bungees",0,3
"cages",0,3
"calibration",0,3
"called",0,3
"capability",1,3
"capacitor",0,3
"carpets",0,3
"carried",0,3
"carrying",0,3
"cars",0,3
"cartridge",0,3
"casters",0,3
"caused",0,3
"causing",0,3
"caution",0,3
"cement",0,3
"charge",-1,3
"cheapest",1,3
"cheaply",1,3
"chef",0,3
"choice",0,3
"claim",0,3
"clamps",0,3
"closed",0,3
"coarse",-1,3
"coat",0,3
"collar",0,3
"colors",0,3
"coming",0,3
"commercial",0,3
"complaints",-1,3
"computer",0,3
"concept",0,3
"concern",-1,3
"connecting",0,3
"connection",0,3
"consistent",1,3
"contact",0,3
"contents",0,3
"cool",0,3
"cooler",0,3
"cracked",0,3
"daily",0,3
"damaged",-1,3
"date",0,3
"debris",0,3
"defective",-1,3
"degree",0,3
"dental",0,3
"depot",0,3
"device",0,3
"disappointing",-1,3
"disappointment",-1,3
"discover",1,3
"distance",0,3
"dogs",0,3
"dont",0,3
"doors",0,3
"dose",0,3
"drop",0,3
"dull",-1,3
"effectively",1,3
"effort",1,3
"elite",0,3
"engineering",0,3
"eureka",0,3
"excess",0,3
"existing",0,3
"experience",0,3
"experienced",0,3
"exposed",0,3
"eye",0,3
"failure",-1,3
"fair",1,3
"falling",0,3
"fasteners",0,3
"fills",0,3
"filter",0,3
"finally",0,3
"finish",0,3
"fittings",0,3
"fixed",0,3
"flooring",0,3
"focus",0,3
"foot",0,3
"forever",0,3
"forget",-1,3
"fragile",-1,3
"frame",0,3
"free",1,3
"frequency",0,3
"friend",1,3
"ft",0,3
"gadget",0,3
"gloves",0,3
"glues",0,3
"greatly",0,3
"ground",0,3
"guide",0,3
"guns",0,3
"guy",0,3
"hair",0,3
"handling",0,3
"hanging",0,3
"happen",0,3
"happening",0,3
"hardener",-1,3
"hassle",-1,3
"height",0,3
"helpful",1,3
"hinge",0,3
"hooked",0,3
"horrible",-1,3
"hp",0,3
"humidity",0,3
"hung",0,3
"husband",0,3
"improved",1,3
"india",0,3
"industry",0,3
"inlet",0,3
"installing",0,3
"insulation",0,3
"investment",0,3
"jam",0,3
"la",0,3
"laminate",0,3
"lamp",0,3
"late",0,3
"laying",0,3
"lbs",0,3
"lead",0,3
"learned",1,3
"leaves",0,3
"lite",0,3
"loss",-1,3
"loves",1,3
"magic",0,3
"maglight",0,3
"major",0,3
"manufacturer",0,3
"match",0,3
"materials",0,3
"mention",0,3
"methods",0,3
"mfg",0,3
"microwave",0,3
"misleading",-1,3
"missing",0,3
"mixture",0,3
"models",0,3
"moisture",0,3
"multiple",0,3
"nail",0,3
"needle",0,3
"needless",0,3
"nicely",1,3
"noted",0,3
"noticeably",0,3
"nthe",0,3
"oacute",0,3
"ohms",0,3
"outdoor",0,3
"outlet",0,3
"oven",0,3
"oz",0,3
"pad",0,3
"pairs",0,3
"pattern",0,3
"pegboards",0,3
"pelican",0,3
"perform",0,3
"performance",0,3
"periods",0,3
"personally",0,3
"pick",0,3
"pinch",-1,3
"pipe",0,3
"plug",0,3
"plunger",0,3
"polishing",1,3
"popped",0,3
"ports",0,3
"possibly",0,3
"previous",0,3
"priced",0,3
"printing",0,3
"psi",0,3
"puller",0,3
"rate",0,3
"ready",1,3
"realized",0,3
"receive",0,3
"refund",0,3
"removing",0,3
"replacements",0,3
"require",0,3
"residue",0,3
"ridiculous",-1,3
"roll",0,3
"rollers",0,3
"runs",0,3
"sale",0,3
"scheduled",0,3
"scrapers",0,3
"screwing",-1,3
"scrub",0,3
"sell",0,3
"send",0,3
"sending",0,3
"shelf",0,3
"shoulders",0,3
"shower",0,3
"shown",0,3
"sideways",0,3
"siding",0,3
"significant",1,3
"similarly",0,3
"slips",0,3
"smith",0,3
"sound",1,3
"source",0,3
"spaces",0,3
"speed",0,3
"spot",0,3
"stains",0,3
"steamers",0,3
"stiff",-1,3
"stopper",0,3
"storage",0,3
"strength",1,3
"stronger",1,3
"sucks",-1,3
"sump",0,3
"supplies",0,3
"surprised",0,3
"tad",0,3
"temporary",0,3
"ten",0,3
"tested",0,3
"thermometer",0,3
"tightly",0,3
"tipped",0,3
"tired",-1,3
"toilet",-1,3
"tongue",0,3
"tooth",0,3
"transfer",0,3
"travel",0,3
"tubes",0,3
"twist",0,3
"underneath",0,3
"unhappy",-1,3
"unscrew",0,3
"upper",0,3
"usa",0,3
"velcro",0,3
"version",0,3
"vertical",0,3
"vinyl",0,3
"wait",-1,3
"waiting",0,3
"weeds",-1,3
"wind",0,3
"wonderful",1,3
"wrap",0,3
"wrench",0,3
"zip",0,3
"0.2",0,2
"1.6",0,2
"10c",0,2
"10x",0,2
"13",0,2
"13,500",0,2
"140",0,2
"150",0,2
"15mmhg",0,2
"18",0,2
"18324",0,2
"1980s",0,2
"200",0,2
"22",0,2
"3000",0,2
"350",0,2
"3handcpack",0,2
"4.0",0,2
"4.5",0,2
"40",0,2
"45",0,2
"48",0,2
"4x4",0,2
"5.0",0,2
"60172",0,2
"80c",0,2
"90",0,2
"accessible",1,2
"account",0,2
"ad",0,2
"adapt",0,2
"adaptations",0,2
"adequate",1,2
"adhesive",0,2
"adjusted",0,2
"adjustment",0,2
"advise",0,2
"aid",1,2
"aim",0,2
"airflow",0,2
"alcohol",0,2
"alligator",0,2
"allowed",1,2
"alot",0,2
"alternatives",0,2
"aluminum",0,2
"angle",0,2
"apartment",0,2
"apparently",0,2
"applications",0,2
"armoire",0,2
"as5",0,2
"assembled",0,2
"attic",0,2
"awful",-1,2
"backup",0,2
"bagged",0,2
"ball",0,2
"bar",0,2
"basement",0,2
"batch",0,2
"bathroom",0,2
"bc",0,2
"bear",0,2
"beautiful",1,2
"beautifully",1,2
"bedroom",0,2
"belt",0,2
"blower",0,2
"boiler",0,2
"bolt",-1,2
"bones",0,2
"boots",0,2
"bother",-1,2
"brackets",0,2
"brands",0,2
"breathe",0,2
"bridge",0,2
"brings",0,2
"btw",0,2
"bubble",0,2
"bucks",0,2
"buff",0,2
"buffer",0,2
"bug",-1,2
"builds",0,2
"burn",-1,2
"business",0,2
"buyers",0,2
"calibrated",0,2
"caliper",0,2
"call",0,2
"capacity",0,2
"capture",0,2
"carbs",0,2
"careful",1,2
"carefully",1,2
"carpeting",0,2
"caulk",0,2
"ceramic",0,2
"cfl",0,2
"chain",0,2
"chance",0,2
"charged",-1,2
"charging",0,2
"chinese",0,2
"choose",0,2
"christmas",0,2
"claims",0,2
"clamped",0,2
"cleaners",0,2
"cleans",1,2
"clients",0,2
"clog",-1,2
"closer",0,2
"cm",0,2
"cm_cr_arp_d_rvw_txt",0,2
"coating",0,2
"codes",0,2
"cold",-1,2
"collated",0,2
"collection",0,2
"combination",0,2
"comfortable",1,2
"companies",0,2
"components",0,2
"composite",0,2
"conditioner",0,2
"connect",1,2
"connector",0,2
"connects",0,2
"considerably",0,2
"constructed",1,2
"contacts",0,2
"contained",0,2
"containers",0,2
"continually",0,2
"continue",0,2
"continuity",1,2
"continuously",0,2
"corners",0,2
"couch",0,2
"counterfeit",-1,2
"counters",0,2
"coupling",0,2
"cpu's",0,2
"craft",0,2
"crannies",0,2
"crimp",0,2
"cycles",0,2
"dangerous",-1,2
"dap",0,2
"data",0,2
"daytime",0,2
"dead",-1,2
"decade",0,2
"deck",0,2
"deep",0,2
"del",0,2
"department",0,2
"depends",0,2
"depress",-1,2
"desired",1,2
"die",-1,2
"died",-1,2
"direction",0,2
"discolored",0,2
"display",0,2
"disposable",0,2
"dog",0,2
"dolly",0,2
"doubt",-1,2
"dozens",0,2
"dp",0,2
"drawback",-1,2
"dressers",0,2
"dripping",0,2
"dual",0,2
"earth",0,2
"economical",0,2
"effectiveness",1,2
"efficient",1,2
"eliminate",-1,2
"em",0,2
"emergency",-1,2
"empty",-1,2
"enamel",0,2
"energizer",1,2
"engaged",0,2
"entire",0,2
"epoxies",0,2
"equally",0,2
"error",-1,2
"essentially",0,2
"everyday",0,2
"exchange",0,2
"expectations",0,2
"extended",0,2
"extension",0,2
"faberware",0,2
"fabric",0,2
"fails",-1,2
"failures",-1,2
"falls",0,2
"family",0,2
"fashion",0,2
"fastcap",0,2
"faster",0,2
"feature",0,2
"female",0,2
"fiber",0,2
"field",0,2
"file",0,2
"filters",0,2
"finding",0,2
"finger",0,2
"finished",0,2
"fitting",0,2
"flash",0,2
"flaw",-1,2
"flawed",-1,2
"fluid",0,2
"fluke",0,2
"fold",0,2
"footing",0,2
"form",0,2
"formula",0,2
"forward",1,2
"frameing",0,2
"framing",0,2
"freight",0,2
"frequently",0,2
"front",0,2
"fun",1,2
"functional",0,2
"funny",1,2
"fyi",0,2
"game",0,2
"garbage",0,2
"gel",0,2
"generation",0,2
"giving",0,2
"globe",0,2
"gorilla",0,2
"gown",0,2
"gpu",0,2
"greenhouse",0,2
"grey",0,2
"guarantee",0,2
"hanger",0,2
"hangers",0,2
"hanson",0,2
"harnesses",1,2
"heater",0,2
"heating",0,2
"helped",1,2
"hemostats",0,2
"hit",0,2
"hitachi",0,2
"hobby",0,2
"hobbyist",0,2
"holder",0,2
"homes",0,2
"hoover",0,2
"hoped",1,2
"hospital",0,2
"hot",0,2
"hr",0,2
"href",0,2
"humid",0,2
"hurt",-1,2
"i.e",0,2
"i7",0,2
"idle",-1,2
"illuminated",1,2
"image",0,2
"immensely",0,2
"impressed",1,2
"inches",0,2
"incline",0,2
"including",0,2
"infomercial",0,2
"instantly",0,2
"instruction",0,2
"insulating",0,2
"interferes",-1,2
"internet",0,2
"invaluable",1,2
"involved",0,2
"iron",0,2
"jammed",0,2
"jig",0,2
"joke",1,2
"jumper",0,2
"kicks",-1,2
"knurled",0,2
"kreg",0,2
"kwikweld",0,2
"lab",0,2
"label",0,2
"lack",-1,2
"largest",0,2
"lawn",0,2
"leakage",-1,2
"leaky",-1,2
"learning",1,2
"leaving",0,2
"lengths",0,2
"lifetime",0,2
"lifting",0,2
"lightweight",0,2
"lime",0,2
"limit",-1,2
"lined",0,2
"linked",0,2
"literally",0,2
"lithium",0,2
"loads",0,2
"locally",0,2
"located",0,2
"locked",0,2
"loops",0,2
"lossy",-1,2
"lowest",0,2
"lube",0,2
"luckily",1,2
"magnet",0,2
"malco",0,2
"manage",0,2
"manual",0,2
"marginal",0,2
"masking",0,2
"master",0,2
"max",0,2
"meant",0,2
"med",0,2
"medical",0,2
"medium",0,2
"meds",0,2
"meet",0,2
"meets",0,2
"mercedes",0,2
"method",0,2
"metric",0,2
"mhz",0,2
"microwaves",0,2
"miles",0,2
"million",0,2
"mistake",-1,2
"mix",0,2
"mixing",0,2
"mold",-1,2
"monroe",0,2
"mother",0,2
"movement",0,2
"moves",0,2
"mower",0,2
"multimeter",0,2
"napa",0,2
"narrow",0,2
"natural",0,2
"nbsp",0,2
"neat",1,2
"necessarily",0,2
"neck",0,2
"negative",-1,2
"nozzles",0,2
"numerous",0,2
"o'ring",0,2
"oak",0,2
"object",0,2
"obvious",0,2
"offers",0,2
"oily",0,2
"online",0,2
"operate",0,2
"option",0,2
"options",0,2
"overheat",0,2
"overkill",0,2
"overpriced",0,2
"packages",0,2
"packed",0,2
"paladin",0,2
"pan",0,2
"panasonic",0,2
"partial",0,2
"pass",0,2
"passing",0,2
"pasta",0,2
"pc",0,2
"peel",0,2
"pegs",0,2
"people's",0,2
"performed",0,2
"permanent",0,2
"phillips",0,2
"photo",0,2
"pine",0,2
"plain",0,2
"planned",0,2
"plate",0,2
"playhouse",0,2
"pliers",0,2
"plugs",0,2
"poorly",-1,2
"pops",0,2
"portion",0,2
"positive",1,2
"pour",0,2
"pouring",0,2
"powered",0,2
"practical",1,2
"practically",1,2
"private",0,2
"pro",0,2
"produces",0,2
"progress",1,2
"prompt",1,2
"proof",0,2
"proper",1,2
"proved",0,2
"pulling",0,2
"punch",-1,2
"purge",0,2
"push",0,2
"pushed",0,2
"quantity",0,2
"queen",0,2
"quiet",0,2
"raise",0,2
"raised",0,2
"ran",0,2
"range",0,2
"ranging",0,2
"readings",0,2
"realizing",0,2
"recessed",0,2
"recieved",0,2
"redesigned",0,2
"reduce",0,2
"reduced",0,2
"reducing",0,2
"ref",0,2
"refrigerator",0,2
"regret",-1,2
"regulations",0,2
"release",0,2
"reliable",1,2
"remain",0,2
"remember",0,2
"remodel",1,2
"removes",0,2
"replacing",0,2
"report",0,2
"required",0,2
"research",0,2
"retailer",0,2
"rigid",-1,2
"rings",0,2
"rip",-1,2
"riveter",0,2
"rolled",0,2
"rough",-1,2
"rubbermaid",0,2
"rustaid",0,2
"rusted",0,2
"sander",0,2
"satisfactory",1,2
"science",0,2
"scissors",0,2
"screen",0,2
"screwdriver",0,2
"scrubbing",0,2
"sealed",0,2
"search",0,2
"seat",0,2
"senco",0,2
"sensations",1,2
"serves",0,2
"setup",0,2
"shaft",0,2
"shake",-1,2
"shark",0,2
"sharpie",0,2
"ship",0,2
"shipment",0,2
"shocks",-1,2
"shopping",0,2
"shopvac",0,2
"sign",0,2
"significantly",0,2
"situations",0,2
"sized",0,2
"skillet",0,2
"slightest",0,2
"sloppy",-1,2
"smeared",-1,2
"snips",0,2
"snow",0,2
"someday",0,2
"sores",-1,2
"sort",0,2
"spending",0,2
"spill",-1,2
"spills",-1,2
"spinning",0,2
"splitter",0,2
"spots",0,2
"sq",0,2
"squeak",0,2
"squeeze",0,2
"stable",1,2
"stake",0,2
"stamp",0,2
"stamped",0,2
"starter",0,2
"stayed",0,2
"sticks",0,2
"sticky",-1,2
"stinks",-1,2
"stops",0,2
"stored",0,2
"storing",0,2
"stress",-1,2
"stripe",0,2
"stud",0,2
"suggest",0,2
"suggested",0,2
"suggestion",0,2
"suitable",1,2
"summer",0,2
"support",1,2
"surprise",0,2
"switching",0,2
"syringe",0,2
"tactical",0,2
"taller",0,2
"tanks",0,2
"target",0,2
"taste",0,2
"tear",-1,2
"technique",0,2
"temperatures",0,2
"tempered",-1,2
"tensile",0,2
"thankfully",1,2
"thermometers",0,2
"thick",0,2
"thickness",0,2
"tho",0,2
"threading",0,2
"threw",0,2
"thrown",0,2
"tie",0,2
"tightened",0,2
"tighter",0,2
"till",0,2
"toes",0,2
"tore",0,2
"tote",0,2
"touch",0,2
"tough",-1,2
"towels",0,2
"track",0,2
"tractor",0,2
"trail",0,2
