"token","lsd","n"
"run",0,36
"sovereignty",0,36
"votes",0,36
"alternative",0,35
"bench",0,35
"benchers",0,35
"benefits",1,35
"commission",0,35
"consideration",1,35
"courts",0,35
"discuss",0,35
"experience",0,35
"immigration",0,35
"left",0,35
"mail",0,35
"prisoners",-1,35
"protect",1,35
"royal",0,35
"rural",0,35
"shadow",-1,35
"single",0,35
"amount",0,34
"building",0,34
"companies",0,34
"completely",0,34
"cost",0,34
"favour",0,34
"mps",0,34
"raise",0,34
"recall",0,34
"require",0,34
"road",0,34
"age",0,33
"businesses",0,33
"claim",0,33
"continue",0,33
"extremely",0,33
"family",0,33
"fundamental",0,33
"importance",0,33
"paid",0,33
"powerful",1,33
"practice",0,33
"role",0,33
"sense",1,33
"standards",0,33
"suggested",0,33
"costs",0,32
"debated",0,32
"effectively",1,32
"executive",0,32
"include",0,32
"questions",0,32
"test",0,32
"tonight",0,32
"true",1,32
"armed",0,31
"bit",0,31
"central",0,31
"choice",0,31
"colleagues",1,31
"comment",0,31
"committees",0,31
"debt",-1,31
"english",0,31
"form",0,31
"freedom",1,31
"inquiries",0,31
"lead",0,31
"low",0,31
"million",0,31
"nhs",0,31
"primary",0,31
"research",0,31
"seek",0,31
"stand",0,31
"takes",0,31
"word",0,31
"workers",0,31
"accepted",1,30
"civil",1,30
"effective",1,30
"failed",-1,30
"hospital",0,30
"huge",0,30
"investment",0,30
"legislative",0,30
"lives",0,30
"main",0,30
"market",0,30
"offices",0,30
"received",0,30
"recent",0,30
"relation",0,30
"security",0,30
"slightly",0,30
"specific",0,30
"terrorism",-1,30
"5",0,29
"city",0,29
"international",0,29
"offer",0,29
"prepared",0,29
"proceedings",0,29
"regulations",0,29
"simple",0,29
"standing",0,29
"war",-1,29
"affairs",0,28
"balance",1,28
"brought",0,28
"clauses",0,28
"confirm",1,28
"cut",0,28
"democratic",0,28
"employment",0,28
"fair",1,28
"fear",-1,28
"found",0,28
"individual",0,28
"innocent",1,28
"key",0,28
"meet",0,28
"mind",0,28
"minutes",0,28
"relationship",0,28
"remarks",0,28
"similar",0,28
"sort",0,28
"students",0,28
"suggest",0,28
"trust",1,28
"weeks",0,28
"application",0,27
"bad",-1,27
"ballot",0,27
"behalf",1,27
"credit",1,27
"data",0,27
"decided",0,27
"detail",0,27
"difficulty",-1,27
"direction",0,27
"doubt",-1,27
"electoral",0,27
"hard",-1,27
"hour",0,27
"industry",0,27
"lack",-1,27
"perfectly",0,27
"pre",0,27
"rules",0,27
"scheme",0,27
"seeking",0,27
"statement",0,27
"stop",0,27
"afternoon",0,26
"campaign",0,26
"context",0,26
"danger",-1,26
"dealing",0,26
"evening",0,26
"governments",0,26
"growth",0,26
"happy",1,26
"history",0,26
"hold",0,26
"manifesto",0,26
"people's",0,26
"pleased",1,26
"policing",0,26
"purpose",0,26
"read",0,26
"response",0,26
"setting",0,26
"size",0,26
"spend",0,26
"spending",0,26
"tomorrow",0,26
"university",0,26
"yesterday",0,26
"28",0,25
"affected",-1,25
"attention",0,25
"britain",0,25
"capital",0,25
"citizens",0,25
"devolved",0,25
"disagree",-1,25
"duty",0,25
"energy",0,25
"existing",0,25
"head",0,25
"list",0,25
"opinion",0,25
"prevent",0,25
"reduce",0,25
"remain",0,25
"staff",0,25
"unemployment",0,25
"youth",0,25
"16",0,24
"carefully",1,24
"conditions",0,24
"congratulate",1,24
"county",0,24
"extra",0,24
"grant",0,24
"impossible",-1,24
"intend",0,24
"introduce",0,24
"listen",0,24
"living",0,24
"press",0,24
"regulation",0,24
"sovereign",0,24
"substantial",0,24
"12",0,23
"13",0,23
"advice",0,23
"ahead",0,23
"appeal",0,23
"changed",0,23
"common",0,23
"consensus",1,23
"criteria",0,23
"cross",0,23
"deficit",-1,23
"department",0,23
"discussed",0,23
"expect",0,23
"friend's",0,23
"helpful",1,23
"included",0,23
"led",0,23
"letter",0,23
"light",0,23
"limited",-1,23
"moved",0,23
"parliaments",0,23
"prices",0,23
"procedures",0,23
"provided",0,23
"realise",0,23
"reality",0,23
"reference",0,23
"sorts",0,23
"statistics",0,23
"transport",0,23
"tribute",1,23
"worried",-1,23
"18",0,22
"1997",0,22
"achieved",1,22
"administration",0,22
"assessment",0,22
"attempt",0,22
"chance",0,22
"changing",0,22
"contribution",1,22
"dealt",0,22
"definition",0,22
"deliver",0,22
"devolution",0,22
"discussions",0,22
"figure",0,22
"green",0,22
"heart",0,22
"income",0,22
"listening",0,22
"lost",-1,22
"pensions",0,22
"play",0,22
"pupils",0,22
"recommendations",0,22
"remove",0,22
"rest",0,22
"rise",0,22
"skills",0,22
"spoke",0,22
"threat",-1,22
"treatment",0,22
"15",0,21
"9",0,21
"ability",1,21
"accountability",1,21
"acknowledge",0,21
"allowing",0,21
"argued",-1,21
"average",0,21
"carried",0,21
"carry",0,21
"charge",-1,21
"closure",0,21
"considerable",0,21
"enable",0,21
"floor",0,21
"guarantee",0,21
"houses",0,21
"intention",0,21
"join",1,21
"levels",0,21
"mention",0,21
"middle",0,21
"mp",0,21
"occasions",0,21
"organisations",0,21
"positive",1,21
"possibility",0,21
"price",0,21
"propose",0,21
"providing",1,21
"purposes",0,21
"regions",0,21
"relevant",1,21
"results",0,21
"short",0,21
"spent",0,21
"supporting",1,21
"transfer",0,21
"17",0,20
"aid",1,20
"allowance",0,20
"appears",0,20
"applies",0,20
"bank",0,20
"board",0,20
"cold",-1,20
"commissions",0,20
"committed",0,20
"constitution",0,20
"cover",0,20
"deeply",0,20
"electorate",0,20
"encourage",1,20
"essential",1,20
"excellent",1,20
"exercise",0,20
"exist",0,20
"fees",0,20
"fixed",0,20
"follow",0,20
"fund",0,20
"liberties",1,20
"lower",0,20
"meant",0,20
"mine",0,20
"practical",1,20
"principles",1,20
"proud",1,20
"refer",0,20
"remind",0,20
"responsibility",1,20
"separate",0,20
"sufficient",1,20
"talks",0,20
"taxes",0,20
"teachers",0,20
"truth",1,20
"unable",-1,20
"written",0,20
"agency",0,19
"apologise",1,19
"bills",0,19
"briefly",0,19
"bringing",0,19
"caused",0,19
"councils",0,19
"created",1,19
"debating",0,19
"degree",0,19
"demand",0,19
"discussion",0,19
"fall",0,19
"generous",1,19
"guilty",-1,19
"honest",1,19
"implications",-1,19
"improve",1,19
"laws",0,19
"length",0,19
"limit",-1,19
"looked",0,19
"lose",-1,19
"met",0,19
"modernisation",0,19
"necessarily",0,19
"note",0,19
"occasion",0,19
"operation",0,19
"page",0,19
"paying",0,19
"planning",0,19
"progress",1,19
"quickly",0,19
"recently",0,19
"responsible",1,19
"rule",0,19
"section",0,19
"served",0,19
"sit",0,19
"speaking",0,19
"speeches",0,19
"strasbourg",0,19
"talked",0,19
"universal",0,19
"universities",0,19
"40",0,18
"close",0,18
"competence",1,18
"crucial",0,18
"discussing",0,18
"division",-1,18
"drive",0,18
"due",0,18
"examine",0,18
"extend",0,18
"holding",0,18
"hospitals",0,18
"institutions",0,18
"judicial",0,18
"knowsley",0,18
"logic",0,18
"massive",0,18
"mayor",0,18
"message",0,18
"ministerial",0,18
"nations",0,18
"nature",0,18
"oppose",-1,18
"opposed",-1,18
"plan",0,18
"policies",0,18
"population",0,18
"potential",0,18
"proposing",0,18
"recession",0,18
"reflect",0,18
"regard",0,18
"relates",0,18
"risk",-1,18
"secret",0,18
"signed",0,18
"sir",0,18
"statute",0,18
"step",0,18
"vital",1,18
"welfare",0,18
"whips",-1,18
"11",0,17
"additional",0,17
"antisocial",-1,17
"cap",0,17
"centre",0,17
"chair",0,17
"chairman",0,17
"challenge",-1,17
"couple",0,17
"draw",0,17
"guildford",0,17
"homes",0,17
"identity",0,17
"improved",1,17
"increased",0,17
"irish",0,17
"maintenance",0,17
"majesty's",1,17
"morning",0,17
"pension",0,17
"poverty",-1,17
"precisely",1,17
"refers",0,17
"resources",1,17
"schedule",0,17
"seats",0,17
"significance",1,17
"solution",0,17
"started",0,17
"stone",0,17
"supported",1,17
"treaties",0,17
"urge",0,17
"voters",0,17
"worth",1,17
"3",0,16
"30",0,16
"48",0,16
"50",0,16
"6",0,16
"8",0,16
"absolute",0,16
"academies",0,16
"acceptable",1,16
"adequate",1,16
"advantage",1,16
"afraid",-1,16
"agenda",0,16
"applied",0,16
"arguing",-1,16
"border",0,16
"call",0,16
"charities",1,16
"clarify",1,16
"confidence",1,16
"creating",1,16
"crimes",-1,16
"drug",0,16
"emergency",-1,16
"environment",0,16
"established",0,16
"eurozone",0,16
"extent",0,16
"fine",0,16
"forced",-1,16
"ground",0,16
"grounds",0,16
"influence",0,16
"inquest",0,16
"instance",0,16
"interim",0,16
"introducing",0,16
"listened",0,16
"mechanism",0,16
"meeting",0,16
"moving",0,16
"offences",0,16
"pass",0,16
"pick",0,16
"piece",0,16
"proceed",0,16
"published",0,16
"reach",0,16
"reduction",0,16
"regime",0,16
"representing",0,16
"safety",1,16
"sale",0,16
"serve",0,16
"spoken",0,16
"strongly",0,16
"structure",0,16
"substitute",0,16
"thinking",0,16
"totally",0,16
"white",0,16
"wide",0,16
"worse",-1,16
"2010",0,15
"7",0,15
"actions",0,15
"add",0,15
"assemblies",0,15
"assure",1,15
"body",0,15
"caught",0,15
"charged",-1,15
"claimed",0,15
"commit",0,15
"compared",0,15
"contributions",1,15
"correct",1,15
"crisis",-1,15
"dangerous",-1,15
"difficulties",-1,15
"draft",0,15
"enormous",0,15
"environmental",0,15
"events",0,15
"examples",0,15
"food",0,15
"funds",0,15
"guidance",0,15
"hand",0,15
"illegal",-1,15
"joint",0,15
"judge",0,15
"lobby",0,15
"madam",0,15
"managed",0,15
"management",0,15
"military",0,15
"night",0,15
"outcome",0,15
"paragraph",0,15
"participate",0,15
"peers",0,15
"plans",0,15
"politicians",0,15
"poor",-1,15
"pressure",0,15
"protection",1,15
"quality",1,15
"raising",0,15
"receive",0,15
"repeat",0,15
"representatives",0,15
"secure",1,15
"senior",0,15
"sought",0,15
"stay",0,15
"struggling",-1,15
"success",1,15
"target",0,15
"threshold",0,15
"treated",0,15
"turnout",0,15
"understanding",1,15
"valid",1,15
"vat",0,15
"vulnerable",-1,15
"14",0,14
"addressed",0,14
"affect",0,14
"amend",0,14
"argue",-1,14
"bankers",0,14
"believed",0,14
"build",0,14
"burden",-1,14
"candidates",0,14
"check",0,14
"compensation",1,14
"competences",1,14
"confusion",-1,14
"consequences",0,14
"direct",0,14
"directly",0,14
"drawn",0,14
"easy",1,14
"effectiveness",1,14
"element",0,14
"ensuring",1,14
"express",0,14
"eye",0,14
"flexibility",1,14
"genuine",1,14
"happening",0,14
"intended",0,14
"involving",0,14
"islands",0,14
"judgments",0,14
"knowledge",1,14
"maiden",0,14
"network",0,14
"persuade",0,14
"pilot",0,14
"queen's",0,14
"recovery",1,14
"red",0,14
"remote",0,14
"representation",0,14
"requirement",0,14
"running",0,14
"save",0,14
"savings",0,14
"seat",0,14
"secondary",0,14
"stood",0,14
"table",0,14
"telling",0,14
"thousands",0,14
"top",0,14
"train",0,14
"waiting",0,14
"westminster",0,14
"wishes",0,14
"80",0,13
"accommodation",1,13
"activities",0,13
"affects",0,13
"agencies",0,13
"air",0,13
"attorney",0,13
"belief",0,13
"bodies",0,13
"book",0,13
"borough",0,13
"boundaries",0,13
"cards",0,13
"century",0,13
"commonwealth",0,13
"conclusion",0,13
"convicted",-1,13
"delay",-1,13
"detailed",0,13
"domestic",0,13
"entire",0,13
"equal",0,13
"extended",0,13
"extending",0,13
"extension",0,13
"facing",0,13
"failing",-1,13
"fairness",1,13
"fewer",0,13
"final",0,13
"finally",0,13
"frankly",0,13
"generation",0,13
"genuinely",1,13
"glad",1,13
"impose",0,13
"improvement",1,13
"incentive",1,13
"increases",0,13
"increasing",0,13
"independence",0,13
"insert",0,13
"involve",0,13
"justify",1,13
"maintain",0,13
"metropolitan",0,13
"month",0,13
"obligation",0,13
"officer",0,13
"ordinary",0,13
"performance",0,13
"permanent",0,13
"president",0,13
"presumption",0,13
"privatisation",0,13
"proportion",0,13
"proposes",0,13
"rates",0,13
"removed",0,13
"represented",0,13
"request",0,13
"requirements",0,13
"rid",0,13
"seeks",0,13
"sitting",0,13
"sport",0,13
"stands",0,13
"suggests",0,13
"traffic",0,13
"unions",0,13
"vast",0,13
"whip",-1,13
"write",0,13
"activity",0,12
"aim",0,12
"assurance",1,12
"background",0,12
"banking",0,12
"beginning",0,12
"broken",-1,12
"cast",0,12
"catch",0,12
"choose",0,12
"chosen",0,12
"club",0,12
"competition",0,12
"compromise",0,12
"constituent",0,12
"convinced",1,12
"councillors",0,12
"covenant",0,12
"credibility",1,12
"designed",0,12
"elements",0,12
"experienced",0,12
"faced",0,12
"failure",-1,12
"fit",1,12
"forms",0,12
"french",0,12
"hands",0,12
"heads",0,12
"hearing",0,12
"imagine",0,12
"individuals",0,12
"industrial",0,12
"informed",0,12
"keen",1,12
"legitimate",1,12
"link",0,12
"mandate",0,12
"march",0,12
"mess",-1,12
"nice",1,12
"offered",0,12
"opposite",-1,12
"organisation",0,12
"original",0,12
"passed",0,12
"patronage",-1,12
"possibly",0,12
"pretty",0,12
"produced",0,12
"programming",0,12
"promises",0,12
"relief",1,12
"remains",0,12
"returning",0,12
"rhondda",0,12
"round",0,12
"send",0,12
"september",0,12
"specifically",0,12
"steps",0,12
"stoke",0,12
"suggesting",0,12
"suggestion",0,12
"supports",1,12
"supreme",0,12
"taxation",0,12
"team",0,12
"tory",0,12
"understood",0,12
"unit",0,12
"water",0,12
"wider",0,12
"11,500",0,11
"2005",0,11
"25",0,11
"abuse",-1,11
"academy",0,11
"addition",0,11
"announced",0,11
"appeared",0,11
"arms",0,11
"arrest",0,11
"arrested",0,11
"aspects",0,11
"ban",0,11
"bigger",0,11
"built",0,11
"causing",0,11
"checks",0,11
"chose",0,11
"claims",0,11
"class",0,11
"confident",1,11
"consequence",0,11
"consistently",0,11
"constructive",1,11
"contract",0,11
"controlled",0,11
"counter",0,11
"covered",0,11
"critical",-1,11
"dark",-1,11
"death",-1,11
"declare",0,11
"delighted",1,11
"determined",1,11
"disease",-1,11
"disgraceful",-1,11
"drafted",0,11
"drugs",0,11
"easily",1,11
"efforts",1,11
"employers",0,11
"entitled",0,11
"equality",1,11
"event",0,11
"fairly",0,11
"fantastic",1,11
"field",0,11
"forest",0,11
"freedoms",1,11
"harm",-1,11
"highly",0,11
"house's",0,11
"implement",0,11
"intervene",0,11
"justification",1,11
"lawyers",0,11
"licence",0,11
"lies",0,11
"lisbon",0,11
"locally",0,11
"loss",-1,11
"membership",0,11
"minor",0,11
"minute",0,11
"misleading",-1,11
"nation",0,11
"negotiations",0,11
"notes",0,11
"nuclear",0,11
"official",0,11
"operate",0,11
"opportunities",1,11
"overseas",0,11
"parliament's",0,11
"peak",0,11
"personal",0,11
"positions",0,11
"probation",0,11
"promise",0,11
"promised",0,11
"prospect",0,11
"protecting",1,11
"receiving",0,11
"reduced",0,11
"refuse",-1,11
"refused",-1,11
"regulatory",0,11
"relating",0,11
"remit",0,11
"repeatedly",0,11
"requires",0,11
"revision",0,11
"rich",1,11
"ridiculous",-1,11
"risks",-1,11
"sadly",-1,11
"safeguards",1,11
"saving",0,11
"scale",0,11
"schemes",0,11
"scope",0,11
"shared",0,11
"sittings",0,11
"somerset",0,11
"spirit",1,11
"starting",0,11
"status",0,11
"strategy",0,11
"streets",0,11
"successful",1,11
"taxpayers",0,11
"temporary",0,11
"timetable",0,11
"today's",0,11
"total",0,11
"trial",0,11
"undermine",-1,11
"unnecessary",-1,11
"victims",-1,11
"village",0,11
"violent",-1,11
"woman",0,11
"wording",0,11
"worst",-1,11
"100",0,10
"adult",0,10
"american",0,10
"apparently",0,10
"arrangement",0,10
"articles",0,10
"attack",-1,10
"attend",0,10
"avoid",-1,10
"bbc",0,10
"beneficial",1,10
"boroughs",0,10
"brings",0,10
"calling",0,10
"capacity",0,10
"car",0,10
"clarity",0,10
"colleague",1,10
"commend",1,10
"commercial",0,10
"compelling",0,10
"conduct",0,10
"conference",0,10
"constable",0,10
"contrary",-1,10
"crown",1,10
"customs",0,10
"cutting",-1,10
"damage",-1,10
"david",0,10
"decisive",1,10
"demonstrates",0,10
"describes",0,10
"developed",0,10
"discretion",1,10
"entered",0,10
"epping",0,10
"exists",0,10
"falling",0,10
"fears",-1,10
"fill",0,10
"fire",0,10
"focus",0,10
"foundation",0,10
"gap",0,10
"glorification",0,10
"helped",1,10
"hit",0,10
"inequality",-1,10
"insurance",0,10
"intentions",0,10
"involves",0,10
"isle",0,10
"largest",0,10
"late",0,10
"leading",0,10
"legislate",0,10
"liability",-1,10
"lines",0,10
"mentions",0,10
"minority",0,10
"mobile",0,10
"model",0,10
"modern",0,10
"monday",0,10
"nonsense",-1,10
"notice",0,10
"object",0,10
"october",0,10
"papers",0,10
"participation",0,10
"party's",0,10
"pleasure",1,10
"polling",0,10
"poorer",0,10
"postal",0,10
"predecessor",0,10
"previously",0,10
"promote",0,10
"publish",0,10
"pursued",0,10
"reached",0,10
"rely",0,10
"representative",0,10
"retail",0,10
"revenue",0,10
"rush",0,10
"selected",0,10
"settlement",0,10
"shown",0,10
"strengthening",1,10
"subsequent",0,10
"sunset",0,10
"supply",0,10
"surprised",0,10
"suspicion",-1,10
"systems",0,10
"terrible",-1,10
"thursday",0,10
"town",0,10
"track",0,10
"tradition",0,10
"travel",0,10
"troops",0,10
"unacceptable",-1,10
"upper",0,10
"values",0,10
"visit",0,10
"voice",0,10
"voluntary",1,10
"2009",0,9
"60",0,9
"abroad",0,9
"academic",0,9
"accounts",0,9
"accused",-1,9
"achieving",1,9
"administrations",0,9
"affordable",1,9
"amended",0,9
"animal",0,9
"anti",0,9
"approval",1,9
"aspect",0,9
"asset",1,9
"awful",-1,9
"basic",0,9
"believes",0,9
"bottom",0,9
"broad",0,9
"bus",0,9
"cambridge",0,9
"carrying",0,9
"certainty",0,9
"charges",-1,9
"charging",0,9
"christmas",0,9
"command",0,9
"complaints",-1,9
"complete",0,9
"consulted",0,9
"contracts",0,9
"coroner",0,9
"couples",0,9
"criminals",-1,9
"deals",0,9
"defence",0,9
"delivering",0,9
"deprived",-1,9
"deserve",1,9
"deserves",1,9
"disappointed",-1,9
"discipline",0,9
"duties",0,9
"dynamic",0,9
"electing",0,9
"eloquently",1,9
"encouraging",1,9
"exceptional",1,9
"expected",0,9
"extensive",0,9
"extraordinary",1,9
"facilities",0,9
"factors",0,9
"fares",0,9
"fast",0,9
"formula",0,9
"france",0,9
"franchise",0,9
"fundamentally",0,9
"gibraltar",0,9
"glasgow",0,9
"growing",0,9
"helping",1,9
"importantly",0,9
"infrastructure",0,9
"innovation",1,9
"institution",0,9
"island",0,9
"judges",0,9
"lady's",0,9
"language",0,9
"larger",0,9
"lawyer",0,9
"league",0,9
"learn",1,9
"leaving",0,9
"liberty",1,9
"lowest",0,9
"manage",0,9
"manner",0,9
"manufacturing",0,9
"marriage",0,9
"media",0,9
"minimum",0,9
"missed",0,9
"missing",0,9
"monitor",0,9
"motions",0,9
"movement",0,9
"negotiate",0,9
"neighbourhood",0,9
"normal",1,9
"nurses",0,9
"objections",-1,9
"obvious",0,9
"ofcom",0,9
"offenders",-1,9
"opposition's",0,9
"options",0,9
"partnership",1,9
"passing",0,9
"payments",0,9
"peace",1,9
"priorities",0,9
"product",0,9
"programmes",0,9
"proposition",0,9
"proved",0,9
"providers",0,9
"pursue",0,9
"qualified",0,9
"range",0,9
"rarely",0,9
"reassure",1,9
"referring",0,9
"region",0,9
"regret",-1,9
"representations",0,9
"represents",0,9
"respond",0,9
"route",0,9
"selection",0,9
"series",0,9
"shropshire",0,9
"sound",1,9
"spokesman",0,9
"staffordshire",0,9
"standard",0,9
"stopped",0,9
"straightforward",1,9
"strange",-1,9
"strikes",0,9
"successive",0,9
"suffered",-1,9
"suspect",-1,9
"sustainable",1,9
"sympathy",1,9
"television",0,9
"training",0,9
"transparency",0,9
"trent",0,9
"tuition",0,9
"unfair",-1,9
"unionist",0,9
"urban",0,9
"usual",0,9
"visited",0,9
"wholly",0,9
"wight",0,9
"winter",0,9
"wonderful",1,9
"worry",-1,9
"19",0,8
"1980s",0,8
"1998",0,8
"2000",0,8
"2001",0,8
"2003",0,8
"2004",0,8
"2007",0,8
"2011",0,8
"2015",0,8
"90",0,8
"abortion",0,8
"added",0,8
"admit",1,8
"advance",1,8
"advised",0,8
"agreeing",1,8
"allocated",0,8
"analysis",0,8
"april",0,8
"arise",0,8
"army",0,8
"association",0,8
"autism",0,8
"badly",-1,8
"biggest",0,8
"bishops",0,8
"blame",-1,8
"box",0,8
"brighton",1,8
"bristol",0,8
"broxbourne",0,8
"burdens",-1,8
"buy",0,8
"buying",0,8
"canada",0,8
"cardiff",0,8
"clarification",0,8
"closely",0,8
"closures",0,8
"clubs",0,8
"comparison",0,8
"compliant",0,8
"concluded",0,8
"condition",0,8
"consent",1,8
"construction",0,8
"consult",0,8
"contrast",-1,8
"contribute",0,8
"controls",0,8
"cornwall",0,8
"corporation",0,8
"daily",0,8
"defend",1,8
"delivered",0,8
"denied",-1,8
"desirable",1,8
"desperately",-1,8
"details",0,8
"detention",0,8
"divide",-1,8
"door",0,8
"edinburgh",0,8
"effects",0,8
"enables",0,8
"encouraged",1,8
"equally",0,8
"existed",0,8
"existence",0,8
"expenditure",0,8
"experts",1,8
"expression",0,8
"factor",0,8
"fail",-1,8
"faith",1,8
"fight",-1,8
"fighting",-1,8
"forgotten",-1,8
"framework",0,8
"friday",0,8
"gains",0,8
"george",0,8
"gift",1,8
"governor",0,8
"gracious",1,8
"hansard",0,8
"households",0,8
"hundreds",0,8
"iba",0,8
"ideas",0,8
"identify",0,8
"incident",0,8
"initially",0,8
"inserted",0,8
"insist",0,8
"introduction",0,8
"investigation",0,8
"june",0,8
"land",0,8
"leadership",0,8
"liberals",0,8
"lists",0,8
"localism",0,8
"lock",0,8
"losing",-1,8
"manchester",0,8
"meetings",0,8
"mental",0,8
"minded",0,8
"murder",-1,8
"news",0,8
"o'clock",0,8
"objection",-1,8
"objective",0,8
"option",0,8
"partners",1,8
"patients",0,8
"peer",0,8
"perfect",1,8
"personally",0,8
"plain",0,8
"playing",0,8
"plenty",0,8
"poorest",0,8
"popular",0,8
"prevention",0,8
"priority",0,8
"prosecuted",0,8
"protected",1,8
"prudential",1,8
"push",0,8
"quarter",0,8
"ratio",0,8
"recognised",0,8
"reducing",0,8
"register",0,8
"registration",0,8
"regular",0,8
"related",0,8
"removal",0,8
