"id","motion_party","party","text","rating","afinn","lsd","vader"
11,"conservative","labour","My right hon Friend's argument is interesting, but there is a common misconception that the BBC falls totally outside the scope of Ofcom. He will correct me if I am wrong, but my understanding is that the BBC would be subject to the rule of the Broadcasting Standards Commission on issues of obscenity. A complaint could be made to the BSC or to Ofcom. Ofcom would have no powers in relation to ITV or Channel 4 that it did not also have over the BBC.",-1,-0.067,0,-0.864
12,"labour","conservative","It was a Conservative council.",-1,0,0,0
13,"labour","conservative","First, I would like a Government inquiry into food poverty. Secondly, can the hon Lady tell me whether she believes that unmet need for emergency food relief is currently increasing or decreasing?",-1,-0.067,0,-0.077
14,"labour","conservative","Will the shadow Chancellor consider celebrating the fact that one third of the working constituents in Bexhill and  Battle are receiving a pay rise because of the national living wage, taking those people off the breadline and further up the pay scale?",-1,0,-0.333,0.077
15,"labour","conservative","Another example of a faith school that has a wide catchment area is the London Oratory, which accepts pupils from all over London.",-1,0.2,1,0.625
16,"conservative","conservative","My hon Friend has framed this important argument excellently. However, is not he guilty of presuming too much about the review's outcome? Having listened to him carefully, I have heard a solid case for improving the clause through the process that underpins the review, but I have not yet heard a case for removing the clause, which is the purpose of the amendment. Will he make that case?",-1,0.2,0.143,0.777
17,"conservative","labour","The right hon Gentleman was a member of the Cabinet.The right hon Gentleman wanted to be leader.",-1,0,1,0
18,"labour","conservative","Does my hon Friend agree that the British public will be mightily disappointed about how little time has been given to debate the important issue of road charging throughout our country?",-1,0.067,0.333,0.527
19,"conservative","labour","The important point is that the case for compensation would be far stronger if those people who are about to become unemployed had no suitable alternative that is similar to their existing employment. Clearly, in most cases they have such an alternative: drag hunting. I would argue that more jobs will be created in drag hunting than ever existed in fox hunting.Does my right hon Friend agree that horse riding in the countryside that is not associated with cruelty will improve the chances of people who live in the countryside to develop businesses that are based around horses and horse riding? Does he also agree that tourism will grow by getting rid of the moral debasement of rural affairs because more people will be inclined to go to the countryside?I am grateful to my right hon Friend for giving way. It seems that the Opposition want to have their cake and eat it. They claimed this evening that 100,000 hounds will have to be put down, and now they say that the Bill will be unenforceable. The two arguments do not add up.",-1,0.138,0.3,0.969
20,"labour","conservative","On a point of order, Mr Deputy Speaker.PPSs are allowed to make points of order. Throughout the proceedings on the Bill Opposition Front Benchers, particularly the hon Member for Hammersmith , have made points about the perceived failure of Government Front Benchers to declare their interests. However, the hon Gentleman has failed to point out that on 119 separate occasions the Labour party has received donations from lawyers who make their money from success fees.",-1,-0.05,-0.2,0.202
21,"labour","conservative","Does the hon Gentleman think it was a measure of the success of the previous Labour Government when our country lost 1.7 million manufacturing jobs?",-1,-0.1,0,0.34
22,"conservative","conservative","If all the programmes that the Opposition are concerned that we will cut were so valuable, why were so few houses built under the last Administration? Why are there 1 million people not in education, employment or training-NEETs-in this country if the programmes were working so well?",-1,-0.2,0,0.618
23,"conservative","conservative","I thank the right hon Gentleman very much, and I am greatly enjoying his comic turn. On a point of information, is he engaged in a one-man filibuster, or is this a genuine contribution to the argument?",-1,0.4,0.667,0.75
24,"conservative","conservative","I fondly remember being in the room with my hon Friend on a number of occasions, and I very much look forward to his memoirs on all these subjects.",-1,0,1,0.751
25,"labour","conservative","My hon Friend is talking about fairness and about some of the challenges that we faced with the deficit that we inherited. Is he not proud that in those circumstances, not only have we shifted income tax from the lowest paid to the highest paid, but we have helped small businesses? Through the reforms to business rates, we will take many smaller businesses out of business rates altogether while making multinationals pay more.My hon Friend is making a very interesting point. May I add another initiative which, to be fair, was an initiative of the previous Labour  Government? The extractive industries transparency initiative was brought in by Labour, but it did not sign the UK up to it. This initiative is very important for raising tax revenue not just in the UK but around the world, and for making sure there is proper transparency as to where the extractive industries pay their money. Many of us, cross-party, campaigned for that. The Business, Innovation and Skills Committee said it was a mistake for the previous Government not to have signed up to it. This Government have, quite rightly, taken us into it.",-1,0.04,0.385,0.934
26,"labour","conservative","I have been listening to the hon Gentleman with increasing astonishment. Is he entirely unaware of the work of his right hon Friend the Member for Birkenhead ? Is he entirely unaware of the importance of trying to shift social security towards a system of contributions and away from a system of means testing?",-1,-0.133,0.2,0.646
27,"labour","conservative","Does the Prime Minister agree that if the Leader of the Opposition himself wrote on a note exactly what he wanted, passed it to the Prime Minister and she adopted it, he would still vote against it?Does my hon Friend agree that every Labour Government in history have left the country in bankruptcy?",-1,0.2,0.143,0.821
28,"labour","labour","With great respect, my right hon Friend has been misled on the ricin case, because the individual who fled the country while on bail was released by the police after two days in custody, not after 14 days. It cannot therefore be argued that they could have charged him if they had been able to hang on to him for 90 days. Will he confirm that that is the case?",-1,0,0.111,0.894
29,"labour","conservative","It was stopped for one year.",-1,-0.2,0,-0.226
30,"labour","conservative","What?",-1,0,0,0
