"id","text","rating","afinn","lsd","vader"
60,"RT @NRO: If you missed the first few minutes of last night's ","Positive",-0.4,0,-0.296
61,"RT @larryelder: Worse than an unprepared candidate is blind support for one. I was pulling for ","Negative",-0.133,-0.5,-0.477
62,"RT @MediaBoobs: ","Positive",0,0,0
63,"The #GOPDebate as theater, made-for-TV (&amp; web) drama, (and, duh) reality TV, via @CharlesMcNulty @latimes http://t.co/lTZD4fxR8b","Neutral",0,0,0
64,"@HuntsmanAbby @SIRIUSXM @PeteDominick @krystalball ","Neutral",0,0,0
65,"Dr. Carson being used as the emissary of the blacks again. ","Neutral",0,0,0
66,"I loved it in the ","Negative",0.6,1,0.599
67,"Video: Gallery Sessions | @archerone ","Neutral",0,0,0
68,"RT @goldietaylor: Commercial break! ","Neutral",0,0,0
69,"RT @RT0787: alyssaphucker: RT HuffingtonPost: The real winner of the #GOPDebate? MegynKelly
https://t.co/KmRn9BV2fM http://t.co/AuhlNZa3Ww","Negative",0.8,0,0.586
70,"To start th evening, RNC moderators dropped Atom Bomb on #Trump 
...Trump kicked it thru th uprights #GOPDebate #GOPDebates
@washingtonpost","Negative",-0.2,-0.333,-0.494
71,"RT @Mullchess: @FoxNews Can't stand much more.  If these 10 are the best of the GOP, I love our chances in 2016 #GOPDebates #UniteBIue","Neutral",0.25,1,0.881
72,"hadiyah: Lets see Jeb Bush try to solve a Common Core math problem. ","Negative",-0.1,-1,-0.226
73,"""We've shrunk our military."" Compared to what? The last time we declared war? #GOPDebates","Neutral",-0.4,-1,-0.644
74,"RT @GogoAleee: IG Deleted DD Account after we participated in the ","Negative",0,0,0
75,"If there's one thing to take away from last night's ","Neutral",0,0,0
76,"RT @MiaHoll18: @BradThor If Mr. Trump runs as an Independent the Republicans can't win either. ","Positive",0.8,1,-0.472
77,"@dooley_dooley Who's the real illegal alien ","Neutral",-0.6,-1,-0.557
78,"Sen. Perry calls for ""aviation assets"" (means spy drones) that ""identify what individuals are doing"" 24/7 #GOPDebates http://t.co/ipbSIczyIN","Negative",0.4,1,0.178
79,"I wonder which candidate is going to be the first to accidentally call Ben Carson ""the help"" #GOPDebates","Neutral",0,0,0.077
80,"RT @ngomsiv: Donald Trump on the border last week ","Neutral",0,0,0
81,"RT @ChadPergram: Cruz: We need a commander in chief who makes clear if you join ISIS, then you are signing your death warrant. #GOPDebate","Positive",0,0,-0.026
82,"After the #GOPDebate, if I were a Republican I'd get behind the smartest, most electable person in the room and draft @megynkelly for Prez!","Negative",0.4,1,0.648
83,"chadstanton: RT brownblaze: PLEASE RT. ","Negative",0.2,0,0.465
84,"RT @MashableNews: .@realdonaldtrump went on a late-night Twitter rant against @MegynKelly after the ","Neutral",-0.6,-1,-0.34
85,"RT @WhitneyNeal: Crickets from ","Neutral",0,0,0
86,"RT @usedtobgop: I don't know about anyone else but think last night ","Negative",0,0,0
87,"I'm interested to see if Carly Fiorina, Ben Carson and Mike Huckabee pick up steam.  Everyone came out unscathed in these #GOPDebates","Positive",0.4,0,0.402
88,".@OKnox and @sbg1: #GOPDebate was good reality TV, but not a great discussion of the issues:   http://t.co/C7fwjMdQcZ","Neutral",0.6,1,-0.541
89,"Thx to @FlashReport For the ink. #POTUS #GOPDebate @Brietbart 

http://t.co/VtZMLUJRQi","Negative",0,0,0.361
90,"RT @ItsShoBoy: ","Neutral",0,0,0
91,"","Neutral",0,0,0
92,"Why's THIS the most retweeted comment of the ","Positive",0,0,0
93,"RT @MormonDems: Ben Carson: I will end polarization by removing health insurance from 17 million Americans. ","Negative",0,-1,0
94,"@CarlyFiorina @realDonaldTrump #GOPDebate 
Country before party!  Why pledge away the option to do what may need to be done.","Positive",0,1,0.457
95,"Next ","Neutral",0,0,0
96,"17 candidates, 2 debates, 1 Donald Trump and plenty to fact-check http://t.co/4n6wgnunHN #tcot #p2 #GOPClownCar #GOPDebate #KidsTableDebate","Neutral",0,0,0
97,"RT @BenSwann_: @ScottWalker ""Russia and China probably know more about @HillaryClinton email than the U.S. Congress"" #GOPDebate","Negative",0,0,0
98,"""Only Rosie O'Donnell..."" - Donald Trump #GOPDebate","Neutral",0,0,0
99,"Wow look at all the diversity in the GOP!  ","Negative",0.8,0,0.624
100,"A very cool #dataviz shared by @kennethsilber about the #GOPDebate last night
http://t.co/FACtlsxf4g http://t.co/PSYNbUelhy","Negative",0.2,0,0.644
101,"The mainstream media wants to limit our options to establishment puppets. We know who won! ","Positive",0.6,0,0.611
102,"RT @pattonoswalt: Are they going to ask Lenny Kravitz's penis ONE question? This is very disrespectful. ","Negative",0,-1,0
103,"Trump and most of the World! Just look at the Contribution List to the Clinton foundation ","Neutral",0,1,0
104,"@HillaryClinton easily won last night's ","Neutral",0.6,1,0.727
105,"RT @someecards: 16 of the funniest reactions to last night's inadvertently hilarious GOP debate. http://t.co/nKWjLscECM ","Positive",0.4,1,0.743
106,"RT @fieldnegro: The happiest person in America today after watching those debates is HRC. ","Neutral",0,1,0.637
107,"5 Major Takeaways from the ","Neutral",0,0,0
108,"We definitely need ","Neutral",0,0,0.402
109,"While I sometimes don't like @realDonaldTrump 's character, he's still the only candidate calling it like it is. #GOPDebate #ycot","Positive",0.4,1,0.1
110,"RT @steve0423: I don't want my marriage or my guns registered in Washington!! #StandWithRand 
#GOPDebate","Neutral",0.2,0,-0.204
111,"I hope Rand Paul knows that this country denies domestic terrorism when it comes to specific groups committing the crime. ","Negative",-0.1,-0.5,-0.827
112,"zoegberg: RT sarahkendzior: Can't believe people are writing real articles about who won ","Negative",0.6,1,0.572
113,"MT:@ peddoc63: My how times have changed....
""Pieter_Gericke #tcot #PJNET #RedNationRising #GOPDebate http://t.co/KJ1xKUSMlk","Neutral",0,0,0
114,"@EdgeofSports Thanks for being a voice of reason in this mess! #GOPDebates
Laughs are few this evening, but ""canned goods"" is gold!","Negative",0.067,0.333,0.437
115,"RT @EusebiaAq: @sternnschool Who's the real illegal alien ","Positive",-0.6,-1,-0.557
116,"Last night's ","Neutral",0,0,0
117,"","Positive",0,0,0
118,"RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? ","Positive",0.4,1,0.402
119,".@WSJ and here is what viewers actually listened to during the ","Neutral",0,0,0
120,"In ","Positive",0,0,0
121,"RT @BOUNCE_COMIC: Black folks looking at @BenCarson2016 like... ","Negative",0.4,1,0.361
122,"RT @BryanLowry3: Reminder that Common Core was not created by the federal government. Was created by Natl. Governors Association. ","Neutral",0,0,0.067
123,"RT @RealTomSongs: 1st  ","Neutral",0,0,0
124,"RT @kwrcrow: Dr. Carson remark on DC having half a brain, best line #GOPDebates.","Positive",0.6,1,0.637
125,"#GOPDebate went very well. My masters will soon choose which candidate will carry out their agenda
#WakeUpAmerica #p2 http://t.co/x8UWh4Kowv","Neutral",0,1,0.338
126,"good that the moderators asked about past parties &amp; bankruptcies but they forgot the deferments,McCain comments,rape allegations..#GOPDebate","Neutral",-0.1,-0.6,0.421
127,"It's a beautiful night in ","Positive",0.6,1,0.599
128,"#GOPDebate was hugely entertaining. Sadly, we learned almost nothing http://t.co/1Gt4LrEePO #tcot #LatinosListen #latism","Negative",0,0.333,0.03
129,"RT @DanMoore755: The republican candidates are closing with their love for God. Democrats would never do that... Just sayin. ","Neutral",0.4,1,0.743
130,"RT @libertywwnf: Finally a question for Cruz. Iranian deal terrible Russia cyber attack. Reagan made Iran release prisoners ","Negative",-0.4,-1,-0.859
131,"If anything I would say the real winner of the ","Positive",0.8,1,0.586
132,"RT @lmahoneybee: ","Negative",0,0,0
133,"RT @warriorwoman91: Carly Declared Winner by Many at the first ","Positive",0.8,1,0.586
134,"RT @patriotmom61: Best moment of ","Positive",0.6,1,0.637
135,"Surrounding herself with ","Neutral",0,0,0
136,"@PostGraphics @FactTank Rate of speech can indicate confidence.Too fast, a swindler;too slow,unprepared #GOPDebate http://t.co/Fs7R705Es9","Negative",0,-0.333,0
137,"RT @lizadonnelly: I put pearls on Jeb! because he looks like his mom. I drew the ","Negative",0.4,1,0.42
138,"Bernie Sanders live-tweeting the ","Neutral",0,0,0
139,"Fifty-fifty% on ""the stupidity of the American voter"" .@RealBenCarson on @HillaryClinton at the #GOPDebate http://t.co/pkyjSglvFr","Positive",0,-1,-0.44
140,"","Negative",0,0,0
141,"GOD loves me even if I don't do as he says! Oops.. He forgives me not you! ","Negative",0.2,1,0.869
142,"RT @GallagherPreach: It is just me or can anyone else not wait for SNL this weekend for the debate coverage? ","Negative",0,1,0
143,"For your entertainment. ","Negative",0,1,0.421
144,"RT kayleymelissa: ","Neutral",0,0,0
145,"RT @CovinoandRich: Who will have the bigger boobs? ","Neutral",0,0,0
146,"The ","Neutral",0,0,0
147,"","Neutral",0,0,0
148,"Rand Paul should have gone with, 'I've got curly hair!' and dropped the mic. #GOPDebates","Neutral",0,0,0
149,"Fact checking (for those just recovering from last night's ","Negative",0,1,0
150,"Obama's Mid-East Policy Supp http://t.co/FiNCBJ3pos  ","Neutral",0,0,0
151,"Repealing Dodd-Frank is not wise. ","Negative",0,-1,-0.372
152,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates","Positive",0,1,0.318
153,"Seems like supporting same sex marriage is actually popular with Republicans ","Positive",0.4,1,0.802
154,"Where are the alumni from top foreign affairs programs and military schools? We need you. Help us! Please. ","Neutral",0.333,1,0.726
155,"2016 PREDICTION: 

Clinton 43.0% 
Bush 37.5% 
Trump 18.9% 

(millions don't vote b/c Bush is a RINO)

https://t.co/BDSp6iG77V

#GOPDebate","Positive",0,0,0
156,"@notaxation Thank you for your thoughts on the ","Positive",0.4,1,0.361
157,"RT @averykayla: You are now promising free pizza every Friday and no homework ever again! ","Negative",0,1,0.624
158,"Best ""reality"" show on earth #GOPDebate","Positive",0.6,1,0.637
159,"RT @RMConservative: .@marcorubio voted against amdt to build the fence b4 implementation of amnesty http://t.co/5guj7PE5Ei ","Neutral",0,0,0
160,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP","Negative",-0.6,-1,-0.691
161,"Gay Hoover Claims Spark Outrage Among Ex-FBI Agents http://t.co/q4RPV2tBX6

Nixon Johnson America NYT NYC #GOPDebate http://t.co/PVOPzKKT9m","Neutral",-0.2,-1,-0.34
162,"Me, guy like me? Going to run for President as a Republican just for a better seat at the debate. #meguylikeme #Republicandebate #GOPDebate","Negative",0.4,1,0.66
163,"","Negative",0,0,0
164,"","Positive",0,0,0
165,"sydtrvp: RT BernieSanders: Tom Hanks. Finally. Somebody who makes some sense. ","Positive",0,1,0
166,"""Social issues... next.""

Uh oh.

#GOPdebates http://t.co/8LveUHTJuj","Neutral",0,0,0
167,"I am in no way stumping for @realDonaldTrump, but I do find it interesting that both the left &amp; the right are bashing him hard. #GOPDebate","Neutral",0,0.333,0.329
168,"RT @HayesBrown: Fact: Before Jeb was governor, Florida was run by a death cult. #GOPDebate","Negative",-0.4,-1,-0.599
169,"RT @nonprophetess: ""Received word from God.""

This should be good.
#GOPDebate","Positive",0.4,1,0.612
170,"RT @Raina_Kadavil: Two great political comedy acts in one night - the last of ","Neutral",0.4,1,0.765
171,"RT @BarracudaMama: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/E1SmU0Hn5J""","Neutral",0.4,1,0.382
172,"RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? ","Positive",0.4,1,0.402
173,"RT @GOPendejos: An HOUR in and STILL No mention of ","Negative",-0.2,0,-0.296
174,"RT @ironghazi: Finally someone talking about the real issues ","Negative",0,0,0
175,"RT @fieldnegro: So now we know who uncle Rupert does NOT want to be the republican nominee. Mr Bad Hair, that would be you. #GOPDebates","Neutral",-0.2,-1,-0.575
176,"RT @kwrcrow: ","Neutral",0,0,0
177,"RT @slaboe: [VIDEO] http://t.co/taPH65klje
@CarlyFiorina Rocks the 1st Round of #GOPDebate #Carly2016 http://t.co/3L7YiMjXDL","Positive",0,0,0
178,"RT @SalMasekela: Is Kasich aware that he's making sense? ","Positive",0,1,0
179,"Lets face it - this debate is really about ","Positive",0,0,0
180,"Trumptastic ","Positive",0,0,0
181,"Last night, my TV watching involved plenty of laughter (#GOPDebate) and some tears (#JonVoyage). What an emotional night of TV!","Neutral",-0.4,-1,0.493
182,"Republicans still talking about abortion like it's the 1960s. ","Negative",0.4,1,0.361
183,"@DoriaBiddle #GOPDebates I have friends visiting from Japan (they speak English) and they are HORRIFIED + keep asking, ""How?""","Neutral",-0.6,0,-0.281
184,"Wow, I expected a lot of people would watch the #GOPDebate but not this many http://t.co/io41NN1omN","Positive",0.8,0,0.34
185,"RT @tantan73: Here's the Vine of @BernieSanders dictating his Tweets during ","Neutral",0,-1,0
186,"Watching the republican party implode from within is magical. ","Negative",0,0,0.402
187,"RT @jerrydoyle: Dust up between @RandPaul and @ChrisChristie at the ","Neutral",0,0,0
188,"RT @Bipartisanism: Ben Carson spoke about science at the ","Neutral",0,0,0
189,"having @hannibalburess RT me might have made this and all ","Neutral",0,0,0
190,"Less than 24 hours after ","Neutral",0,0,0
191,"Nope. I think that was the most unintentionally funny political event I've ever seen. It was great! ","Negative",0.7,1,0.821
192,"RT @fackinpeter: .@Sherrod_Small Ben Carson just plugged ","Neutral",0,0,0
193,"@realDonaldTrump on point with response to @megynkelly ""When did you become a Republican? "" #GOPDebate","Positive",0,0,0
194,"If #ChrisChristie's disapproval ratings are high now, wait till the #Bridgegate trial this fall. #GOPDebate #FoxNews http://t.co/r9CTpLW5UP","Positive",0,-1,0
195,"GOP Candidates Throw Out Their Best Hillary Clinton Zingers http://t.co/nSS1U3sALh VIDEO ","Neutral",0.6,1,0.637
196,"Watching the #GOPDebates I can't help but think of Claire Underwood referring to political debates as ""spectacle"" in season 3 #Profound","Negative",0.4,1,-0.16
197,"RT @mtranquilnight: ","Positive",0,0,0
198,"RT @juliaioffe: An elegant, witty round-up of last night's #GOPDebate by @tnyCloseRead http://t.co/cW0rAc9wQh","Negative",0.4,1,0.477
199,"RT @SupermanHotMale: I'm popeye the sailor man... ","Neutral",0,0,0
200,"RT @BettyFckinWhite: So Donald Trump is Biff from Back to the Future 2? ","Negative",0,0,0
201,"hadiyah: Jen Bush looks like an Art Teacher for an inner city school and everyday his car gets vandalized.  ","Negative",0.4,1,0.361
202,"#VoteBlue than, eh? RT @OutnumberedFNC .@JedediahBila I want to put someone in [office] that I don't want to have to worry about #GOPDebate","Neutral",-0.067,-1,-0.426
203,"RT @jacbrew: Interviewed some candidates before the ","Neutral",0,0,0
204,"RT @JulieWeise: ","Neutral",0,0,0
205,"I don't dislike Jeb as much as most ","Positive",-0.4,-1,0.292
206,"Last night's ","Neutral",0,0,0
207,"RT @BethBehrs: Classy. ","Negative",0.6,1,0.44
208,"The big twist of the ","Neutral",0.2,0,0
209,"RT @gov: Most-Tweeted ","Negative",0,0,0
210,"RT @PunkHistory: Congratulations to anyone who watched tonight's ","Negative",0.4,1,0.599
211,"You wanna tax pimps?! ","Neutral",0,0,0
212,"RT @ericstonestreet: Trump has Cam hands. ","Negative",0,0,0
213,"Voices in my head question. ","Neutral",0,0,0
214,".@ppact can sell baby parts for profit, or whatever you want to call it, but Trump can't call a woman a slob. #GOPDebate #PC #Trump2016","Positive",0.2,-1,0.273
215,"Scientific Studies and ","Negative",0,0,0
216,"RT @BethBehrs: Classy. ","Positive",0.6,1,0.44
217,"RT @benwikler: So, was @SenSchumer throwing his hat in the #GOPDebate ring by coming out on the GOP side of the #IranDeal debate tonight?","Neutral",0,0,0
218,"Damn... I'd turn Republican for this. ","Negative",-0.8,-1,-0.402
219,"RT @ykhong: Instagram took down @dreamdefenders website for posting real quotes from the ","Neutral",0,0,0
220,"Great new @ScottWalker video. He consistently focused the debate last night on Clinton. ","Negative",0.5,1,0.772
221,"""When you find mush, you push""  We agree with Jack from @AandGShow about that being a great motto in life! (from last night's #GOPDebate)","Negative",0.4,1,0.784
222,"RT @ericstonestreet: Trump has Cam hands. ","Positive",0,0,0
223,"RT @darth: the recap outside is always the best part tbh

#GOPDebate http://t.co/PIlRfPa6HC","Neutral",0.6,1,0.637
224,"RT @TheRecruitChair: Not going to vote for Trump, but I'll definitely let him guest write in my Burn Book #GOPDebate","Negative",0,-1,0.55
225,"RT @_KingMalcolm: I am pro life unless a cop is involved - GOP candidates ","Neutral",0,0,0
226,"RT @RWSurferGirl: These debates will raise @realDonaldTrump 's ratings because Fox News is afraid of Trump and it shows. ","Positive",-0.4,-1,0
227,"Can't wait to see which Lannister they kill off in the next episode of ","Negative",-0.6,-1,-0.691
228,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates","Neutral",0.4,0,0.691
229,"RT @RobElgasABC7: WOW. The ratings for last night's #GOPDebate are jaw dropping. Nielsen says 16.0 nationwide, most watch debate ever.","Neutral",0.8,0,0.674
230,"RT @climatebrad: .@JebBush's Million-Dollar Donors, updated thx to @zachmider http://t.co/K3BcdnUTM0 #GOPDebate http://t.co/qdiwcwNQY0","Negative",0,0,0.361
231,"Chris Christie apparently gives up. Lol. 

#GOPDebates","Neutral",0.6,0,0.519
232,"RT @KennedyNation: ""Megyn I could crack your head open and eat your brain."" - Dr Ben Carson #GOPDebate","Neutral",0,1,0
233,"@pondering_this @CarlyFiorina I had &amp; was very impressed w/her last pm. She took the entire night! Both ","Positive",0.6,1,0.57
234,"same old tiresome ","Negative",0,-1,0
235,"RT @TC_Watkins: @DomenicoNPR @MediaEqualizer crazy that Cruz only got 3 mins at debate ","Negative",-0.4,-1,-0.34
236,"RT @Conssista: Rightly so Frank. Rightly so. ","Positive",0,1,0
237,"RT @brock_a_r: I wonder which candidate is going to be the first to accidentally call Ben Carson ""the help"" #GOPDebates","Negative",0,0,0.077
238,"TV reality star has a 2 to 1 lead.
Gets asked tough, leader questions.
Wilts like a failed Apprentice.
Cries about mean girls.

#GOPDebate","Neutral",-0.133,-0.5,-0.612
239,"Drinking and watching the ","Neutral",0,0,0
240,"","Negative",0,0,0
241,"RT @TeasyRoosevelt: I can't believe I watched ","Neutral",0,0,0
242,"The only person in ","Positive",0,0,0
243,"The real winners in the #GOPDebate were the Jr. Debaters, who came across as far more intelligent than the brawling children later on.","Positive",0.4,0.333,0.75
244,"Why watch 10 contenders debate when you can just watch Megyn Kelly? ","Positive",0,-1,0
245,"RT @wilw: Boy, I bet the mood in the clown car is going to be TENSE when these jerks leave the #GOPDebate.","Negative",-0.3,-1,-0.663
246,"RT @KennedyNation: ","Positive",0,0,0
247,"RT @monaeltahawy: Can someone send this to ","Negative",0,0,0
248,"RT @NASCARNAC: Funny to see so many calling to avoid watching @FOXNews I've been saying this for a DECADE. ","Negative",0.3,0,0.178
249,"@IngrahamAngle ""@CarlyFiorina ran away with it."" #GOPDebate #Carly2016 https://t.co/8AQYJ9bYOr","Neutral",0,0,0
250,"RT @megynkelly: .@JohnKasich:  @realDonaldTrump is hitting a nerve in this country ","Neutral",0,-1,0
251,"@AlyonaMink is unpacking the ","Positive",0,0,0
252,"Fox Debate commentators should be ashamed for the way they've treated Trump! ","Negative",-0.4,-1,-0.525
253,"RT @jennrios1191: @BretBaier is by far the best moderator tonight. Hands down. ","Negative",0.6,1,0.637
254,"Kasich the clear standout among ","Positive",0.2,0,0.382
255,"2016 bender starts now ","Neutral",0,0,0
256,"RT @Wrschgn: ","Neutral",0,0,0
257,".@megynkelly  asked .@realDonaldTrump  poor questions, why, was this to help Bush in the polls? #Hannity #GOPDebate https://t.co/p389iIlE2N","Neutral",0,0,-0.103
258,"RT @KyleAlexLittle: ""A movement back to the 1800's"" #GOPDebates","Negative",0,0,0
259,"RT @BuhByeGOP: Liar Ted Cruz is a liar... ","Neutral",-0.6,-1,-0.765
260,"RT @fieldnegro: The happiest person in America today after watching those debates is HRC. ","Neutral",0,1,0.637
261,"#GOPDebate ""We got nothing. And Iran gets everything they want."" @GovMikeHuckabee #MarshaMarshaMarsha","Negative",0.2,0,0.077
262,"@GameofOwns Last night, I kept imagining what a debate would be like between the contenders for the Iron Throne. Probably bloody. #GOPDebate","Negative",-0.1,-0.333,-0.103
263,"RT @FoxNews: .@ScottWalker pledges to lower the tax rate and reform the tax code, if elected president. #GOPDebate http://t.co/sknHfYkw3U","Positive",0,1,-0.296
264,"RT @goldietaylor: Huckabee. ","Negative",0,0,0
265,"RT @ericstonestreet: Trump has Cam hands. ","Positive",0,0,0
266,"","Negative",0,0,0
267,"","Positive",0,0,0
268,"RT @PerezHilton: While you were watching the ","Neutral",0,0,0
269,"RT @DianneG: Off to see @RandPaul.  Anything in particular you want me to ask him?  ","Neutral",0.2,0,0.077
270,"RT @CBSLAElsa: One of our producers spied me in the newsroom indulging in tonight's ","Neutral",0,0,0
271,"The second most-retweeted presidential candidate Tweet of the ","Positive",0,0,0
272,"RT @zachhaller: The (painful) ","Negative",0,-1,-0.44
273,"Cruz: ""I receive the word of God everyday..."" 

God: ""Don't blame me for this guy. There are pills for those voices.""

#GOPdebates","Negative",0,-1,0.641
274,"RT @pulmyears: Official photo from the big #FoxNews #GOPDebate last night: http://t.co/uaiB1M8ekC
#teaparty @socalimilitia1 @donkeyarguing","Negative",0.2,0,0
