"token","afinn","n"
"pump",0,11
"shoulder",0,11
"spot",0,11
"store",0,11
"test",0,11
"accuracy",0,10
"apply",0,10
"bent",0,10
"board",0,10
"cans",0,10
"correct",0,10
"dial",0,10
"epoxy",0,10
"feels",0,10
"gun",-1,10
"hooks",0,10
"hoses",0,10
"inch",0,10
"load",0,10
"loose",-1,10
"meter",0,10
"month",0,10
"nailer",0,10
"normal",0,10
"pair",0,10
"project",0,10
"remove",0,10
"replaced",0,10
"solution",1,10
"squeeze",0,10
"standard",0,10
"strap",0,10
"stream",0,10
"true",1,10
"tube",0,10
"useless",-1,10
"weak",-1,10
"brighter",0,9
"care",1,9
"design",0,9
"failed",-1,9
"fan",1,9
"flashlight",0,9
"flimsy",0,9
"function",0,9
"furniture",0,9
"gauge",0,9
"handles",0,9
"handy",0,9
"held",0,9
"holds",0,9
"hours",0,9
"idea",0,9
"install",0,9
"jaws",0,9
"junk",0,9
"kinda",0,9
"leaked",-1,9
"lids",0,9
"local",0,9
"motor",0,9
"pan",0,9
"pegboard",0,9
"pieces",0,9
"pin",0,9
"recommended",1,9
"results",0,9
"retaining",0,9
"safe",1,9
"sheet",0,9
"single",0,9
"sink",0,9
"slip",0,9
"stapler",0,9
"steam",0,9
"steamer",0,9
"straps",0,9
"super",1,9
"switch",0,9
"takes",0,9
"tip",0,9
"absolutely",0,8
"applicator",0,8
"awkward",-1,8
"bona",0,8
"boss",0,8
"brands",0,8
"braun",0,8
"car",0,8
"carpet",0,8
"chip",0,8
"clip",0,8
"condition",0,8
"control",0,8
"covers",0,8
"cups",0,8
"cut",-1,8
"decided",0,8
"delivery",0,8
"diameter",0,8
"duct",0,8
"durable",0,8
"dust",0,8
"edge",0,8
"electrical",0,8
"figure",0,8
"finally",0,8
"gloss",0,8
"grout",0,8
"hardwood",0,8
"hoping",1,8
"hot",0,8
"issue",0,8
"left",0,8
"life",0,8
"machine",0,8
"magnet",0,8
"main",0,8
"mine",0,8
"missing",-1,8
"moved",0,8
"pack",0,8
"pads",0,8
"paid",0,8
"paper",0,8
"popper",0,8
"pour",0,8
"pressure",-1,8
"process",0,8
"push",0,8
"regular",0,8
"returned",0,8
"reviewtime",0,8
"save",1,8
"seller",0,8
"sharp",0,8
"siding",0,8
"similar",0,8
"simply",0,8
"soft",0,8
"sprayers",0,8
"stairs",0,8
"stay",0,8
"steel",0,8
"stick",0,8
"straight",1,8
"temp",0,8
"unixreviewtime",0,8
"valve",0,8
"verified",0,8
"2.5",0,7
"24",0,7
"30",0,7
"ac",0,7
"add",0,7
"annoying",-1,7
"application",0,7
"awesome",1,7
"blades",0,7
"boxes",0,7
"cap",0,7
"change",0,7
"cheaply",0,7
"coming",0,7
"complaints",0,7
"completely",0,7
"cure",0,7
"damaged",0,7
"deal",0,7
"designed",0,7
"expecting",0,7
"fall",0,7
"faster",0,7
"fill",0,7
"fingers",0,7
"fix",0,7
"fuel",0,7
"guys",0,7
"hang",0,7
"helps",1,7
"highly",0,7
"issues",0,7
"lasted",0,7
"length",0,7
"lights",0,7
"measurements",0,7
"measuring",0,7
"mouth",0,7
"needle",0,7
"pleased",1,7
"plenty",0,7
"polish",0,7
"pull",0,7
"purchasing",0,7
"remember",0,7
"returning",0,7
"ring",0,7
"running",0,7
"seat",0,7
"secure",1,7
"skin",0,7
"slide",0,7
"spraying",0,7
"stand",0,7
"started",0,7
"stock",0,7
"supposed",0,7
"tank",0,7
"thinking",0,7
"toothpaste",0,7
"total",0,7
"units",0,7
"week",0,7
"wife",0,7
"wires",0,7
"12",0,6
"32",0,6
"7",0,6
"additional",0,6
"angle",0,6
"applied",0,6
"arms",0,6
"attach",0,6
"badly",-1,6
"body",0,6
"boiler",0,6
"cable",0,6
"cables",0,6
"careful",1,6
"carrying",0,6
"cleaned",0,6
"color",0,6
"company",0,6
"compared",0,6
"cooler",0,6
"coupling",0,6
"cover",0,6
"dangerous",0,6
"dark",0,6
"defective",0,6
"dentist",0,6
"description",0,6
"directions",0,6
"double",0,6
"dry",0,6
"effective",1,6
"electric",0,6
"fairly",0,6
"feeling",1,6
"finish",0,6
"flow",0,6
"gap",0,6
"ground",0,6
"guns",0,6
"hardware",0,6
"husband",0,6
"im",0,6
"jobs",0,6
"late",0,6
"lifting",0,6
"liquid",0,6
"lower",0,6
"maglites",0,6
"matter",1,6
"mechanism",0,6
"mention",0,6
"mop",0,6
"neck",0,6
"nif",0,6
"pc",0,6
"peg",0,6
"pictured",0,6
"plug",0,6
"pocket",0,6
"possibly",0,6
"pricey",0,6
"projects",0,6
"provide",0,6
"quick",0,6
"recently",0,6
"required",0,6
"ridiculous",-1,6
"safety",1,6
"satisfied",1,6
"scrub",0,6
"smooth",0,6
"spout",0,6
"spring",0,6
"stainless",0,6
"stated",0,6
"stop",-1,6
"stuck",-1,6
"suction",0,6
"system",0,6
"temperature",0,6
"terrible",-1,6
"tile",0,6
"tips",0,6
"truck",0,6
"unable",0,6
"update",0,6
"upgrade",0,6
"version",0,6
"voltage",0,6
"washer",0,6
"weeks",0,6
"15",0,5
"adhesive",0,5
"adjust",0,5
"alligator",0,5
"apartment",0,5
"appliance",0,5
"barely",0,5
"bigger",0,5
"blue",0,5
"bond",0,5
"called",0,5
"caps",0,5
"center",0,5
"collar",0,5
"comfortable",1,5
"complaint",0,5
"complete",0,5
"computer",0,5
"concerned",0,5
"connection",0,5
"contacted",0,5
"cool",1,5
"correctly",0,5
"current",0,5
"dead",-1,5
"degree",0,5
"depending",0,5
"device",0,5
"doesnt",0,5
"dogs",0,5
"drill",0,5
"duty",0,5
"effort",0,5
"entire",0,5
"equipment",0,5
"fat",0,5
"figured",0,5
"filled",0,5
"flat",0,5
"force",0,5
"gaming",0,5
"garage",0,5
"garbage",0,5
"generator",0,5
"gift",1,5
"grade",0,5
"hairs",0,5
"happened",0,5
"hate",-1,5
"holder",0,5
"hope",1,5
"immediately",0,5
"indicator",0,5
"inexpensive",0,5
"installed",0,5
"intended",0,5
"ive",0,5
"joists",0,5
"joke",1,5
"keeping",0,5
"kids",0,5
"lead",0,5
"leaks",0,5
"leaving",0,5
"level",0,5
"line",0,5
"lite",0,5
"lose",0,5
"magnetic",0,5
"manufacturer",0,5
"measure",0,5
"meet",0,5
"mentioned",0,5
"middle",0,5
"mini",0,5
"mix",0,5
"multiple",0,5
"n1",0,5
"n2",0,5
"narrow",0,5
"ncons",0,5
"nit",0,5
"notice",0,5
"noticeable",0,5
"noticed",0,5
"nozzles",0,5
"operate",0,5
"option",0,5
"packing",0,5
"panel",0,5
"pick",0,5
"pins",0,5
"plugged",0,5
"popped",0,5
"portion",0,5
"position",0,5
"prefer",0,5
"pro",0,5
"probes",0,5
"provided",0,5
"purpose",0,5
"ran",0,5
"rating",0,5
"repair",0,5
"requires",0,5
"rest",0,5
"rough",0,5
"runs",0,5
"scrubber",0,5
"seal",0,5
"sending",0,5
"sensitive",0,5
"setting",0,5
"slippery",0,5
"slow",0,5
"sound",0,5
"spend",0,5
"stays",0,5
"sticks",0,5
"sticky",0,5
"strength",1,5
"stronger",1,5
"summer",0,5
"taking",0,5
"tall",0,5
"term",0,5
"thicker",0,5
"thread",0,5
"threads",0,5
"twist",0,5
"upper",0,5
"wedge",0,5
"wheel",0,5
"white",0,5
"16",0,4
"200",0,4
"25",0,4
"5.0",0,4
"60",0,4
"addition",0,4
"allowed",0,4
"attachment",0,4
"awful",-1,4
"balance",0,4
"based",0,4
"basic",0,4
"basically",0,4
"bend",0,4
"brought",0,4
"brown",0,4
"buffer",0,4
"built",0,4
"ca",0,4
"calipers",0,4
"call",0,4
"capacitor",0,4
"changed",0,4
"charge",0,4
"check",0,4
"closed",0,4
"cloth",0,4
"coat",0,4
"commercial",0,4
"connected",0,4
"connections",0,4
"construction",0,4
"costs",0,4
"delivered",0,4
"devices",0,4
"differences",0,4
"doesn",0,4
"doors",0,4
"dries",0,4
"dropped",0,4
"droppers",0,4
"dryer",0,4
"eagle",0,4
"elbow",0,4
"empty",-1,4
"equal",0,4
"experienced",0,4
"feet",0,4
"fell",0,4
"filling",0,4
"finger",0,4
"firmly",0,4
"fitting",0,4
"fridge",0,4
"functional",0,4
"glad",1,4
"green",0,4
"gripper",0,4
"grommets",0,4
"hair",0,4
"hassle",0,4
"hell",-1,4
"hit",0,4
"hopes",1,4
"hour",0,4
"huge",1,4
"idle",0,4
"impossible",0,4
"inches",0,4
"included",0,4
"initially",0,4
"insert",0,4
"insulation",0,4
"internet",0,4
"jb",0,4
"joint",0,4
"justrite",0,4
"leaking",0,4
"legs",0,4
"lightweight",0,4
"limited",-1,4
"lined",0,4
"link",0,4
"locks",0,4
"looked",0,4
"lumen",0,4
"male",0,4
"manufacturing",0,4
"measurement",0,4
"medical",0,4
"mid",0,4
"minor",0,4
"minute",0,4
"mist",0,4
"mixed",0,4
"mixing",0,4
"nicely",0,4
"nyou",0,4
"p10",0,4
"packaged",0,4
"packed",0,4
"padding",0,4
"pain",-1,4
"performs",0,4
"plan",0,4
"plunger",0,4
"pop",0,4
"positive",1,4
"powerful",1,4
"precision",0,4
"prevented",-1,4
"professional",0,4
"pulled",0,4
"quantity",0,4
"racks",0,4
"rate",0,4
"receptacle",0,4
"recieved",0,4
"reduced",0,4
"refused",-1,4
"removing",0,4
"require",0,4
"rigid",0,4
"rip",0,4
"roll",0,4
"rubber",0,4
"scalpel",0,4
"sell",0,4
"send",0,4
"sets",0,4
"shipment",0,4
"slightly",0,4
"snap",0,4
"sonicare",0,4
"special",0,4
"spent",0,4
"squirt",0,4
"stopped",-1,4
"stores",0,4
"strip",0,4
"task",0,4
"tear",0,4
"temps",0,4
"terralux",0,4
"testing",0,4
"throw",0,4
"toilet",0,4
"tooth",0,4
"toy",0,4
"trigger",0,4
"trouble",-1,4
"trust",1,4
"tv",0,4
"uncomfortable",-1,4
"variety",0,4
"volt",0,4
"wall",0,4
"wear",0,4
"weld",0,4
"wet",0,4
"windex",0,4
"winter",0,4
"worthless",-1,4
"write",0,4
"1.5",0,3
"100",0,3
"13",0,3
"140",0,3
"2009",0,3
"34",0,3
"3d",0,3
"4d",0,3
"50",0,3
"90",0,3
"9000",0,3
"actual",0,3
"ad",0,3
"added",0,3
"advance",0,3
"ahead",0,3
"aid",0,3
"alcohol",0,3
"alot",0,3
"amazing",1,3
"ancient",0,3
"anymore",0,3
"apparently",0,3
"appears",0,3
"appliances",0,3
"applications",0,3
"arm",0,3
"arrive",0,3
"ass",-1,3
"attached",0,3
"attachments",0,3
"attempt",0,3
"b00062n42i",0,3
"bathroom",0,3
"beam",0,3
"beat",0,3
"bedroom",0,3
"biggest",0,3
"bin",0,3
"bostitch",0,3
"bother",-1,3
"bracket",0,3
"brass",0,3
"breaking",0,3
"breath",0,3
"brushing",0,3
"bucket",0,3
"buckle",0,3
"buff",0,3
"building",0,3
"caliper",0,3
"cam",0,3
"cars",0,3
"cart",0,3
"cats",0,3
"caution",0,3
"chart",0,3
"checked",0,3
"china",0,3
"claims",0,3
"clamping",0,3
"class",0,3
"cleaners",0,3
"cleans",0,3
"club",0,3
"combo",0,3
"compare",0,3
"comparing",0,3
"complain",-1,3
"components",0,3
"composite",0,3
"confusing",-1,3
"constructed",0,3
"contact",0,3
"content",0,3
"cord",0,3
"cosmetic",0,3
"cotter",0,3
"covered",0,3
"crack",0,3
"cracked",0,3
"cradle",0,3
"craft",0,3
"craftsman",0,3
"crap",-1,3
"crown",0,3
"cured",0,3
"customers",0,3
"cutting",-1,3
"daily",0,3
"date",0,3
"dealing",0,3
"debris",0,3
"deep",0,3
"dent",0,3
"developed",0,3
"digital",0,3
"dirty",-1,3
"disappointing",-1,3
"disappointment",-1,3
"display",0,3
"drywall",0,3
"enter",0,3
"exception",0,3
"expectations",0,3
"experience",0,3
"factory",0,3
"failure",-1,3
"falls",0,3
"faulty",0,3
"fear",-1,3
"features",0,3
"female",0,3
"fenix",0,3
"file",0,3
"fills",0,3
"fishing",0,3
"fixed",0,3
"flashlights",0,3
"foam",0,3
"fold",0,3
"food",0,3
"forever",0,3
"fresh",1,3
"friction",0,3
"front",0,3
"fryer",0,3
"frying",0,3
"gallon",0,3
"gauges",0,3
"giving",0,3
"glass",0,3
"gorilla",0,3
"grease",0,3
"grips",0,3
"guy",0,3
"handling",0,3
"happen",0,3
"hardener",0,3
"harder",0,3
"harness",0,3
"heard",0,3
"heavier",0,3
"helpful",1,3
"helping",1,3
"holding",0,3
"honeywell",0,3
"hoped",0,3
"impressed",1,3
"improved",1,3
"improvement",1,3
"installations",0,3
"installing",0,3
"joist",0,3
"kreg",0,3
"leave",-1,3
"leaves",0,3
"lifted",0,3
"lighter",0,3
"living",0,3
"location",0,3
"loud",0,3
"lowes",0,3
"magnets",0,3
"manage",0,3
"mark",0,3
"materials",0,3
"means",0,3
"meets",0,3
"merchandise",0,3
"mind",0,3
"minimal",0,3
"misleading",-1,3
"mistake",-1,3
"models",0,3
"mold",0,3
"moves",0,3
"na",0,3
"nas",0,3
"natural",1,3
"night",0,3
"note",0,3
"npros",0,3
"nthis",0,3
"nunfortunately",0,3
"nwe",0,3
"odd",-1,3
"online",0,3
"opposite",0,3
"options",0,3
"output",0,3
"panasonic",0,3
"panels",0,3
"pass",0,3
"patch",0,3
"pegboards",0,3
"perform",0,3
"philips",0,3
"planned",0,3
"play",0,3
"plugs",0,3
"plywood",0,3
"poles",0,3
"poly",0,3
"pounds",0,3
"pouring",0,3
"press",0,3
"previous",0,3
"priced",0,3
"prime",0,3
"produced",0,3
"promised",1,3
"puller",0,3
"pushing",0,3
"questions",0,3
"quicker",0,3
"quit",0,3
"radiator",0,3
"range",0,3
"reading",0,3
"realized",0,3
"reasonable",0,3
"reduce",0,3
"refrigerators",0,3
"refund",0,3
"replacements",0,3
"replacing",0,3
"residue",0,3
"resistance",0,3
"response",0,3
"result",0,3
"road",0,3
"rolls",0,3
"sad",-1,3
"scheduled",0,3
"screwed",-1,3
"seam",0,3
"season",0,3
"senco",0,3
"shine",0,3
"ship",0,3
"shot",0,3
"shoulders",0,3
"sizes",0,3
"skeptical",-1,3
"skillet",0,3
"sleeve",0,3
"slightest",0,3
"slips",0,3
"slower",0,3
"smell",0,3
"socket",0,3
"solid",1,3
"son",0,3
"speed",0,3
"sprayed",0,3
"spread",0,3
"square",0,3
"stains",0,3
"sterile",0,3
"strain",0,3
"substantial",1,3
"success",1,3
"sucks",-1,3
"suggested",0,3
"suitable",0,3
"suited",0,3
"superior",1,3
"supply",0,3
"surfaces",0,3
"surprised",0,3
"tested",0,3
"tester",0,3
"thick",0,3
"threaded",0,3
"tighten",0,3
"tiny",0,3
"toe",0,3
"told",0,3
"tongue",0,3
"tools",0,3
"tops",1,3
"tough",0,3
"towel",0,3
"transport",0,3
"trash",0,3
"understand",0,3
"unhappy",-1,3
"upside",0,3
"usa",0,3
"user",0,3
"usual",0,3
"video",0,3
"vinyl",0,3
"wait",0,3
"waited",0,3
"warped",0,3
"wasted",-1,3
"wasteful",0,3
"website",0,3
"wheels",0,3
"wipe",0,3
"woodworking",0,3
"words",0,3
"worried",-1,3
"wow",1,3
"wrench",0,3
"02",0,2
"04",0,2
"1000",0,2
"10x",0,2
"11",0,2
"125",0,2
"17",0,2
"1mm",0,2
"2500",0,2
"300",0,2
"35",0,2
"3m",0,2
"4.0",0,2
"48",0,2
"60172",0,2
"6d",0,2
"9",0,2
"abuse",-1,2
"aching",-1,2
"act",0,2
"action",0,2
"activator",0,2
"adequate",1,2
"adjustable",0,2
"adjusting",0,2
"adjustment",0,2
"ads",0,2
"advertisement",0,2
"affect",0,2
"afraid",-1,2
"aging",0,2
"alternative",0,2
"amd",0,2
"amounts",0,2
"amp",0,2
"applying",0,2
"approximately",0,2
"arrival",0,2
"art",0,2
"assortment",0,2
"attaches",0,2
"attention",0,2
"attractive",0,2
"average",0,2
"avoid",-1,2
"awkwardly",0,2
"baby",0,2
"backlight",0,2
"bags",0,2
"balanced",0,2
"barbs",0,2
"bases",0,2
"batch",0,2
"batteries",0,2
"beast",0,2
"beautifully",1,2
"beefy",0,2
"beginning",0,2
"belts",0,2
"bench",0,2
"bet",0,2
"bike",0,2
"bill",0,2
"bins",0,2
"birthday",0,2
"black",0,2
"blame",-1,2
"blends",0,2
"block",-1,2
"blowing",0,2
"bob",0,2
"bogus",0,2
"bonding",0,2
"booklet",0,2
"bostich",0,2
"bothering",0,2
"boxed",0,2
"boy",0,2
"braces",0,2
"breaker",0,2
"breaks",0,2
"breeze",0,2
"brother",0,2
"brute",0,2
"bucks",0,2
"buffing",0,2
"builder",0,2
"builds",0,2
"bulbs",0,2
"bulky",0,2
"cabinet",0,2
"capability",0,2
"card",0,2
"carefully",1,2
"cast",0,2
"caulk",0,2
"causing",0,2
"chain",0,2
"chance",1,2
"charges",-1,2
"charging",0,2
"charm",1,2
"chemicals",0,2
"chinese",0,2
"chore",0,2
"classroom",0,2
"clay",0,2
"clicker",0,2
"cloudy",0,2
"cm_cr_arp_d_rvw_txt",0,2
"collecting",0,2
"collet",0,2
"comfortably",0,2
"common",0,2
"companies",0,2
"compressed",0,2
"compressor",0,2
"computers",0,2
"concept",0,2
"concluded",0,2
"conditioner",0,2
"confirm",0,2
"connect",0,2
"consistent",0,2
"consistently",0,2
"constantly",0,2
"consuming",0,2
"contacting",0,2
"container",0,2
"containment",0,2
"continue",0,2
"controller",0,2
"controls",0,2
"cooled",0,2
"cooling",0,2
"core",0,2
"counter",0,2
"cpus",0,2
"crappy",0,2
"crawford",0,2
"crazy",-1,2
"cree",0,2
"cumbersome",0,2
"curing",0,2
"curved",0,2
"damage",-1,2
"data",0,2
"daughter",0,2
"de",0,2
"defect",-1,2
"deg",0,2
"dented",0,2
"descriptions",0,2
"dia",0,2
"dials",0,2
"die",-1,2
"died",-1,2
"dies",0,2
"difficulty",0,2
"dimensions",0,2
"directed",0,2
"direction",0,2
"disapointment",0,2
"discover",0,2
"disease",0,2
"dismantle",0,2
"disposable",0,2
"distance",0,2
"dlp",0,2
"documents",0,2
"dollars",0,2
"doorstop",0,2
"dowels",0,2
"dp",0,2
"drilled",0,2
"drip",0,2
"drive",0,2
"driver",0,2
"dropper",0,2
"drops",0,2
"duo",0,2
"duplex",0,2
"earlier",0,2
"earth",0,2
"ease",1,2
"edges",0,2
"electro",0,2
"electronic",0,2
"electronics",0,2
"eliminate",0,2
"emailed",0,2
"enable",0,2
"energizer",0,2
"engage",1,2
"engineered",0,2
"environment",0,2
"equivalent",0,2
"eventually",0,2
"everyday",0,2
"exact",0,2
"excel",0,2
"exchange",0,2
"exchangeable",0,2
"excited",1,2
"expand",1,2
"experiment",0,2
"experiments",0,2
"extend",1,2
"extension",0,2
"faberware",0,2
"fabulous",1,2
"fail",-1,2
"faint",0,2
"fair",1,2
"family",0,2
"fault",0,2
"feature",0,2
"feed",0,2
"fields",0,2
"filler",0,2
"filter",0,2
"final",0,2
"firm",0,2
"fish",0,2
"fixing",0,2
"flicker",0,2
"flip",0,2
"flood",0,2
"flowing",0,2
"fluid",0,2
"focus",0,2
"follow",0,2
"fool",-1,2
"forget",-1,2
"formula",0,2
"formulation",0,2
"fortunately",0,2
"forward",0,2
"fossil",0,2
"fraction",0,2
"fragile",0,2
"frame",0,2
"frameing",0,2
"freight",0,2
"friendly",1,2
"friends",0,2
"fry",0,2
"fun",1,2
"functioning",0,2
"furnace",0,2
"future",0,2
"gal",0,2
"game",0,2
"generate",0,2
"ghost",-1,2
"gladly",0,2
"gloves",0,2
"glued",0,2
"glues",0,2
"goni",0,2
"gotta",0,2
"gown",0,2
"grab",0,2
"grabbed",0,2
"greatly",0,2
"griddle",0,2
"guarantee",1,2
"guide",0,2
"hammer",0,2
"hanger",0,2
"hanging",0,2
"hanson",0,2
"harbor",0,2
"heal",0,2
"hear",0,2
"heater",0,2
"height",0,2
"hf",0,2
"hinge",0,2
"hinges",0,2
"hobby",0,2
"honest",1,2
"horrible",-1,2
"hotter",0,2
"household",0,2
"houses",0,2
"housing",0,2
"href",0,2
"humid",0,2
"humidity",0,2
"hung",0,2
"hurt",-1,2
"hurts",-1,2
"i.e",0,2
"i5",0,2
"incandescent",0,2
"inclined",0,2
"incredible",0,2
"inferior",-1,2
"information",0,2
"inlet",0,2
"inserts",0,2
"installation",0,2
"instance",0,2
"instrument",0,2
"interior",0,2
"isopropyl",0,2
"jack",0,2
"jig",0,2
"jiggle",0,2
"keys",0,2
"kick",0,2
"kid",0,2
"knees",0,2
"knob",0,2
"knobs",0,2
"knock",0,2
"knowing",0,2
"knurled",0,2
"kwikweld",0,2
"labeling",0,2
"labor",0,2
"lacking",0,2
"lake",0,2
"lap",0,2
"law",0,2
"layer",0,2
"learned",0,2
"leg",0,2
"lens",0,2
"lever",0,2
"license",0,2
"lid",0,2
"lifetime",0,2
"likes",1,2
"lines",0,2
"linked",0,2
"listed",0,2
"live",0,2
"loaded",0,2
"locate",0,2
"locked",0,2
"loops",0,2
"loses",0,2
"lossy",0,2
"lost",-1,2
"lots",0,2
"loved",1,2
"luck",1,2
"lumens",0,2
"luz",0,2
"machines",0,2
"maglight",0,2
"manufactured",0,2
"marked",0,2
"market",0,2
"massage",0,2
"match",0,2
"max",0,2
"medium",0,2
"mess",-1,2
"meters",0,2
"methods",0,2
"mhz",0,2
"microwave",0,2
"minimum",0,2
"mm",0,2
"mode",0,2
"modes",0,2
"modification",0,2
"moisture",0,2
"mom",0,2
"motherboard",0,2
"mount",0,2
"mounted",0,2
"multimeter",0,2
"mx",0,2
"n3",0,2
"n4",0,2
"names",0,2
"necessity",0,2
"negative",-1,2
"nfor",0,2
"ngreat",0,2
"ni'm",0,2
"nicer",0,2
"nin",0,2
"nit's",0,2
"nmy",0,2
"nnot",0,2
"nnote",0,2
"nnow",0,2
"noisy",-1,2
"notch",0,2
"noted",0,2
"november",0,2
"noverall",0,2
"nstill",0,2
"nthese",0,2
"nupdate",0,2
"nurse",0,2
"nursing",0,2
"nylon",0,2
"oak",0,2
"object",0,2
"objects",0,2
"october",0,2
"oem",0,2
"office",0,2
"ohms",0,2
"oil",0,2
"omg",0,2
"one's",0,2
"opinion",0,2
"osb",0,2
"outdoor",0,2
"oven",0,2
"overheating",0,2
"overnight",0,2
"overpriced",0,2
"owned",0,2
"oz",0,2
"paint",0,2
"pakistan",0,2
"pastes",0,2
"patched",0,2
"paying",0,2
"pc's",0,2
"pee",0,2
"pegs",0,2
"performed",0,2
"period",0,2
"periodontal",0,2
"permanent",0,2
"pets",0,2
"pic",0,2
"placement",0,2
"planter",0,2
"plants",0,2
"plate",0,2
"pole",0,2
"polysynthetic",0,2
"poorly",0,2
"popping",0,2
"pops",0,2
"portable",0,2
"posted",0,2
"potentially",0,2
"poured",0,2
"powered",0,2
"pp",0,2
"preventing",-1,2
"previously",0,2
"prices",0,2
"primarily",0,2
"processor",0,2
"program",0,2
"prompt",0,2
"proof",0,2
"protect",1,2
"protection",0,2
"pulling",0,2
"purchases",0,2
"purposes",0,2
"putting",0,2
"quarter",0,2
"reach",1,2
"rear",0,2
"receive",0,2
"receiving",0,2
"reception",0,2
"ref",0,2
"refill",0,2
"reflect",0,2
"regret",-1,2
"release",0,2
"remaining",0,2
"remover",0,2
"repaired",0,2
"replaces",0,2
"requiring",0,2
"research",0,2
"returnable",0,2
"reviewer",0,2
"riveter",0,2
"rods",0,2
"rolled",0,2
"rollers",0,2
"rolling",0,2
"rounded",0,2
"rust",0,2
"rustaid",0,2
"rusted",0,2
"sander",0,2
"saved",1,2
"saves",0,2
"saving",0,2
"scale",0,2
"school",0,2
"scissors",0,2
"scrapers",0,2
"scratched",0,2
"sealing",0,2
"securely",0,2
"selection",0,2
"selling",0,2
"sensor",0,2
"series",0,2
"servers",0,2
"setup",0,2
"shaft",0,2
"shame",-1,2
"shape",0,2
"sharper",0,2
"sheared",0,2
"sheer",0,2
"shelf",0,2
"shipper",0,2
"shoe",0,2
"sholder",0,2
"shopvac",0,2
"shorted",0,2
"shorter",0,2
"shower",0,2
"shown",0,2
"significant",1,2
"sinks",0,2
"sister",0,2
"sit",0,2
"situation",0,2
"situations",0,2
"slick",1,2
"slides",0,2
"sloppily",0,2
"slot",0,2
"smith",0,2
"smoothed",0,2
"smoothly",0,2
"smother",0,2
"snapped",0,2
"snapping",0,2
