"id","text","rating","afinn","lsd","vader","afinn_binary","lsd_binary","vader_binary"
11,"I want to pin down the Secretary of State on the question of terrorism. Will he explain exactly how a voluntary identity card will protect us against terrorism? If identity cards are to become compulsory in 10 years, does he think that the war on terror will still be being fought in 2015?",0,-0.75,-0.955511445027436,-0.954,"0","0","0"
12,"I congratulate the hon Member for Newark  on his success in being No. 1 in the ballot. I am pleased to say that I support the Bill. I shall briefly explain why. Most of my constituents think the balance of the law is wrong, and that it needs to be changed radically in their favour and against those who break the law. If I have any criticism of the hon Gentleman's Bill, it is that it does not go far enough. As most of my constituents know, when we have been burgled none of us is in a totally rational state. As the hon Member for Upminster  said, none of us knows how we will behave in those circumstances. However, a climate has built up in this country leading most people to feel that whatever they do in those circumstances, the law is more likely to doubt their word than the word of those who are breaking the law. I was therefore disappointed when the Lord Chancellor weighed in on the debate to remind us, as he thought, that burglars, too, have rights. Those were his words. I was surprised that, given his closeness to the Prime Minister, he was not more on message, for the Prime Minister is right always to have stressed that duties come before rights. Most of us in this country believe that we should be allowed to go about our business peacefully and without being interrupted violently or otherwise by other citizens, but that if we should decide to break into somebody else's property, the rights that have to be respected are negated. It is with regard to that balance that I support the change that hon Gentleman is trying to achieve in the Bill. Of course, the hon Gentleman is very lucky to have come high in the ballot at this time of the parliamentary calendar, because it is at this stage, in the last few weeks of a Parliament, when voters become more powerful than they usually are and when, if there is such a thing as sovereignty in this place, it leaves here and goes back to voters. I therefore have no doubt whatever that my party will clarify its position on immigration before we face the electorate again. I am quite sure that, as a result of the Bill, whether it is passed or not, the debate has now been changed for the better and the law will be clarified in a way that is advantageous to our constituents. I view the opportunity that we have today thanks to the choice of this Bill as a chance to have a slightly wider debate on how our constituents regard the criminal justice system. I therefore regard the Bill as almost the barium meal of an X-ray. I represent constituents who feel that the police force that they pay for has largely lost confidence in enforcing the law and is broken backed. They feel that the police themselves believe that, if they try to enforce the law as they believe it should be enforced, the weight of authority will again be against them. It is deeply disturbing to look at the numbers involved, not of people who commit crime, but of those who are brought to justice. All the interventions from both sides of the House have assumed that the police force in this country works as we would like it to work and that the police keep turning up and taking evidence or are at least on hand. That is not my experience. The figures for London show that each police officer successfully helps to prosecute an average of three people a year. In Merseyside, the figure is six.Including those figures as well, this is an alarming state of affairs. While we are discussing a very narrow but immensely important issue today, I do not want to conclude my comments without setting them in a wider context. I know that the Government are much concerned about the issue and that it is not an easy one to deal with. We are dealing with a much wider issue, as the community itself is ceasing to control and govern itself. In those circumstances, the law and the police have a part to play, but only a small one. It is in that wider context that the Home Office has tried to be pioneering in dealing with the collapse of decent behaviour in our community, which goes way beyond the Home Office brief and which we need to bear in mind in discussing the very narrow but important topic that we are discussing to today.The hon Gentleman knows perfectly well why those on the Front Bench are behaving as they are. As I said, before the election, we will clarify our position. Naturally, as we are the governing party, we want the credit for it.My hon Friend exaggerates slightly. The Bill does not surrender the right to life, but it does surrender the privileges that the rest of us naturally expect if we are law-abiding citizens. It is that difference that one wants to emphasise.A lot of people want to get in, but I want to make just one final point. Although we are dealing with this narrow but very important topic today, I also wish to make another plea on behalf of my constituents, as some of them have asked me to make it. As somebody who has been burgled, I know what they mean and I am happy to do so. Sometimes, it is natural that we present these debates in a very technical manner. Perhaps that is inevitable, but there are huge human consequences in respect of the actions in question. Some of my constituents who have suffered burglaries, sometimes with violence, but sometimes without it, still feel affronted by what has happened to them. They believe that the burglars have stolen something about their lives that they possessed before and which they could not put into words, and that their position as citizens has been changed. While we may have technical and clever points to make against the Bill, I hope that Labour Members will not vote against it, and that we will also look forward to my hon Friend the Minister, who is sitting patiently on the Front Bench, stepping forward at some date soon to clarify our position, and likewise to claim the credit.",1,0.473684210526316,0.400323708607746,0.999,"1","1","1"
13,"I am grateful to the Chancellor for giving way so graciously. On the key issue of public service reform, the right hon Gentleman will be aware that there has been much speculation about whether there are divisions between the Prime Minister and himself on top-up tuition fees. So that we can be in no doubt, will he tell us specifically whether he supports variable top-up fees?",1,0.75,0.587786664902119,0.912,"1","1","1"
14,"Has my right hon Friend seen last week's article by Sir Peter Lampl in  The Times? He is a man who has done more for higher education than almost anyone in this country and who is totally unbiased in his politics, and he describes this double hammer blow to higher education as a disaster in a sector where we were world leaders.",1,0,-0.336472236621213,-0.317,"0","0","0"
15,"I should say at the outset that I sympathise with the hon Gentleman's arguments, but those at the Financial Services Authority say that the charges simply reflect the costs that arise from that section of their organisation. How do we respond to that?The hon Gentleman refers to the FSA, but surely it will argue that, because industrial and provident societies are more complex than companies and because there are not as many such societies as companies, we cannot make a direct comparison between the fees charged for the two groups. How do we respond to that criticism?Although my hon Friend says that a direct comparison cannot be drawn, does she accept that there is considerable evidence, especially from the worker co-operative sector, that some small organisations are choosing to register as companies rather than industrial societies because of the differential, and will she bear that in mind when considering the matter in the future?",0,-0.666666666666667,-0.451985123743057,0.709,"0","0","1"
16,"EU citizens working in the health service are at this moment receiving abuse from patients with whom they are working, on the grounds that they should not be working in the health service and should be going home. Will my right hon Friend invite the Health Secretary to give a very strong statement of support for all those EU citizens working in our health service, who should have the right to stay for as long as their services can be of good for this country?",1,1,1.6094379124341,0.831,"1","1","1"
17,"Is not the comparison that the hon Member for Glasgow, Cathcart  made ludicrous? Clearly, elections to the House have to take place in a stipulated period of time. The Bill makes no such stipulation. The Secretary of State could decide to hold them in five years.",0,0,-1.09861228866811,-0.25,"0","0","0"
18,"On a couple of occasions the hon Gentleman has mentioned friends and colleagues who are no longer with us. In the wake of the private conversations that he had with them, did either of them ever mention the hokey-cokey politicians who cannot make up their minds whether they will stay in this Parliament or in the Scottish Parliament?",1,-1,1.6094379124341,0.226,"0","1","1"
19,"I know of the great work that the Lewisham Refugee and Migrant Network has done in our borough. Will my hon Friend join me in recognising the work of Action for Refugees in Lewisham, which I am sure will be assisted by the provisions of the Bill in helping some of the most vulnerable to be resettled in south London?",1,1,1.29928298413026,0.896,"1","1","1"
20,"I wish to return to the point that my hon Friend the Member for Crawley  made about places of worship. From my discussions with the Minister, I know that he has spoken warm words, but will he use this opportunity to place on the record his broad thinking about how places of worship can be accounted for in planning policy?",1,1.33333333333333,1.29928298413026,0.889,"1","1","1"
21,"I make no apologies for the policies that were pursued while I was Secretary of State for Health, because I set about implementing every item in Labour's election manifesto. I know that implementing promises in election manifestos has gone out of fashion on the Government Benches, but it has not gone out of fashion with me. Before I became Health Secretary, while I was Health Secretary and since, most doctors, nurses, midwives and others in the health service have said above all, ""For God's sake, leave us alone, stop diverting our attention into reorganisation and let us get on with the job of looking after patients and raising standards of treatment and care."" Presumably, that was why the Conservative manifesto and the coalition programme both stated: ""We will stop the top-down reorganisations of the NHS"". They claim that their proposed reforms are not top-down, but I cannot think of anything more top-down than an Act of Parliament set out in 353 pages and 61,344 words, and yet it is still a broken promise. The NHS, as we all know, is doing better than ever before: waiting lists have come down dramatically; waiting times have been massively reduced; and survival rates are dramatically improving. Most people, in most places, and most of the time, are getting a very good deal from the health service, which is why it is more popular than ever before.No, I do not have time. Those improvements have come about not as a result of any structural changes, but because the Labour Government put into the NHS more money than ever before, built more new hospitals than ever before, put in more new equipment and, above all, recruited record numbers of doctors and nurses. We also put more emphasis on standards and on trying to ensure that we spread best practice right across the health service. I accept that we need more clinician involvement in decision making, but we do not need to go to GP commissioning to bring that about. All we need do is get more of them on primary care trusts with more influence there. Why is it just confined to GPs? There is no reference to greater involvement of hospital specialists and there is nothing in the 61,000-odd words about giving hospital doctors a bigger say, and they have some expertise in these matters. Many GPs, as we know, do not support the proposals, and many of them want to get on with just being doctors. One great deception that is being promoted is saying to patients, ""You and your GP will decide where you will get treated."" That is simply not true. Unless the consortium of which the GP is a compulsory member has a contract with a particular hospital, the patient will not be able to go there from their GP. The NHS is essentially a co-operative organisation in principle and in practice, and now it will be forced to compete: every part of the health service competing with the other parts and the private sector on price. It is rather remarkable, considering all the Eurosceptics on the Government Benches, that the Government are going to force our NHS to comply with European competition rules set out in the Lisbon treaty-the Lisbon treaty that the Tories voted against. Who is most likely to benefit from those rules? The answer is American health corporations, almost all of which have been indicted in the United States for defrauding US taxpayers, doctors, patients and, sometimes, all three. I asked the Secretary of State whether he would rule out any of those outfits obtaining contracts, and I am afraid his answer was, ""I can't say."" The next question is, how will we know what is going on? How will we and local TV, radio and newspapers know what is being decided? In the Bill, there is no serious obligation for hardly any of the decision-making bodies to hold their meetings in public; there is no obligation on declaration of interests; and there is no obligation on consultation. If anyone says, ""Well, freedom of information will cope,"" we know what the answer will be, ""Commercial confidentiality; you can't have it."" If we are to have a competitive system, almost everything will be commercial and, therefore, almost everything will be confidential. These proposals will divert people in the NHS from their job of looking after people. The Government are privatising the NHS, they are fragmenting the NHS, they will cost us a fortune and do little or no good for anybody.Does my right hon Friend agree that the hon Member for St Ives  is perhaps being a little ungrateful? He might have mentioned that the NHS wanted to close all his community hospitals in Cornwall, and that the dreaded centralist top-down Dobson stopped it.At a press conference this morning, the hon Gentleman's predecessor, Dr Richard Taylor, made it perfectly clear that he was utterly opposed to all these proposals.",0,0.704545454545455,0.89199803930511,0.997,"1","1","1"
22,"I am genuinely interested in the description of a ""male role model"". The hon Gentleman mentioned grandparents when he was challenged about who qualified for that lofty position. Who else qualifies as a male role model? Celebrities, such as David Beckham, Andy Murray, or pop stars? I do not know who qualifies for the position.",0,2,0.510825623765991,0.394,"1","1","1"
23,"My hon Friend has mentioned power for shareholders and political interference. Does she agree that it is not right for the Government to intervene in certain situations, such as in the financial crash, when the last Prime Minister effectively pushed Lloyds TSB and RBS into a shotgun marriage?",0,0.5,0.336472236621213,0.791,"1","1","1"
24,"Could my right hon Friend say what steps were taken to publish the risk assessment during the passage of the Health and Social Care Bill?My hon Friend mentions conflicts of interest. Is she aware that one of the companies bidding bid for the privatisation of cancer services is UnitedHealth Group, which was advised by the chief executive of NHS England?",1,-0.4,0.451985123743057,0.594,"0","1","1"
25,"May I tell my right hon Friend that in my constituency, in the first 10 years of the Labour Government, youth unemployment was halved? Then we had a recession, and of course it began to rise. Will not the Government's cuts to the Connexions service, Opening Doors-one of our local facilities paid for by central Government-and education maintenance allowance for students who are in the middle of two-year courses result in more young people going on to the dole?",1,-1.66666666666667,1.94591014905531,-0.243,"0","1","0"
26,"My hon Friend makes a powerful case against nationalisation. Is there not another important point? Whenever nationalisation has taken place in the past, it has been at enormous financial risk to the taxpayer. It costs far too much money when it goes wrong and puts money that is needed for teachers, nurses and doctors to a wholly unproductive use, as I am sure that my hon Friend will confirm.",1,0,-0.200670695462151,0.663,"0","0","1"
27,"The Home Secretary mentioned the eight previous Acts. During my time in the House it has seemed that we get a new immigration Bill at least every two years, and very few of them seem to have any long-lasting beneficial effect. Can she convince me that the Bill is not another example of the Home Office reaching for the statute book, rather than dealing with the management of the immigration service properly, and can she estimate how long we will have to wait for the next immigration Bill?",1,1,0.847297860387204,0.691,"1","1","1"
28,"The right hon Gentleman made a couple of points about the old Committee of Selection. First, he said that in his experience it had made only two wrong decisions. Surely the problem with the Committee was that it never made any decisions at all. The second, allied point he made was that it was not a corrupted body because the Whips on it had a vested interest in keeping their own punters happy. However, is it not true that in most cases Whips used the power of appointment to Select Committees to control their Members, not to keep them happy? In those circumstances, what sort of a court of appeal was the Committee on Selection?I disagree with my hon Friend the Member for Hendon  about the Nomination Committee. Does the hon Gentleman agree that it is a misconception that the Committee needs to be concerned about the identity of individual Select Committee members? Its task is not to replace one Select Committee member with another, but to guard against the abuse of process and the corruption that has been evident for far too long in its predecessor.Does the right hon Gentleman accept that the House of Commons was able to remedy that serious wrong because it was an absolutely gross example of the corruption that we have been talking about today? The measures are attempting to catch the smaller corruptions.",0,0.0833333333333333,-0.451985123743057,-0.878,"1","0","0"
29,"I had not intended to speak in this debate today, but after listening to many of the contributions from both sides of the House, I think I must. It is becoming incredibly clear that those who know most about the motivation of those who voted by a decisive margin to leave the European Union are those who voted to stay in the European Union. They are now experts in the desires that motivated people to go out in record numbers to participate in that referendum. We are constantly being told what they did not vote to do, and I tell this House today what they did vote to do: they voted to leave the European Union. What we are having is a dress rehearsal for an attempt to reverse the decision they took. The single market and the customs union are the vanguard for keeping Britain in the European Union by the back door.My hon Friend is absolutely correct. The Prime Minister, in her two key speeches, has made it very clear that she respects the decision the British public took, which is about control of our borders. As my right hon Friend the Member for Forest of Dean  said earlier, this is not about being against  immigration; it is about being able to deliberately discriminate equally between everyone, from across the world, rather than giving preference to one set of people simply because of where they live. It is about making our own laws again. The Supreme Court on the other side of Parliament Square will again become the supreme court of the United Kingdom, and we will not be subject to the European Court of Justice. And it is about taking back control. It is also about ending the vast payments we make to the EU, for which we are somehow supposed to be grateful because we get a little bit of it back. In short, the British public voted to become an independent, self-governing country again. It is incumbent on this House to deliver on that verdict and to reject the Lords amendments, which have only one aim, which is to thwart the democratic will of the British people.",0,0.461538461538462,1.09861228866811,0.995,"1","1","1"
30,"I will abide by your dictum, Mr Deputy Speaker. It is a great privilege to follow the hon Member for Broxbourne  and the right hon Member for Belfast North . The hon Member for Foyle  and many other Members both from England and the regions have spoken extensively in the debates in opposition to the Bill for various reasons. Let me say at the outset that I commend the Minister. I say to the Deputy Prime Minister that he should be proud of a Minister who, under fire, has completely resisted any suggestions, alternative ideas or possibility that there might be any other logic to adopt for the way forward. The Minister has done very well in that respect. There is a difficulty in that position, however, and it involves a fundamental point of principle. I agree that equalisation is a real issue, but I honestly thought that Liberals and Conservatives understood not only this Parliament and the Union, but also the slow evolution of the Union. Issues to do with the Union have been approached incrementally by and large. Successive Government of Wales settlements, and Northern Ireland and other settlements, have been very sensitively engineered and calibrated in order that the Union is strengthened. I am a strong Unionist, and my fear in respect of this Bill is not as the Member for Ogmore, although I know that under the maps for these proposals my constituency disappears-and I am sure it is only a coincidence that it has the biggest absolute majority of any constituency in Wales. I can take that on the chin, however.The hon Gentleman says I have a certain number of voters. What he and his Government colleagues are doing in the Bill is reductively defining parliamentary democracy as U / 598 It states: ""In this Schedule the 'United Kingdom electoral quota' means- U / 598 I say to the hon Gentleman and all his colleagues that this is the ultimate constitutional fetishism, because all those individuals are people who have an identity with the community. As people in Cornwall and Devon have recognised, one of the defining characteristics of this whole debate is that there are areas where people strongly identify not only with their region, but the locality. There is a Welsh word that the hon Member for Brecon and Radnorshire , but not many other Members, will recognise. ""Hiraeth"" is difficult to translate, but it means longing and identity with a place, a people, a community. My constituents will be deliriously happy to know that that can be dissolved down to the formula U / 598 A Member on the Government Benches asked what was the point of his being here in Parliament and what was the point of his identifying with his area, and he is right to ask those questions. Why is one of the key figures decided on in the Bill 95% to 100% with no variation? Why do the Bill's provisions display a singular inability to recognise the diverse nature of the United Kingdom, except in two or three specific instances? Disraeli has been mentioned in our debate. When Disraeli was in a heated discussion with Gladstone across that Dispatch Box and was being defeated by the incessant logic being deployed he told him not to desist in the fanatical application of his sterile logic. That is what we are confronted with here, and I genuinely hope that when this Bill goes to the other place they who have a respect for our constitution, our devolution settlement, and the role of this Parliament and of elected representatives will stop this in its tracks, because our electorate-the people whom we represent-deserve a lot more.",0,0.45,0.987386653557885,0.988,"1","1","1"
31,"The Bank of England gave evidence to the Treasury Committee yesterday and did not concur in any way with the predictions that the hon Gentleman is making. It gave no indication that it believed that boom and bust was about to occur.",0,-1,-1.09861228866811,-0.103,"0","0","0"
