"id","rating","text","afinn","lsd","vader"
107,"neutral","silicon wafer maker okmetic oyj said september 17 2008 vest total 15 mln euro 21. 3 mln sensor wafer",0,0,0
108,"negative","last year upm cut production close mill slash 700 job",-0.3,0,-0.494
109,"positive","itunes base material accessible window base macintosh computer transfer portable vice include apple s ipods",0,0.333,0
110,"neutral","international operate account 80",0,0,0
111,"positive","xerox stora enso team tailor igen3 short run demand package market",-0.2,0,-0.128
112,"neutral","r d loan",0,0,0
113,"neutral","said current french distribute it ragot locate loudeac normandy distribute it waterqueen line supply tortue saint marcel mid france hook manufacture it vmc hook distribute it vmc europe morvillars",0,1,0
114,"neutral","estimate indicate even 170 different tablet computer read vice avail 2011",0,-1,0
115,"negative","addition 29 employee can laid notice whole workforce can laid short period need",0,0,0
116,"neutral","bioheapleaching make extraction metal low grade ore economical viable",0,1,-0.273
117,"neutral","m2 communicate claim liability information provide within information world wide web",0,0,-0.202
118,"negative","media talentum oyj s crease 2. 5 mln euro 4. 0 mln first quarter 2008 3. 0 mln euro 4. 7 mln period 2007",0,1,0
119,"neutral","want serve k citymarket custom offer interesting topical selection",0.3,1,0.459
120,"positive","operate 11. 07 8. 65",0,0,0
121,"positive","uponor made operate 151. 0 143. 7 made 2007 cord year",0,0,0.637
122,"positive","adp new feb 9 computer service proha oyj hel art1v said today loss narrow 113,000 usd 146,000 2008 1. 2 2007",-0.6,-1,-0.318
123,"neutral","affectogenimap build high customised solute custom baltic country",0,0,0
124,"positive","crease estimate 117 last year",0,0,0
125,"negative","common weak snow condition near every market affect first quarter result chief execute roger talermo said",-0.4,-1,-0.44
126,"negative","metal sector componenta lay temporarily staff pori mill christmas 2008 till 6 january",0,0,0
127,"neutral","pine oil project relate upgrade chemical recovery plant upm pulp mill kymi southern",0,1,0
128,"negative","group s operate loss 0. 8 2. 5 2004",-0.6,-1,-0.318
129,"positive","first nine months 2010 s loss narrow 415,000 7. 4 correspond period",-0.6,-1,-0.318
130,"neutral","gross area innova 2 project 10,000 sq m 107,600 sq ft",-0.4,-1,-0.477
131,"neutral","estimate 30 pct mobile call made home france telecom hope 15 pct orange client sign service end 2008",0.4,1,0.44
132,"positive","mill long tradition hold establish position market",0,0,0
133,"neutral","manage decide end 2005 crease cathode copper capacity",0,0,0
134,"neutral","admit 36 months relative short time operate russia",-0.2,1,0.202
135,"positive","earn p share quarter came 0. 25 0. 20 quarter year early",0.2,0,0.296
136,"neutral","kyroskoski invest complete late 2011 ænekoski invest spring 2012",0,0,0
137,"neutral","technopolis approximate 130 custom company jyvaskyla",0,0,0
138,"neutral","floor area yliopistonrinne project 7,900 sq m 85,030 sq ft build s gross area total 12,800 sq m total 25. 1 facility let",-0.4,-1,-0.477
139,"neutral","among paper issue stora enso r little change 0. 08 pct 12. 03 upm kymmene 0. 48 pct high 18. 77 m real b add 0. 50 pct 3. 99",0,0,0
140,"neutral","sale savcor face cencorp result loss can yet determine owe factor include valuation considerate share receive prevail exchange rate",-0.2,0,0.421
141,"positive","salo 29 august 2006 benefon today announce plan strengthen house technology platform license complete mobile software platform opna long stand technology partner pollex",0.4,1,0.318
142,"neutral","share repurchase 11. 01. 2008 helsinki stock exchange behalf sampo plc danske bank s helsinki branch",0.2,1,0.296
143,"neutral","kemira headquarter helsinki international chemical group comprise area kemira pulp paper kemira water kemira specialty kemira coat",0,0,0
144,"neutral","19 may 2010 lemminkainen oyj hel lem1s said today construct office build toolonlahti downtown helsinki without disclose financial tail",0,1,0
145,"neutral","copy publication distribute afx new content inculding frame similar mean express prohibit without prior written sent afx new",0,-1,0
146,"neutral","continuous need alloy nickel ferro chrome molybdenum manganese production said talvivaara",0,0,0
147,"negative","operate exclude non recurring item totalled 2. 2 2. 7 correspond period 2008",-0.2,-1,-0.226
148,"neutral","financial tail provide",0,1,0
149,"neutral","first industrial seek leed designate uponor s new build 282,000 square foot speculate distribute cent first park lakeville",0,0,0
150,"neutral","merisatama far corn world asfaltti osakeyhti lemmink æinen establish 1910 group master build helsinki specialist subcontractor",0,1,0
151,"negative","estonian electronic component factory elcoteq running material closure air traffic",0,0,0
152,"neutral","orange handle scissor fiskars part permanent sign collection museum modern art new york well philadelphia museum art",0,1,0.273
153,"positive","follow last year s good develop enter current year good position",0.6,1,0.7
154,"neutral","financial tail n't disclose",0,0,0
155,"neutral","first installment cinema series conclude file inventor olavi linden whose personal artistic journey work fiskars l doz sign award",0.6,1,0.758
156,"neutral","order follow 11 mln euro 16. 1 mln deal made july 2007",0,0,0
157,"positive","please deliver basware voice automate solute major tail u",0.2,0,0.318
158,"negative","operate fell 38. 1 55. 3 2007",0,0,0
159,"negative","nokia s share price fell less one percent 18. 70 euro 25. 41 helsinki siemens share fell 1. 02 percent 90. 19 euro 122. 57 frankfurt",0.2,0,0.527
160,"neutral","eb tough voip field phone equipped integrate speak ethernet shdsl connectivity enable several innovate apply",0.2,0,0.402
161,"neutral","bank pohjola bank plc hel poh1s said today issue 40 usd 51. 2 m index link bond pohjola tutkimuksen tahdet viii 2010 pohjola search star viii 2010 october 27 2010",0,0,0
162,"neutral","capman asset manage 3bn worth asset manage nordic region",0.4,1,0.71
163,"positive","kesko corporate stock exchange lease 28. 02. 2008 09. 30 1 1 kesko corporate aspo plc today sign agree aspo acquire share capital kauko telko ltd subsidiary wholly own kesko",0.2,1,0.572
164,"neutral","company dive upm fray bentos pulp mill forestal oriental specialising eucalyptus cultivate",0,1,0
165,"negative","agricultural newspaper maaseudun tulevaisuus 318,000 read represent crease 6",0,0,0
166,"neutral","outotec s livery cover engineer supply construction circulate fluid b calcination plant capacity 1,600 ton alumina p day",0,0,0
167,"positive","estonia s bee market overall grew three percent last year 130 lit",0,0,0
168,"negative","rival say qualcomm few patent 3g phone early verse low rate",0,0,-0.273
169,"positive","singapore may 2011 1 july 2010 air carry finnair oyj hel fia1s said today open daily route singapore 30 may 2011 part grow strategy asia",0,1,0
170,"negative","baltic country fell 42. 6",0,0,0
171,"neutral","planned ethanol energy production plant can operate correlate waste treatment it paper mill",-0.2,-1,-0.178
172,"neutral","capman stockholm headquarter private equity firm held first close second private equity real estate fund continue push property sector",0,0,0
173,"neutral","end sanoma new want secure foundation save",0.333,1,0.71
174,"neutral","build altogether 130 new substation end year",0,0,0
175,"neutral","talvivaara mine co hel tlv1v said thursday pick bofa merrill lynch jpmorgan nyse jpm joint bookrunners planned issue convertible note worth eur250m usd332m",0.4,0.333,0.226
176,"negative","however market share shrank 47. 59 p cent 48 p cent year early",0.2,0,0.296
177,"positive","order receive grew 55 year year eur732m",0,0,0
178,"positive","mika stahlberg vp f secure lab said excite proud f secure recognize av comparative duct year",0.45,1,0.875
179,"neutral","also please welcome new employee tieto",0.3,1,0.649
180,"neutral","s board director pose dividend eur0 12 p share 2006",0.2,0,0.296
181,"positive","vaahto enter deal via subsidiary vaahto pulp paper machinery supply two it end 2010 remain one expect livery beginning 2011",0,0,0
182,"neutral","share share capital mention shareholder remain 5",0.2,0,0.527
183,"positive","earn p share eps amount eur0 03 loss eur0 08",-0.2,-1,-0.026
184,"positive","cdli highlight company provide comprehensive response carbon closure project cdp information quest",0.4,1,0.527
185,"neutral","ahlstrom s share quote nasdaq omx helsinki",0.2,0,0.296
186,"neutral","juha pekka weckstr m appoint president telecom group teliasonera succeed esa rautalinko",0,1,0.494
187,"neutral","coffee serve start 14 30 eet well event",0,1,0.273
188,"positive","m happy outcome sneed said hear",0.6,1,0.572
189,"neutral","partnership paulig s danish subsidiary oscar puljonki acquire organization european market",0,1,0
190,"positive","warm welcome satama state jussi lansio chairman board",0.3,1,0.599
191,"neutral","part new strategy biohit planning incorporate diagnostic separate limit",0,-1,0
192,"positive","ruukki announce sign agree aker solute norway supply 24 suction anchor september 2010 kalajoki it",0.2,1,0.361
193,"positive","3 january 2011 flag carry finnair oyj hel fia1s said today seal nine year sale leaseback agree new airbus a330 aircraft syndicate japanese operate lease market",0.2,1,0.361
194,"neutral","transaction subject final agree party approvals decision make body approval competition authority",0.267,1,0.822
195,"neutral","expect venue rmb8 0 billion",0,0,0
196,"neutral","helsinki afx cargotec said bought 95 pct stake indital construction machinery ltd bangalore base make fork lift truck mobile crane disclosed sum",0,0,0
197,"neutral","operate operate period view total 11. 3 remain 2005 level",0,0,0
198,"neutral","proline plus mechanical liquid handle vice robust sign suit type apply",0.4,0,0.34
199,"neutral","s main shareholder lihakunta itikka osuuskunta made commitment acquire share worth 20mn",0.333,1,0.691
200,"neutral","save full impact beginning 2007",0.4,0,0.494
201,"positive","s national carry finnair plc carry cord 8. 5 passenger 2005 crease 4. 5 percent previous year airline port tuesday",0,0,0
202,"negative","since associate s data cover figure 100 small local brewery import bee duct actual market share member small given port",0.2,1,0.296
203,"neutral","vaisala s expertise lightning data information system base extensive experience invest r d",0,1,0
204,"neutral","tract sign yesterday run f year include two year extension option",0,0,0
205,"neutral","previous announce geosentric oyj enter finance agreement lead investor june 30 2010 enable receive finance aggregate amount 6m",0.2,1,0.494
206,"negative","operate exclude non recurring item total 5. 4 compare 5. 5 correspond period 2007",-0.2,-1,-0.226
207,"neutral","construction project schedule start second quarter new build schedule place end 2010",0,0,0
208,"negative","operate loss totalled 5. 2 compare loss 3. 4 correspond period 2008",-0.6,-1,-0.557
209,"positive","demand sport equipment good 2005",0.2,1,0.34
210,"neutral","pharmaceutical market italy global search data service publish recent market analysis pharmaceutical market italy",0,0,0
211,"neutral","f secure internet security 2010 security service surf web online bank shoppe e mail online activities",0.4,1,0.735
212,"positive","solid credit compare dz bank rabobank",0.4,1,0.494
213,"neutral","tract trade time high 50,200 ton april 24",0,0,0
214,"neutral","local govern commissioner _ m _ l kurt svensson say tact manage componenta find alternative s decision close plant _ m _ l",0,1,0.718
215,"neutral","design manufacture market advance composite duct industrial apply consume good cross country alpine nordic walk pole floorball stick antenna radomes",0.6,1,0.44
216,"positive","danske bank s danske dc jump 3. 7 percent 133. 4 krone bound yesterday s 3. 5 percent slide",0,0,0
217,"positive","export grew 16. 5 percent 19. 1 lit",0,0,0
218,"positive","buy aim thus reinforce position denmark martela group manage director heikki martela said",0,1,0
219,"positive","software developer basware oyj said november 30 2006 u. s subsidiary basware c won order provide software tract lifecycle manage named u. s medical technology",0.6,1,0.572
220,"neutral","segment annual venue approximate eur400m said",0,0,0
221,"neutral","arrangement apply group s it outside",0,0,0
222,"neutral","hope future turn novel method prevention alcohol tobacco smoke associate oral cancer",0.2,0,-0.052
223,"neutral","capman haavisto responsible group finance account",0.4,1,0.318
224,"positive","vdw combine lxe vice enhance productivity enable worker use single vice perform voice scanning keyboard function",0,-0.333,0
225,"neutral","cooperate involve arena partner buy 35 share new joint venture operate alma media s home vehicle consume advertise marketplace business",0.2,1,0.296
226,"neutral","support global custom develop new technology off fast route duct develop apply volume production",0.4,1,0.402
227,"neutral","raute headquarter nastola technology serve wood duct industry worldwide",0,-1,0
228,"positive","metal industry solute supply outotec oyj rose 50. 4 mln euro 72. 5 mln first nine months 2007 20. 1 mln euro 28. 9 mln period 2006",0,0,0
229,"positive","w ærtsil æ s solute select low fuel consumption environmental sound technology global service support",0.4,1,0.153
230,"neutral","nokian tyres tyres consider genuine winter tyres russia",0,1,0
231,"positive","adpnews nov 9 four company agree buy combine sek 5. 9 billion usd 854m 571. 8 m drug store offer sale part structure swedish state own pharmacy monopoly apoteket ab t",0.2,1,0.361
232,"neutral","2007 contempus generate venue nok 69. 3 approx",0,1,0
233,"neutral","raute precise supply weigh dose system plant change name lahti precise",0,1,0
234,"neutral","price talk euribor plus 2 bps area sole lead citigroup",0,0,0
235,"positive","crease due grow market rate crease operate",0,0,0
236,"neutral","24 hour new try icis new www. icis. com click trial icis new",0,0,0
237,"positive","last month outokumpu sold 80 percent technology it outokumpu technology oyj strategic goal becoming world s large stainless steel maker",0,0,0
238,"positive","agree expand tekla structure scope use bridge sign",0.2,1,0.586
239,"neutral","simultaneous alma media purchase 35 share arena interact subsidiary arena partner focus mobile solute develop",0.2,1,0.296
240,"neutral","le coq special develop bicentenary trade mark brew said",0,1,0.402
241,"neutral","glaston s well known brand bavelloni pre process machine tool tamglass uniglass safety glass machine albat wirsam software solute",0.2,1,0.599
242,"neutral","citigroup c nyse c deutsche bank nyse db pohjola bank lead manage sale",0,0,0
243,"neutral","plant expect start production first half 2007",0,0,0
244,"neutral","new delhi feb 12 korteniemi anneli helokunnas tuija peltola marjo keskinen jukka salminen jussi tusa kia janhonen risto nokia telecommunication oy espoo develop cable adjust vice",0,-1,-0.637
245,"neutral","acquisition frozen food fish sector long synergy l ænnen tehtaat s business",0,-1,0.459
246,"neutral","exercise price option base safran software solute license maintenance well result",0,1,0.273
247,"neutral","basware off full support sap verse start sap 4. 5",0.4,-0.333,0.402
248,"positive","biohit already service many current genesis custom custom base expect expand result agree",0.2,1,0.586
249,"neutral","stora enso s north america annual capacity 3 ton employ 4,350 people",0,0,0
250,"neutral","area also include central build honkarakenne start negotiations livery",0,0,0
251,"neutral","26 november 2010 sport equipment maker amer sport oyj hel ameas said today obtain eur30m schuldschein note loan pool international investor",0,1,0
252,"neutral","czech public small file it ostrava close machinery gradual locate ruukki s bigger plant hungary poland romania end first quarter",0,0,0
253,"neutral","margin call zanadvorov given chance make purchase credit deutsche bank usd 560",0.4,1,0.557
254,"positive","measure expect produce annual cost save 1. 5 start 2007",0.4,0,0.494
255,"neutral","port examine medical equipment structure operate history duct provide analysis key medical equipment venue line",0,1,0
256,"neutral","6 october 2010 paint coat tikkurila oyj hel tik1v announce today launch tikkurila prohouse method protection wood surface via treatment ultra pro waterborne duct",0,1,0
257,"neutral","2007 etteplan turnover eur125 2 m",0,0,0
258,"negative","however suspect stole burgundy nissan altima",-0.2,-1,-0.296
259,"positive","interest come 152. 2 101. 0 2008",0.2,0,0.459
260,"neutral","tax 105. 9 82. 7",0,0,0
261,"neutral","scanfil plc global tract manufacture system supply communicate industrial electronic",0,0,0
262,"positive","accord ceo nordea bank estonia vahur kraft nordea stockmann cooperate t year",0,1,0
263,"neutral","parallel teliasonera decide duct compulsory acquisition",0,0,0
264,"positive","adp new nov 18 2008 ac drive manufacture vacon oyj omx vac1v said today set new representative office romania ukraine serve grow market eastern southeastern europe",0,0,0
265,"positive","operate rose 26. 7 14. 9 correspond period 2006",0,0,0
266,"neutral","concrete cooperate also carry various project doctoral these diploma dissertation",0,1,0
267,"positive","tectia corporate hel tec1v provide real time security solute today announce appoint lan2lan provide service uk distribute data security manage file transfer software",0,1,0.586
268,"positive","jens schulte bockum vodafone s global director terminal said expect sell one two vodafone 125 225 model first year launch potential t million lifetime vice",0,-1,0
269,"neutral","furthermore sell warehouse office build loudeac saint marcel lease new joint premise operate morvillars",0,1,0
270,"positive","beijing xfn asia hong kong list standard charter bank said sign china mobile phone deal finance agree nokia make first foreign bank off finance country s small medium enterprise lr",0.2,1,0.361
271,"neutral","port accordance merge operate start january 1 2011",0,1,0
272,"neutral","alexandria va march 28 pertti salmi hanna vuolteenaho oulu sami viitasaari ii develop ornamental sign handset u. s patent trademark office announce",0,0,0
273,"neutral","accord statistic maritime administrate shipping crease much january august however",0,1,0
274,"positive","off represent premium 24 stock s close price friday",0,0,0
275,"neutral","sale outokumpu s share technology it reduce 12 20 percent",0.2,0,0.296
276,"negative","crease 220. 5 470. 0 correspond period",0,0,0
277,"positive","department store division hobby hall crease 7 clothe store subsidiary seppala crease 4",0,-1,0
278,"neutral","also said board director pose distribute eur0 92 p share",0.2,0,0.296
279,"positive","kesko agro eesti retailer wholesale grain agricultural warehouse machinery accessory 81 euro 2007 crease one ten precede year",0,0,0
280,"neutral","solute demonstrate tablet develop aava mobile multi window system enable use several apply simultaneous example view message calendar side side",0,0,0
281,"neutral","votorantim celulose e papel vcp part votorantim group major brazilian conglomerate",0,0,0
282,"negative","layoff",0,0,0
283,"neutral","panostaja treat negotiate partner entrepreneur sell life s work newcomer entrepreneur seek career fair just accord law",0.4,1,0.612
284,"positive","operate come rose 696. 4 600. 3",0,0,0
285,"positive","helsinki thomson financial kemira growhow swung first quarter earn improve especial fertilize europe normal strong first quarter",0.4,1,0.735
286,"positive","subscription crease cargotec s share capital 36,780 euro",0.2,0,0.296
287,"negative","operate margin however slipped 14. 4 15. 1 dragged poor performance enterprise solute",-0.3,-1,-0.511
288,"positive","committed expand apollo portfolio",0.2,0,0.527
289,"neutral","stora due lease four quarter full year earn feb 4",0,0,0
290,"negative","relate city damage comment mr ashley criticising city investor analyst cry baby",-0.4,-1,-0.84
291,"neutral","process technology project manage basic engineer quality assurance within forest industry consolidate vantaa southern",0,1,0.34
292,"neutral","mr mikko saavalainen head comptel s global conclude gibtelecom provide perfect illustrate variety technical regulatory challenge operator face oss today",0.2,0.333,0.612
293,"neutral","machine annual production capacity 200,000 tonne sup calendered magazine paper paper grade base cover fib stora enso said",0,0,0
294,"negative","separate announce helsinki stock exchange atria reveal s third quarter fit decline eur13 9 m third quarter last year eur12 7 m year s q3",0.2,1,0.361
295,"neutral","gunneflo responsible oriola kd s pharmaceutical trade sweden",0.4,1,0.318
296,"negative","q2 tax amount 13. 6 26. 8 q2 2008",0,0,0
297,"positive","efore s presence also open new interesting develop opportunity student an faculty electronic communicate automate tkk said",0.4,1,0.67
298,"positive","production expand elcoteq s location include mexico hungary 2010",0.2,0,0.318
299,"neutral","capman made initial invest onemed june 2006",0,0,0
300,"neutral","s difficult become google analytics channel partner",-0.2,0,-0.361
301,"neutral","deal include rental equipment relate merchandise rental tract pot two employee said",0,0,0
302,"negative","operate non recurring item 8. 3 first nine months 2008 compare 8. 4 correspond period 2007",0,0,0
303,"neutral","guidance set 90 basis point mid swap port said",0,0,0
304,"neutral","automobile space maruti search brand car",0,0,0
305,"neutral","found 1649 fiskars 360 year duct quality excellence s old",0.6,1,0.625
306,"negative","international electronic industry elcoteq laid t employee tallinn facility contrary early layoff contract rank office worker daily postimees port",0,-1,0
307,"neutral","operator one 6 operator grant wimax license taiwan hope first launch commercial service ear",0.3,1,0.66
308,"neutral","kone list nordic exchange helsinki",0,0,0
309,"positive","srv raise hold summer 2008 majority",0,0,0
310,"neutral","suomen paikallissanomat oy part alma media group current publish 15 local newspaper across",0,0,0
311,"neutral","india high priority since link two country also expand tornstrom said",0.2,-1,0.318
