"id","rating","text","afinn","lsd","vader"
29,"neutral","manavigator-november 1 , 2010-deal snapshot : swedish peab buys equipment rental firm cramo swedish construction  peab ab ( sto : peab b ) announced  acquisition  equipment rental  cramo entreprenadmaskiner ab   group cramo oyj ( hel : cra1v ) .",0,-1,0
30,"positive"," carriers  handset makers spin    positive event  will raise interest  higher-end phones  pricier data plans .",0.3,1,0.765
31,"positive"," newly created position   established  strengthen amer sports ' management  strategic planning  execution .",0.4,1,0.511
32,"neutral","vacon recently announced plans  build  north american headquarters  5  park  chambersburg .",0,0,0
33,"positive","return  equity stood  18.3 % compared  15.4 %   third quarter  2005 .",0,0,0
34,"neutral","    annual turnover  eur32 .8 m.",0,0,0
35,"neutral","`` directors  shareholders alike  ask   practices  allowed  continue . ''",0,1,0
36,"neutral"," spokeswoman   italian fashion house declined comment   settlement .",0,0,0
37,"neutral","amanda capital  investments  22 private equity funds    200 unquoted companies mainly  europe .",0,0,0
38,"positive"," income  life insurance rose   16.5    14.0  ,   income  non-life insurance   22.6    15.2    .",0,0,0
39,"neutral","kesko  previously published  stock exchange release concerning  deal  7 february 2007 .",0,0,0
40,"neutral","tecnomen 's system features  new range  value-added services  prepaid  post-paid billing , charging  rating  voice calls , data traffic ,   kind  content services   mobile  fixed networks .",0.4,0,0.527
41,"neutral","  area 's    slightly  2m  2006 .",0,0,0
42,"neutral"," technology park will  built near st. petersburg-based pulkovo airport .",0,0,0
43,"negative","konecranes oyj kcr1v fh fell 5.5 percent  20.51 euros ,  biggest fall since june .",0,0,0
44,"negative","operating    12-month period decreased  eur28 .2 m   turnover increased  eur313 .42 m ,  compared   financial year 2004 .",0.2,0,0.273
45,"positive","earnings per share  january-june 2010  eur0 .30 ,  increase  20 % year--year eur0 .25 .",0.2,0,0.542
46,"neutral","mr jortikka  president   base metal division  outotec oyj       executive committee  outotec .",0,-1,0
47,"neutral"," heat-retaining fireplaces maker tulikivi oyj said  august 29 , 2007   local tiled stoves  utility ceramics subsidiary kermansavi oy will merge  tulikivi  means  absorption  order  streamline  latest 's corporate structure .",0,1,0
48,"neutral","construction  expected   completed   summer  2011 .",0,0,0
49,"positive","following  acquisition , relacom will strengthen  presence   , serving operators  office market  mobile  fixed networks construction , installation  maintenance services .",0.4,1,0.318
50,"neutral","commenting   deal , shane lennon , svp  marketing & product development  gypsii said : ?",0,0,0
51,"neutral","member   hk ruokatalo group   , scan ,  launching  joint venture slaughterhouse  team ugglarp  sk+_ne , southern sweden .",0,-1,0
52,"negative"," addition  production personnel   sport division   given  temporary lay- warning .",-0.6,-1,-0.34
53,"neutral","  two sellers    national fund  r&d ( sitra )  oras invest oy ,  also sold half   shareholdings , leaving   3.8 pct  3.2 pct    respectively .",0,0,0.34
54,"positive"," price  raw material aluminium went    end  2005 ,    considers  outlook  2006 favourable .",0,1,0
55,"positive"," retailer stockmann  won approval   board  swedish rival lindex   public tender offer   aim  expanding  companies ' presence  russia   cee countries , stockmann said monday .",0.467,1,0.778
56,"neutral","poyry plc additional information  : martin kuzaj , president , industry  group ,  tel. +358 10 33 21179 sanna paivaniemi , director , investor relations , poyry plc ,  tel. +358 10 33 23002 poyry   global consulting  engineering  dedicated  balanced sustainability .",0.4,1,0.459
57,"negative"," food workers ' union sel plans  hasten  collective bargaining   two-day strike   begin  7 april 2010 ,   .",-0.2,0,-0.128
58,"neutral","  video  marimekko 's design manager , noora niiininoski , explains   brands   natural fit         timeless style .",0.2,1,0.612
59,"neutral","  's board  directors will propose  dividend   0.14  2008   annual general meeting .",0,0,0
60,"positive"," circuit 's overall production rate   weekly basis  now  excess   average  40,000 tonnes per day ,  volumes  excess  50,000 tonnes per day  reached  individual days .",0.2,0,0.103
61,"neutral"," total investment   vantaa plant extension will amount  around 10  euro ,  okmetic 's share   investments will  worth around 2.7  .",0.3,1,0.477
62,"positive","return  capital employed rose  4.8 percentage points  19.6 % .",0,0,0
63,"neutral","stora enso ,  global paper , packaging  wood products  ,  neste oil ,    engaged   refining  marketing  oil ,  inaugurated  demonstration plant  varkaus ,   biomass  liquids production utilizing forestry residues .",-0.2,1,0.477
64,"negative","based   first quarter result , existing order backlog  new order prospects ,   expects  full-year  will contract  25 %  2008 ,  gross margin will stay   healthy level ,   operating  margin will  lower   2008 due  lower  volume .",0.067,-0.333,-0.382
65,"positive","ebit totalled  14.4  , compared   loss   0.3    corresponding period   .",-0.6,-1,-0.318
66,"neutral","viking will pay  130    new ship ,  will  completed  january 2008 .",-0.2,0,-0.103
67,"neutral","fortum also   blocking stake  northwestern tgk-1 .",-0.2,-1,-0.382
68,"neutral"," ecb can mainly target inflation .",0,0,0
69,"neutral","together  latvia , cramo will operate 54 rental outlets   baltic states .",0,-1,0
70,"negative","nordic banks  already   write  sizable loans  latvia ,  swedbank , nordea , dnb   seb reporting combined losses  excess  $ 1.35 billion   period 2007  2010   backdrop  near economic meltdown  latvia .",0,-1,-0.402
71,"negative","thanks   internet , consumers compare products   previously   companies   competitive .",0.4,1,0.557
72,"negative"," january-november  ,  group 's  totalled  7,801.7  ,    drop  12.6 %    period  2008 .",-0.2,0,-0.273
73,"neutral","nordic walking  first used   summer training method  cross-country skiers .",0,0,0
74,"positive","nasdaq-listed yahoo inc  introduced  new service  enables malaysians  take  favorite internet content  services     mobile phones .",0.4,1,0.459
75,"neutral","according  olvi ,    already negotiating new agreements .",0,1,0.273
76,"neutral"," pc application allows users  copy files   data   nokia mobile device   computer  well  create backup content .",0,1,0.494
77,"negative","operating loss totaled  0.3  compared      2.2    corresponding period  2007 .",-0.6,-1,-0.318
78,"neutral","operating    12-month period decreased  eur9 .6 m    increased  eur69 .0 m ,  compared  2005 .",0.2,0,0.273
79,"neutral","  agreement , japrotek will deliver nine storage tanks   volume range  1,000 cu m  3,000 cu m  included agitators .",0.2,0,0.026
80,"neutral"," addition   stake  megafon , telecominvest currently owns 100 %  shares  web plus  st. petersburg payphones , 51 %  telecom equipment producer peter-servis   number   minor assets .",0.3,1,0.494
81,"neutral"," project  expected   completed   .",0,0,0
82,"positive","  solutions provider affecto oyj said today    won  frame contract , valued   eur2m ,  implement  next phase   insurance application  south african mutual & federal insurance  limited m&f .",0.2,0,0.751
83,"neutral","alexandria , va. , oct. 23 -- hans-otto scheck  espoo ,  ,  developed  method  identifying remote radio units   communication system .",0,0,0
84,"neutral","  also appointed leif rosen head   special plate unit  includes  quarto plate units  degerfors , sweden ,  new castle , usa ,  unit  willich , germany ,  well  pressplate  prefab  avesta  plate service centre nordic  degerfors .",0,1,0.586
85,"neutral"," acquisition  part  suomen helasto 's strategy  expand  lukkoexpert security chain , suomen helasto ceo kimmo uusimaki said .",0.2,0,0.572
86,"neutral","sanoma magazines international will invite  shareholders holding approximately 15 %   shares  sell  shares .",0.2,1,0.612
87,"positive","operating  improved  27 %   579.8    457.2   2006 .",0.4,1,0.477
88,"positive","eps   quarter came   0.36  ,   0.33   year ago  ahead  forecast  0.33  .",0,0,0
89,"neutral","thanks   development   system  enables   trace  origin    palm oil   uses ,  knows exactly     palm oil   produced .",0.4,1,0.44
90,"positive","based upon  unique fiber expertise  innovative approach ,     strong market position  several  areas    operates .",0.4,1,0.735
91,"neutral","    healthcare trade      145.1   155.2   operating   8.9   7.9  .",0,0,0
92,"neutral"," transaction value  cad 15  approximately  10  .",0,0,0.34
93,"neutral","aldata solution ,  global  engaged  supplier  consumer  process optimization ,  announced  details   dollars  dinosaurs program .",0.2,1,0.765
94,"negative","operating    -0.1  ,    1.3  .",0,0,0
95,"positive"," silicon wafer technology  okmetic oyj omx helsinki : okm1v reported  thursday 30 october  operating   eur7 .4 m  january-september 2008 ,   eur6 .1 m   corresponding period  2007 .",0,0,0
96,"neutral"," rights reserved .",0,1,0
97,"positive","operating  totaled  37,7  ,  slightly   37.2    corresponding period  2006 .",0,0,0
98,"neutral","competition authorities will   approve  deal   can  finalized .",0,1,0
99,"negative","changes   market situation  tougher price competition  substantially reduced demand  bread packaging manufactured   kauhava plant , according    .",0,-1,-0.02
100,"neutral","simultaneously ,  responsibility area  extended  legal affairs  cover also mergers  acquisitions .",0.2,1,0.128
101,"negative","group ebit   first half  eur13 .6 m us$ 17.8 m , falling short   eur22 .5 m  posted    period   .",-0.2,0,-0.153
102,"negative","also construction expenses  gone   russia .",0,0,0
103,"neutral"," platform  continue    development framework  symbian  meego .",0,0,0
104,"negative","stora enso oyj said  second-quarter result  fall  half compared    period  2007 .",0,0,0
105,"neutral","  condition   deal , savcor alfa    bought photonium  akseli lahtinen inc. 's  operations prior   deal .",0,0,0
106,"neutral"," aluminium products manufacturer nordic aluminium plc ( omx helsinki : noa1v ) reported  monday ( 18 august )  operating   eur7 .9 m     eur55 .2 m   period january-june 2008 .",0,0,0
107,"neutral"," silicon wafers maker okmetic oyj said  september 17 , 2008   will invest  total  15 mln euro $ 21.3 mln   sensor wafer  .",0,0,0
108,"negative","last year , upm cut production , closed mills    slashed 700 jobs .",-0.3,0,-0.459
109,"positive"," itunes-based material will  accessible  windows-based  macintosh computers  transferable  portable devices , including apple 's ipods .",0,1,0
110,"neutral","international operations accounted   80 %    .",0,0,0
111,"positive","xerox  stora enso  teamed   tailor  igen3   short-run , -demand packaging market .",0,0,-0.128
112,"neutral","r&d loan ) .",0,0,0
113,"neutral","  said  currently  french distribution unit ragot  located  loudeac , normandy ,  distribution unit waterqueen  line supplier tortue  saint marcel  mid-france   hook manufacturing unit vmc  hook distribution unit vmc europe  morvillars .",0,1,0
114,"neutral","estimations indicate  even   170 different tablet computers  reading devices will  available  2011 .",0,0,0
115,"negative"," addition ,   29 employees can  laid    notice   whole workforce can  laid   short periods  needed .",0,0,0
116,"neutral","bioheapleaching makes extraction  metals  low grade ore economically viable .",0,1,-0.273
117,"neutral","m2 communications disclaims  liability  information provided within information    world wide web .",0,-1,-0.202
118,"negative"," media  talentum oyj 's   decreased  2.5 mln euro ( $ 4.0 mln )   first quarter  2008  3.0 mln euro ( $ 4.7 mln )    period  2007 .",0,1,0
119,"neutral","``  want  serve k-citymarket customers  offering  interesting  topical selections .",0.3,1,0.459
120,"positive","operating    11.07  ,    8.65  .",0,0,0
121,"positive","uponor made  operating    151.0  ,    143.7  ,  made 2007  record year .",0,0,0
122,"positive","( adp news ) - feb 9 ,  -  computer services  proha oyj ( hel : art1v ) said today   loss narrowed   113,000 ( usd 146,000 )  2008   1.2   2007 .",-0.6,-1,-0.318
123,"neutral","affectogenimap builds highly customised  solutions   customers     baltic countries .",0.2,0,0.245
124,"positive","    increase  estimated   117  last year .",0.2,0,0.318
125,"negative","`` uncommonly weak snow conditions  nearly every market  affected  first quarter result , '' chief executive roger talermo said .",-0.3,-1,-0.542
126,"negative","  , metal sector  componenta  laying  temporarily  staff   pori mill  christmas 2008 till 6 january  .",0,0,0
127,"neutral"," pine oil project  related   upgrade   chemical recovery plant  upm   pulp mill  kymi , southern  .",0,1,0
128,"negative"," group 's operating loss   0.8  ,       2.5   2004 .",-0.6,-1,-0.318
129,"positive","  first nine months  2010 ,   's  loss narrowed   415,000   7.4    corresponding period   .",-0.6,-1,-0.318
130,"neutral"," gross area   innova 2 project will   10,000 sq m ( 107,600 sq ft ) .",-0.4,-1,-0.477
131,"neutral"," estimated 30 pct  mobile calls  made   home ,  france telecom hopes  15 pct   orange clients will sign    service   end  2008 .",0.4,1,0.421
132,"positive"," mill  long traditions  holds  established position   markets .",0,0,0
133,"neutral","`` management decided   end  2005  increase cathode copper capacity .",0.2,0,0.318
134,"neutral","  admits  36 months   relatively short time  operating  russia .",-0.2,1,0.296
135,"positive"," earnings per share   quarter came   0.25  ,    0.20     quarter  year earlier .",0.2,0,0.296
136,"neutral"," kyroskoski investment    completed  late 2011   +_+ænekoski investment   spring  2012 .",0,0,0
137,"neutral","technopolis  approximately 130 customer companies  jyvaskyla .",0,0,0
138,"neutral"," floor area   yliopistonrinne project will  7,900 sq m 85,030 sq ft   building 's gross area will total 12,800 sq m.  total 25.1 %   facilities   let .",-0.4,-1,-0.477
139,"neutral","among paper issues , stora enso r  little changed --  0.08 pct  12.03  , upm-kymmene  0.48 pct higher  18.77   m-real b added 0.50 pct  3.99  .",0,0,0
140,"neutral"," sale  savcor face  cencorp will result     loss  can  yet  determined , owing  factors including  valuation   consideration shares   received  prevailing exchange rates .",0,0.333,0.318
141,"positive","salo ,  , 29 august 2006 - benefon  today announced  plans   strengthen  -house technology platform ,  licensing  complete mobile software platform , opna ,   long-standing technology partner , pollex .",0.4,1,0.318
142,"neutral","share repurchase 11.01.2008   helsinki stock exchange  behalf  sampo plc danske bank -s helsinki branch",0.2,1,0.296
143,"neutral","kemira , headquartered  helsinki ,  ,   international chemicals group comprising   areas kemira pulp & paper , kemira water , kemira specialty  kemira coatings .",0,0,0
144,"neutral","19 may 2010 -   lemminkainen oyj ( hel : lem1s ) said today   will construct  office building  toolonlahti  downtown helsinki , without disclosing financial details .",0,1,0
145,"neutral"," copying , republication  redistribution  afx news content , inculding  framing  similar means ,  expressly prohibited without  prior written consent  afx news .",0.4,0,-0.169
146,"neutral","    continuous need  alloys   nickel , ferro-chrome , molybdenum  manganese   production , said talvivaara .",0,0,0
147,"negative","operating  , excluding non-recurring items , totalled  2.2  ,    2.7    corresponding period  2008 .",0,-1,0
148,"neutral"," financial details  provided .",0,0,0
149,"neutral","first industrial will seek leed designation  uponor 's new building   282,000 square-foot speculative distribution center  first park lakeville .",-0.4,0,0.103
150,"neutral"," merisatama   far corners   world asfaltti osakeyhti+¦ lemmink+æinen  established  1910   group  master builders  helsinki   specialist   subcontractor .",0,1,0
151,"negative"," estonian electronic components factory , elcoteq ,  running   material    closure  air traffic .",0,0,0
152,"neutral"," orange-handled scissors  fiskars  part   permanent design collection   museum  modern art  new york ,  well   philadelphia museum  art .",0,1,0.273
153,"positive","`` following last year 's good  development ,   entered  current year   good position .",0.6,1,0.7
154,"neutral","financial details  n't disclosed .",0,0,0
155,"neutral"," first installment   cinema series concludes   profile   inventor olavi linden , whose personal artistic journey  work  fiskars  led  dozens  design awards .",0.6,1,0.459
156,"neutral"," order   follow-   11 mln euro ( $ 16.1 mln ) deal made  july 2007 .",0,0,0
157,"positive","``   pleased  deliver  basware invoice automation solution   major retail    us .",0.4,1,0.637
158,"negative","operating  fell   38.1    55.3   2007 .",0,0,0
159,"negative","nokia 's share price fell less  one percent  18.70 euros ( $ 25.41 )  helsinki ,  siemens shares fell 1.02 percent  90.19 euros ( $ 122.57 )  frankfurt .",0.2,0,0.527
160,"neutral"," eb tough voip field phone  equipped   integrated speaker , ethernet  shdsl connectivity ,  enables several innovative applications .",0.4,0,0.34
161,"neutral"," bank pohjola bank plc hel : poh1s said today   will issue   40  usd 51.2 m index-linked bond , pohjola tutkimuksen tahdet viii-2010 pohjola research stars viii-2010 ,  october 27 , 2010 .",0,0,0
162,"neutral","capman ,  asset manager ,   3bn worth  assets  management   nordic region .",0.4,1,0.625
163,"positive","kesko corporation stock exchange release 28.02.2008  09.30 1 ( 1 ) kesko corporation  aspo plc today signed  agreement   aspo acquires  share capital  kauko-telko ltd ,  subsidiary wholly owned  kesko .",0.2,1,0.66
164,"neutral"," companies will divest  upm fray bentos pulp mill  forestal oriental ,   specialising  eucalyptus cultivation .",0,1,0
165,"negative","agricultural newspaper maaseudun tulevaisuus  318,000 readers , representing  decrease  6 % .",0,0,0
166,"neutral","outotec 's delivery covers  engineering , supply  construction   circulating fluid bed calcination plant   capacity  1,600 tons  alumina per day .",0,0,0
167,"positive","estonia 's beer market overall grew three percent last year  130  liters .",0,0,0
168,"negative","rivals say qualcomm  fewer patents  3g phones   earlier versions   lower  rates .",0,0,-0.296
169,"positive","singapore  may 2011 1 july 2010 -  air carrier finnair oyj ( hel : fia1s ) said today  will open  daily route  singapore  30 may 2011  part   growth strategy  asia .",0.4,1,0.382
170,"negative","  baltic countries ,  fell  42.6 % .",0,0,0
171,"neutral"," planned ethanol  energy production plant can operate  correlation   waste treatment unit   paper mill .",-0.2,-1,-0.178
172,"neutral","capman ,  stockholm-headquartered private equity firm ,  held  first close   second private equity real estate fund   continues  push   property sector .",0,0,0
173,"neutral","  end , sanoma news wants  secure  foundation   savings .",0.4,1,0.34
174,"neutral","  will build altogether 130 new substations   end   year .",0,0,0
175,"neutral"," talvivaara mining co hel : tlv1v said thursday   picked bofa merrill lynch  jpmorgan nyse : jpm  joint bookrunners   planned issue  convertible notes worth   eur250m usd332m .",0.4,0.333,0.226
176,"negative","however ,  market share shrank  47.59 per cent  48 per cent  year earlier .",0.2,0,0.296
177,"positive","orders received grew  55 % year--year  eur732m .",0,0,0
178,"positive","mika stahlberg , vp f-secure labs , said , ``   excited  proud  f-secure   recognized  av-comparatives   product   year .",0.5,1,0.67
179,"neutral","  also pleased  welcome  new employees  tieto . '",0.5,1,0.71
180,"neutral","  's board  directors  proposed  dividend  eur0 .12 per share  2006 .",0.2,0,0.296
181,"positive","vaahto ,   entered  deal via  subsidiary vaahto pulp & paper machinery , will supply two   units   end  2010 ,   remaining ones  expected  delivery   beginning  2011 .",0,0,0
182,"neutral"," share   share capital    mentioned shareholders remains  5 % .",0.2,0,0.527
183,"positive","earnings per share eps amounted  eur0 .03 ,    loss  eur0 .08 .",-0.2,-1,-0.026
184,"positive","cdli highlights  companies  provided   comprehensive response   carbon disclosure project cdp information request .",0.4,1,0.25
185,"neutral","ahlstrom 's share  quoted   nasdaq omx helsinki .",0.2,0,0.296
186,"neutral","juha-pekka weckstr+¦m   appointed president  telecom group teliasonera   succeed esa rautalinko .",0,1,0.494
187,"neutral","coffee will  served starting  14:30 eet  well    event .",0,1,0.273
188,"positive","``  'm happy   outcome , '' sneed said   hearing .",0.6,1,0.572
189,"neutral","  partnership   paulig 's danish subsidiary oscar , puljonki acquired   organization   european market .",0,1,0
190,"positive"," warmly welcome   satama '' , states jussi lansio , chairman   board .",0.4,1,0.691
191,"neutral"," part   new strategy ,  biohit  planning  incorporate  diagnostics    separate limited  .",-0.2,-1,-0.226
192,"positive","ruukki announced    signed  agreement  aker solutions  norway  supply 24 suction anchors  september 2010   kalajoki unit   .",0.2,1,0.599
193,"positive","3 january 2011 -  flag carrier finnair oyj ( hel : fia1s ) said today  sealed  nine-year sale  leaseback agreement   newest airbus a330 aircraft  syndication   japanese operating lease market .",0.2,1,0.494
194,"neutral"," transaction  subject   final agreement   parties , approvals   decision-making bodies  approval    competition authority .",0.267,1,0.852
195,"neutral","  expects  revenue  rmb8 .0 billion   .",0,0,0
196,"neutral","helsinki afx - cargotec said   bought  95 pct stake  indital construction machinery ltd ,  bangalore-based   makes fork lift trucks  mobile cranes ,   undisclosed sum .",0,0,0
197,"neutral","operating   operations     period  review totaled  11.3  , remaining   2005 level .",0,0,0
198,"neutral","proline plus   mechanical liquid handling device   robust design suitable   types  applications .",0.4,1,0.34
199,"neutral","  's main shareholders lihakunta  itikka osuuskunta   made  commitment  acquire shares worth  20mn .",0.333,1,0.691
200,"neutral"," savings will  full impact    beginning  2007 .",0,0,0
201,"positive"," 's national carrier finnair plc carried  record 8.5  passengers  2005 ,  increase  4.5 percent   previous year ,  airline reported tuesday .",0.2,0,0.318
202,"negative","since  association 's data   cover  figures   100 small local breweries    imported beer products ,  actual market shares   members  smaller   given   report .",0.2,1,0.296
203,"neutral","vaisala 's expertise  lightning data  information systems  based  extensive experience  investment  r&d .",0,1,0
204,"neutral"," contract ,   signed yesterday , will run  five years  includes  two-year extension option .",0,0,0
205,"neutral"," previously announced , geosentric oyj entered  financing agreements   lead investor  june 30 , 2010 enabling    receive financing    aggregate amount  6m .",0,1,0.273
206,"negative","operating  excluding non-recurring items totaled  5.4  compared   5.5    corresponding period  2007 .",0,-1,0
207,"neutral"," construction project  scheduled  start   second quarter     new building  scheduled    place   end  2010 .",0,0,0
208,"negative","operating loss totalled  5.2  , compared   loss   3.4    corresponding period  2008- .",-0.6,-1,-0.557
209,"positive","`` demand  sports equipment  good  2005 .",0.2,1,0.34
210,"neutral","pharmaceutical market  italy global research & data services published recently  market analysis   pharmaceutical markets  italy .",0,0,0
211,"neutral","f-secure internet security 2010   security service  surfing  web , online banking  shopping , e-mail ,   online activities .",0,0,0.586
212,"positive","   solid credit    compared   dz bank   rabobank .",0.4,1,0.494
213,"neutral"," contract traded   -time high  $ 50,200  ton  april 24 .",0,0,0
214,"neutral","local government commissioner  +_m+_l , kurt svensson , says  will contact  management    componenta  find      alternatives    's decision  close   plant  +_m+_l .",0,0,0
215,"neutral","  designs , manufactures  markets advanced composite products  industrial applications  consumer goods   cross-country , alpine  nordic walking poles , floorball sticks  antenna radomes .",0.2,1,0.25
216,"positive","danske bank -s danske dc jumped 3.7 percent  133.4 kroner , rebounding  yesterday s 3.5 percent slide .",0,0,0
217,"positive","exports grew 16.5 percent  19.1  liters .",0,0,0
218,"positive"," buyer aims  thus reinforce  position  denmark , martela group managing director heikki martela said .",0,1,0
219,"positive"," software developer basware oyj said  november 30 , 2006  u.s. subsidiary basware , inc. won  order  provide software  contract lifecycle management   unnamed u.s. medical technology  .",0.6,1,0.572
220,"neutral"," segment   annual revenue  approximately eur400m ,   said .",0,0,0
221,"neutral"," arrangements   apply   group 's units outside  .",0,0,0
222,"neutral","  hope   will   future turn     novel method   prevention  alcohol  tobacco smoking associated oral cancers .",0.4,0,0.637
223,"neutral"," capman haavisto will  responsible  group finances  accounting   .",0.4,1,0.318
224,"positive","vdw combined  lxe devices enhances productivity , enabling workers  use  single device  perform voice , scanning  keyboard functions .",0,1,0
225,"neutral"," cooperation will involve arena partners buying  35 % share   new joint venture  , operating  alma media 's home  , vehicle  consumer advertising marketplace businesses .",0.2,1,0.296
226,"neutral","  supports  global customers  developing new technologies  offers  fast route  product development  applications  volume production .",0.4,1,0.361
227,"neutral","raute , headquartered  nastola ,  ,   technology  serving  wood products industry worldwide .",0,-1,0
228,"positive"," metal industry solutions supplier outotec oyj   rose  50.4 mln euro ( $ 72.5 mln )   first nine months  2007  20.1 mln euro ( $ 28.9 mln )    period  2006 .",0.2,0,0.178
229,"positive","w+ærtsil+æ 's solution   selected   low fuel consumption , environmentally sound technology ,  global service support .",0.3,1,0.44
230,"neutral","nokian tyres ' tyres  considered genuine winter tyres  russia .",0,1,0
231,"positive","( adpnews ) - nov 9 ,  - four companies  agreed  buy   combined sek 5.9 billion ( usd 854m- 571.8 m )  drug stores offered  sale  part   restructuring  swedish stated-owned pharmacy monopoly apoteket ab , t",0.2,1,0.273
232,"neutral"," 2007 , contempus generated revenue  nok 69.3 ( approx .",0,1,0
233,"neutral"," raute precision  supplies weighing  dosing systems  plants  changing  name  lahti precision .",0,1,0
234,"neutral","price talk    euribor plus 2 bps area   sole lead  citigroup .",0,0,0
235,"positive"," increased due  growing market rates  increased operations .",0.2,0,0.599
236,"neutral"," 24-hour news , try icis news www.icis.com click `` trial '' ,  icis news",0,0,0
237,"positive","last month , outokumpu sold   80 percent   technology unit , outokumpu technology oyj ,    strategic goal  becoming  world 's largest stainless steel maker .",0,0,0
238,"positive"," agreement expands tekla structures ' scope  use  bridge design .",0.2,1,0.557
239,"neutral","simultaneously , alma media  purchased  35 % share  arena interactive ,  subsidiary  arena partners   focus  mobile solutions development .",0.2,1,0.44
240,"neutral",". le coq special  developed   bicentenary      trade mark ,  brewer said .",0,1,0.402
241,"neutral","glaston 's well-known brands  bavelloni ,  pre-processing machines  tools , tamglass  uniglass  safety glass machines  albat + wirsam  software solutions .",0.2,1,0.542
242,"neutral","citigroup , inc nyse : c , deutsche bank nyse : db  pohjola bank  lead managers   sale .",0,0,0
243,"neutral"," plant  expected  start production   first half  2007 .",0,0,0
244,"neutral","new delhi , feb. 12 -- korteniemi anneli , helokunnas tuija , peltola marjo , keskinen jukka , salminen jussi , tusa kia  janhonen risto  nokia telecommunications oy , espoo ,   developed cable adjustment device .",0,0,-0.637
245,"neutral"," acquisition        frozen foods  fish sector ,  long    synergies  l+ænnen tehtaat 's  businesses .",0,-1,0
246,"neutral"," exercise price   option will  based  safran software solutions ' license  maintenance   well   result    .",0.2,1,0.421
247,"neutral","basware offers full support   sap versions starting  sap 4.5 .",0.4,-0.333,0.402
248,"positive","biohit already services many current genesis customers   customer base  expected  expand   result   agreement .",0.2,1,0.67
249,"neutral","stora enso 's   north america  annual capacity   3  tons  employs  4,350 people .",0,0,0
250,"neutral"," area will also include  central buildings ,  honkarakenne  started negotiations   delivery .",0,0,0
251,"neutral","26 november 2010 -  sports-equipment maker amer sports oyj ( hel : ameas ) said today   obtained  eur30m schuldschein note loan   pool  international investors .",0,1,0
252,"neutral","  czech republic ,  smaller profiling unit  ostrava will  closed   machinery will  gradually relocated  ruukki 's bigger plants  hungary , poland  romania   end   first quarter   .",0,0,0
253,"neutral","margin call  zanadvorov  given  chance  make  purchase   credit  deutsche bank  usd 560  .",0.4,1,0.557
