"token","vader","n"
"mina",0,2
"mindset",0,2
"miniature",0,2
"minus",0,2
"miracle",1,2
"mirrors",0,2
"misbehaved",-1,2
"misery",-1,2
"misses",-1,2
"missis",0,2
"misunderstood",-1,2
"mixes",0,2
"mixture",0,2
"mo",0,2
"mock",-1,2
"mocking",-1,2
"modernized",0,2
"mongoose",0,2
"monty",0,2
"morality",0,2
"mortal",0,2
"mother's",0,2
"mount",0,2
"movies",0,2
"mowgli's",0,2
"mud",0,2
"muddled",0,2
"muffin",0,2
"multicultural",0,2
"mushrooms",0,2
"naive",-1,2
"naivety",0,2
"nanook",0,2
"narnia",0,2
"narrators",0,2
"nate",0,2
"nathaniel",0,2
"neatly",1,2
"necklace",0,2
"neddie",0,2
"negatively",0,2
"nerd",-1,2
"netflix",0,2
"netgalley.com",0,2
"neverland",0,2
"newborn",0,2
"newly",0,2
"newspaper",0,2
"nightmares",0,2
"nona's",0,2
"nope",0,2
"norfleet",0,2
"norton",0,2
"nose",0,2
"nothingness",0,2
"noticed",0,2
"notices",0,2
"novella",0,2
"nyc",0,2
"object",0,2
"oblivious",0,2
"observe",0,2
"obsession",-1,2
"occasional",0,2
"oceanside",0,2
"olive",0,2
"olivia",0,2
"ology",0,2
"one's",0,2
"onomatopoeia",0,2
"ooh",0,2
"opportunities",1,2
"options",0,2
"originality",0,2
"origins",0,2
"orphan",0,2
"orphans",0,2
"outdoor",0,2
"outlandish",0,2
"oven",0,2
"overcoming",0,2
"overdramatic",0,2
"overlook",0,2
"overnight",0,2
"overuse",0,2
"owls",0,2
"owns",0,2
"p.s",0,2
"pacing",0,2
"paddle",0,2
"padraic",0,2
"pairs",0,2
"palate",0,2
"pancakes",0,2
"panda",0,2
"panels",0,2
"paperback",0,2
"parable",0,2
"paragraphs",0,2
"paranormal",0,2
"paris",0,2
"passed",0,2
"passengers",0,2
"passes",0,2
"passing",0,2
"passive",1,2
"path",0,2
"pattern",0,2
"patterns",0,2
"pee",0,2
"perdita",0,2
"periods",0,2
"permission",0,2
"perplexed",-1,2
"personalities",0,2
"petra",0,2
"phase",0,2
"phenomena",0,2
"philip",0,2
"phoebe",0,2
"photo",0,2
"photos",0,2
"physical",0,2
"pillow",0,2
"pity",-1,2
"pixar",0,2
"planets",0,2
"planned",0,2
"plastic",0,2
"plausible",0,2
"player",0,2
"playful",1,2
"pleads",0,2
"pleasantly",1,2
"plotlines",0,2
"plots",0,2
"pluto",0,2
"pocket",0,2
"poe",0,2
"poetic",0,2
"pole",0,2
"political",0,2
"politics",0,2
"pond",0,2
"poofy",0,2
"pool",0,2
"poppy",0,2
"popularity",1,2
"population",0,2
"position",0,2
"positively",1,2
"possessed",0,2
"possibilities",0,2
"pov",0,2
"powers",0,2
"practical",0,2
"preachy",0,2
"predominantly",0,2
"pregnant",0,2
"prejudice",-1,2
"preparation",0,2
"preschooler",0,2
"presence",0,2
"press",0,2
"pressure",-1,2
"pretentious",0,2
"prevalent",0,2
"price",0,2
"prince's",0,2
"prison",-1,2
"prize",1,2
"produced",0,2
"product",0,2
"program",0,2
"progressed",0,2
"progressively",0,2
"promising",1,2
"promotes",1,2
"pronunciation",0,2
"propaganda",-1,2
"proportions",0,2
"providing",0,2
"prue's",0,2
"publishers",0,2
"pulled",0,2
"pulling",0,2
"pulls",0,2
"pumpkin",0,2
"punch",0,2
"puns",0,2
"pup",0,2
"purchased",0,2
"pure",0,2
"purse",0,2
"pushes",0,2
"putter",0,2
"quentin",0,2
"quicker",0,2
"quietly",0,2
"quit",0,2
"r.l",0,2
"ragweed",0,2
"railway",0,2
"rambling",0,2
"rambunctious",0,2
"ran",0,2
"rant",-1,2
"ratbridge",0,2
"rats",0,2
"reached",1,2
"reaches",1,2
"readability",0,2
"readable",0,2
"reader's",0,2
"realm",0,2
"reasonable",0,2
"reassure",1,2
"recall",0,2
"recipes",0,2
"recognize",0,2
"recognized",0,2
"recommendation",0,2
"record",0,2
"recording",0,2
"recover",0,2
"redeeming",0,2
"reference",0,2
"referred",0,2
"refused",-1,2
"regular",0,2
"regularly",0,2
"reigns",0,2
"relatives",0,2
"religious",0,2
"remained",0,2
"remarkable",1,2
"rendering",0,2
"repeating",0,2
"repented",0,2
"repetition",0,2
"repetitiveness",0,2
"report",0,2
"represent",0,2
"represented",0,2
"rereading",0,2
"resist",0,2
"resonate",0,2
"resort",0,2
"respected",1,2
"responsible",1,2
"restaurants",0,2
"result",0,2
"retained",1,2
"retellings",0,2
"retro",0,2
"retrograde",0,2
"returner",0,2
"reunited",0,2
"reveals",0,2
"reviewer",0,2
"reviewing",0,2
"revisiting",0,2
"revolves",0,2
"rex",0,2
"rhythms",0,2
"richard's",0,2
"ridden",0,2
"ridge",0,2
"rights",0,2
"rings",0,2
"rise",0,2
"risk",-1,2
"rita",0,2
"roberta",0,2
"roberts",0,2
"robie",0,2
"robin",0,2
"robot",0,2
"rocks",0,2
"rode",0,2
"rolled",0,2
"roman",0,2
"romans",0,2
"rope",0,2
"rough",0,2
"route",0,2
"routines",0,2
"rowing",0,2
"rudimentary",0,2
"rue",0,2
"ruthie",0,2
"sacred",0,2
"sacrifice",0,2
"sacrificing",0,2
"sadness",-1,2
"sailing",0,2
"sake",0,2
"sale",0,2
"samira",0,2
"samuel",0,2
"san",0,2
"sandwich",0,2
"scale",0,2
"scenario",0,2
"scenery",0,2
"scholastic",0,2
"sci",0,2
"scientific",0,2
"scott",0,2
"scratching",0,2
"screaming",-1,2
"screen",0,2
"seas",0,2
"security",1,2
"selection",0,2
"selfishness",-1,2
"sell",0,2
"sendak",0,2
"sends",0,2
"sensory",0,2
"sentiment",0,2
"sentimental",1,2
"sergeant",0,2
"served",0,2
"severe",-1,2
"sex",0,2
"sexist",0,2
"shallow",0,2
"shape",0,2
"sharpie",0,2
"sheep",0,2
"sheets",0,2
"shel",0,2
"shell",0,2
"sheriff",0,2
"ship",0,2
"shocking",-1,2
"shoes",0,2
"shooting",0,2
"shortage",-1,2
"shortest",0,2
"shower",0,2
"shy",-1,2
"sights",0,2
"significantly",0,2
"signs",0,2
"silently",0,2
"silverstien",0,2
"singapore",0,2
"singing",0,2
"sister's",0,2
"sixty",0,2
"size",0,2
"sized",0,2
"skate",0,2
"skeletons",0,2
"skin",0,2
"skipped",0,2
"skunk",0,2
"slip",0,2
"sloth",0,2
"slowed",0,2
"snacks",0,2
"sneaks",0,2
"snowflake",0,2
"snuggleford",0,2
"soccer",0,2
"societies",0,2
"soldier",0,2
"somber",-1,2
"son's",0,2
"sophisticated",1,2
"southern",0,2
"spares",0,2
"spark",1,2
"sparkle",1,2
"sparrow",0,2
"speaks",0,2
"spectrum",0,2
"speech",0,2
"spelling",0,2
"spirit",1,2
"spirited",1,2
"splendid",1,2
"spoiled",0,2
"sport",0,2
"sprawled",0,2
"spunk",0,2
"square",0,2
"squirrel",0,2
"stages",0,2
"stalker",0,2
"standards",0,2
"stating",0,2
"stayed",0,2
"stays",0,2
"stella",0,2
"stephen",0,2
"sticks",0,2
"stomach",0,2
"storytimes",0,2
"strangers",0,2
"stray",0,2
"strength",1,2
"strip",0,2
"struggling",-1,2
"stuffy",0,2
"substance",0,2
"sue",0,2
"suffered",-1,2
"suffering",-1,2
"suggests",0,2
"sum",0,2
"summertime",0,2
"sums",0,2
"sunny",1,2
"superficial",0,2
"superhero",0,2
"supernatural",0,2
"support",1,2
"surprises",1,2
"surprisingly",1,2
"surreal",0,2
"surrounded",0,2
"surroundings",0,2
"suspending",0,2
"swear",-1,2
"sweetness",1,2
"swing",0,2
"sword",0,2
"tacked",0,2
"tackle",0,2
"tag",0,2
"tail",0,2
"tamar",0,2
"tantrums",-1,2
"targeted",0,2
"task",0,2
"tasty",0,2
"tattered",0,2
"tavi",0,2
"tea",0,2
"tear",0,2
"technique",0,2
"techniques",0,2
"teddy",0,2
"teenage",0,2
"teenagers",0,2
"television",0,2
"temper",-1,2
"tender",0,2
"tension",-1,2
"terabithia",0,2
"terminology",0,2
"terrifying",-1,2
"territory",0,2
"texture",0,2
"thanking",0,2
"theft",0,2
"thingamabob",0,2
"thirteen",0,2
"threatening",-1,2
"threw",0,2
"throw",0,2
"thumb",0,2
"tight",0,2
"tightly",0,2
"tikki",0,2
"tim",0,2
"timid",-1,2
"timing",0,2
"tiniest",0,2
"todd",0,2
"togetherness",0,2
"tokyo",0,2
"tolerate",0,2
"tommy's",0,2
"ton",0,2
"tony",0,2
"tormented",0,2
"touched",0,2
"touches",0,2
"touching",0,2
"tough",-1,2
"tours",0,2
"tower",0,2
"traffic",0,2
"trains",0,2
"traits",0,2
"transitioning",0,2
"trap",-1,2
"traveled",0,2
"travesty",-1,2
"treating",0,2
"treehouse",0,2
"tremendous",0,2
"tremendously",0,2
"tribe",0,2
"tribulations",0,2
"trickster",-1,2
"tripping",0,2
"troll",0,2
"troubles",-1,2
"trouncing",0,2
"trout",0,2
"trucks",0,2
"trusting",1,2
"truths",1,2
"tub",0,2
"turkeys",0,2
"turner",0,2
"turtle",0,2
"tween",0,2
"tzedakah",0,2
"uh",0,2
"ultra",0,2
"um",0,2
"uncomfortable",-1,2
"unconventional",0,2
"underpants",0,2
"understandably",0,2
"unending",0,2
"uneven",0,2
"unexpectedly",0,2
"unfair",-1,2
"unfolds",0,2
"ungrateful",-1,2
"uninteresting",0,2
"unit",0,2
"unlisted",0,2
"unlucky",0,2
"unoriginal",0,2
"unpleasant",-1,2
"unrealistically",0,2
"unrelatable",0,2
"unsure",-1,2
"update",0,2
"updated",0,2
"upset",-1,2
"upstairs",0,2
"utter",0,2
"valuable",1,2
"vegetables",0,2
"velveteen",0,2
"venture",0,2
"versus",0,2
"vibe",0,2
"victim",-1,2
"videos",0,2
"views",0,2
"vil",0,2
"vintage",0,2
"violet",0,2
"virtually",0,2
"vision",1,2
"voiced",0,2
"vow",0,2
"w.b",0,2
"wakefield",0,2
"walked",0,2
"walliams",0,2
"walt",0,2
"warming",1,2
"warn",-1,2
"warren",0,2
"warrior",0,2
"wash",0,2
"watercolors",0,2
"watermelon",0,2
"wave",0,2
"waved",0,2
"wavelengths",0,2
"wears",0,2
"web",0,2
"weirder",-1,2
"weirdest",-1,2
"wendy",0,2
"wet",0,2
"whining",-1,2
"wierenga",0,2
"wikipedia",0,2
"willems",0,2
"willingly",0,2
"willow",0,2
"wind",0,2
"wing",0,2
"winkles",0,2
"winnie",0,2
"winter's",0,2
"wisconsin",0,2
"witches",0,2
"witnesses",0,2
"witty",0,2
"wonders",0,2
"wonky",0,2
"wood",0,2
"woodcuts",0,2
"wordlessly",0,2
"wordy",0,2
"worlds",0,2
"worm",0,2
"worries",-1,2
"wrenching",0,2
"www.blitheringbookster.com",0,2
"www.momsradius.com",0,2
"www.unleashingreaders.com",0,2
"yaga",0,2
"yearning",1,2
"yesterday",0,2
"yikes",0,2
"yolen",0,2
"youtube",0,2
"yuyi",0,2
"zac",0,2
"zombie",0,2
"___",0,1
"00s",0,1
"11th",0,1
"1610",0,1
"16th",0,1
"1810",0,1
"182",-1,1
"1822",0,1
"1846",0,1
"1853",0,1
"1857",0,1
"1864",0,1
"1910",0,1
"1930",0,1
"1932",0,1
"1943",0,1
"1950",0,1
"1958",0,1
"1960",0,1
"1961",0,1
"1962",0,1
"1974",0,1
"1975",0,1
"1977",0,1
"1988",0,1
"1989",0,1
"1990s",0,1
"1994",0,1
"1996",0,1
"1998",0,1
"2.486",0,1
"2000",0,1
"2002",0,1
"2006",0,1
"2007",0,1
"21",0,1
"21st",0,1
"23",0,1
"26",0,1
"272",0,1
"29",0,1
"3.88",0,1
"300",0,1
"31",0,1
"38",0,1
"39",0,1
"3d",0,1
"3s",0,1
"3x3",0,1
"4.0",0,1
"4.5",0,1
"45",0,1
"5.0",0,1
"50x",0,1
"52bookminimum.blogspot.com",0,1
"5girlsbookreviews.blogspot.com",0,1
"635",0,1
"6th",0,1
"70ish",0,1
"70s",0,1
"7s",0,1
"7th",0,1
"80",0,1
"800",0,1
"90s",0,1
"911",0,1
"9780399552861",0,1
"99",0,1
"a.a",0,1
"a.j",0,1
"aaalright",0,1
"aahhhhh",0,1
"abby",0,1
"abby's",0,1
"ableist",0,1
"abominable",0,1
"abound",0,1
"abounds",0,1
"abridge",0,1
"abridged",0,1
"abruptly",0,1
"absence",0,1
"absorbing",0,1
"abstract",0,1
"abstracted",0,1
"absurdities",0,1
"abusing",-1,1
"abusive",-1,1
"academic",0,1
"academics",0,1
"acceptable",1,1
"acceptably",1,1
"accessible",0,1
"accommodate",0,1
"accompanied",0,1
"accomplished",1,1
"accomplishes",1,1
"account",0,1
"accounting",0,1
"accounts",0,1
"accuracy",0,1
"accurate",0,1
"accusing",-1,1
"accustomed",0,1
"acerbic",0,1
"achieves",0,1
"achieving",0,1
"aching",-1,1
"achingly",0,1
"acknowledge",0,1
"acknowledged",0,1
"acquaintance",0,1
"acquainted",0,1
"acquire",0,1
"acquired",0,1
"acted",0,1
"activism",0,1
"actor",0,1
"ad",0,1
"adam",0,1
"adamantly",0,1
"adaptations",0,1
"adapted",0,1
"addicts",0,1
"additionally",0,1
"address",0,1
"adhd",0,1
"adhere",0,1
"adjust",0,1
"adjustments",0,1
"administrating",0,1
"admirable",1,1
"admire",1,1
"admittedly",0,1
"adolescent",0,1
"adolescents",0,1
"adopt",1,1
"adoption",0,1
"adrianne",0,1
"adulthood",0,1
"advantage",1,1
"adventurous",1,1
"adversary",-1,1
"advertising",0,1
"advetnure",0,1
"advise",0,1
"aesopiacae",0,1
"aesopica",0,1
"aesops",0,1
"affection",1,1
"affectionate",1,1
"affinity",0,1
"aftermath",0,1
"afterword",0,1
"ag's",0,1
"agency",0,1
"aggressive",-1,1
"aghast",-1,1
"aging",0,1
"agony's",0,1
"agreed",1,1
"agressive",0,1
"ahem",0,1
"ahlberg",0,1
"aides",0,1
"aids",0,1
"aims",0,1
"airplanes",0,1
"airports",0,1
"al",0,1
"ala17",0,1
"alan",0,1
"alarming",-1,1
"albeit",0,1
"albert",0,1
"albie",0,1
"albie's",0,1
"albino",0,1
"alborough's",0,1
"album",0,1
"alcohol",0,1
"alcoholic",0,1
"alcoholism",0,1
"alcott's",0,1
"alexandrea",0,1
"alexie",0,1
"alfredo",0,1
"alias",0,1
"alice's",0,1
"alien's",0,1
"alienation",-1,1
"allegory",0,1
"alley",0,1
"allison",0,1
"alliteration",0,1
"alliteratively",0,1
"allowing",0,1
"allusion",0,1
"almighty",0,1
"alms",0,1
"alouds",0,1
"alternate",0,1
"alternated",0,1
"altogether",0,1
"amazingly",0,1
"amazon",1,1
"ambiguous",0,1
"ambition",0,1
"ambivalence",0,1
"ambivalent",1,1
"america's",0,1
"americans",0,1
"amirite",0,1
"amiss",0,1
"amnesiac",0,1
"amphibians",0,1
"analyzed",0,1
"ananse",0,1
"anatomy",0,1
"ancient",0,1
"andre",0,1
"andrea",0,1
"andrew",0,1
"anecdotal",0,1
"angela",0,1
"anger",-1,1
"angle",0,1
"angleberger's",0,1
"anime",0,1
"anita",0,1
"annabelle's",0,1
"annemarie",0,1
"annie's",0,1
"annotated",0,1
"announced",0,1
"annoys",-1,1
"anonymous",0,1
"anorexic",0,1
"antartica",0,1
"anthologies",0,1
"anthony",0,1
"anthropomorphizing",0,1
"anticipated",0,1
"anticipation",1,1
"antsy",0,1
"anuses",0,1
"anxious",-1,1
"anyone's",0,1
"ap",0,1
"ape",0,1
"apologises",1,1
"apologizing",-1,1
"appalachia",0,1
"apparent",0,1
"appearance",0,1
"appearing",0,1
"appease",1,1
"applaud",1,1
"appliances",0,1
"apply",0,1
"appreciates",1,1
"apron",0,1
"apt",0,1
"aquarium",0,1
"arabs",0,1
"archenemy",0,1
"arcs",0,1
"aric's",0,1
"arise",0,1
"armada",0,1
"armchair",0,1
"arnold's",0,1
"aroused",0,1
"arranged",0,1
"array",0,1
"arrest",-1,1
"arrested",-1,1
"arresting",0,1
"arrietty",0,1
"arrogant",-1,1
"articulated",0,1
"artistic",0,1
"artistically",0,1
"artistry",0,1
"artur",0,1
"asia",0,1
"asperger's",0,1
"aspiring",0,1
"ass",-1,1
"assaf",0,1
"assembled",0,1
"assembly",0,1
"assign",0,1
"assigned",0,1
"assignment",0,1
"assignments",0,1
"assistance",0,1
"assistants",0,1
"assisting",0,1
"association",0,1
"assume",0,1
"assumed",0,1
"assuming",0,1
"assumptions",0,1
"assured",1,1
"asteroid",0,1
"asteroids",0,1
"astronaut",0,1
"astronomer",0,1
"asylum",0,1
"athena",0,1
"athletic",0,1
"athleticism",0,1
"atlanta",0,1
"atlantic",0,1
"atlas",0,1
"atrocious",0,1
"atron",0,1
"attach",0,1
"attacks",-1,1
"attempted",0,1
"attempting",0,1
"attend",0,1
"attended",0,1
"attentive",0,1
"attitudes",0,1
"attracted",1,1
"attractive",1,1
"attribute",0,1
"atypical",0,1
"audible",0,1
"audios",0,1
"auggie",0,1
"auggie's",0,1
"auntie",0,1
"auntie's",0,1
"austentatious",0,1
"authority",1,1
"autobiographical",0,1
"autobiography",0,1
"automatically",0,1
"aversion",-1,1
"avi",0,1
"avid",1,1
"avoided",-1,1
"avril",0,1
"aw",0,1
"awaited",-1,1
"awake",0,1
"awakened",0,1
"award.thus",0,1
"awarded",1,1
"awards",1,1
"awkwardness",-1,1
"awwwww",0,1
"axel",0,1
"ayah",0,1
"babbitt's",0,1
"babyhood",0,1
"babysitter",0,1
"backgrounds",0,1
"backseat",0,1
"backswimmer's",0,1
"backup",0,1
"backward",0,1
"backwards",0,1
"badass",1,1
"bags",0,1
"bah",0,1
"baicker",0,1
"bailed",0,1
"baked",0,1
"bakery",0,1
"bakes",0,1
"baking",0,1
"balances",0,1
"ballerina",0,1
"balloons",0,1
"ballsy",0,1
"balm",0,1
"bambi",0,1
"bambolona",0,1
"ban",-1,1
"bandar",0,1
"bands",0,1
"banterish",0,1
"barf",0,1
"barking",0,1
"barn",0,1
"barnes",0,1
"baron",0,1
"barrel",0,1
"barrie's",0,1
"bars",0,1
"base",0,1
"basho",0,1
"basics",0,1
"baskervilles",0,1
"basketball",0,1
"bastard",-1,1
"batb",0,1
"bathtub",0,1
"battled",-1,1
"battles",-1,1
"battling",-1,1
"baum",0,1
"baum's",0,1
"bbq",0,1
"bean",0,1
"beastly",0,1
"beasts",0,1
"beatles",0,1
"beatrix",0,1
"beaudelaire's",0,1
"beaumont",0,1
"beauteous",1,1
"beautify",1,1
"beaver",0,1
"beavers",0,1
"beck",0,1
"bedroom",0,1
"bee",0,1
"beetle",0,1
"beetles",0,1
"befallen",0,1
"befriend",0,1
"befriended",0,1
"begging",0,1
"beginner",0,1
"begs",0,1
"behaving",0,1
"behaviour",0,1
"bela",0,1
"beliefs",0,1
"believability",0,1
"believer",0,1
"believes",0,1
"belittles",0,1
"belonging",0,1
"belongs",0,1
"belt",0,1
"ben's",0,1
"bends",0,1
"beneficial",1,1
"benefits",1,1
"benny",0,1
"bent",0,1
"berenstain",0,1
"berenstein",0,1
"berkeley",0,1
"beset",0,1
"besieged",0,1
"bessie",0,1
"bestselling",0,1
"betameche",0,1
"betrayed",-1,1
"betsy",0,1
"beverly",0,1
"bfg",0,1
"biblical",0,1
"bicycle",0,1
"bike",0,1
"biker",0,1
"bikes",0,1
"bikini",0,1
"billed",0,1
"binary",0,1
"binoculars",0,1
"bio",0,1
"biology",0,1
"birdsall",0,1
"bitch",-1,1
"biter",0,1
"bittersweet",-1,1
"blah",-1,1
"blake's",0,1
"blames",-1,1
"blaming",-1,1
"bland",0,1
"blandness",0,1
"blank",0,1
"blase",0,1
"blasts",0,1
"bleah",0,1
"bleeeecccchhh",0,1
"blemish",0,1
"blend",0,1
"blessings",1,1
"bleue",0,1
"blew",0,1
"blight",0,1
"blind",-1,1
"blindly",0,1
"blinked",0,1
"blissworm",0,1
"blitheringbookster.com",0,1
"blogged",0,1
"blogger",0,1
"bloglovin",0,1
"bloom's",0,1
"bloomin",0,1
"blow",0,1
"blows",0,1
"blurbs",0,1
"blurts",0,1
"blush",0,1
"blytons",0,1
"boa",0,1
"boarder",0,1
"boarders",0,1
"boarding",0,1
"boasts",0,1
"bobbie",0,1
"bobby's",0,1
"bodily",0,1
"bog",0,1
"bogged",0,1
"boilers",0,1
"bokos",0,1
"bolts",0,1
"bombing",0,1
"bonjour",0,1
"boogie",0,1
"bookaday",0,1
"bookended",0,1
"booki",0,1
"booktalks",0,1
"borden",0,1
"borden's",0,1
"borders",0,1
"bore",-1,1
"borrow",0,1
"borrower",0,1
"borrows",0,1
"boss",0,1
"bosserman",0,1
"boston",0,1
"bottle",0,1
"bounced",0,1
"bounces",0,1
"bouncy",0,1
"boyfriend",0,1
"bozo",0,1
"braces",0,1
"brackets",0,1
"brag",0,1
"brainer",0,1
"brainstorming",0,1
"brambly",0,1
"bravado",0,1
"braved",1,1
"braver",1,1
"brea",0,1
"breast",0,1
"breathe",0,1
"breathed",0,1
"breathing",0,1
"bree",0,1
"bree's",0,1
"breed",0,1
"breezy",0,1
"brenner's",0,1
"brews",0,1
"breyer",0,1
"bride",0,1
"bridges",0,1
"brigade",0,1
"brigeet",0,1
"brigitte",0,1
"brilliantly",1,1
"brink's",0,1
"britain's",0,1
"bro",0,1
"broad",0,1
"broadcasts",0,1
"brony",0,1
"brook",0,1
"broom",0,1
"bros",0,1
"bruce",0,1
"brulee",0,1
"brung",0,1
"bruno",0,1
"brushed",0,1
"brutally",-1,1
"bryan",0,1
"bs",0,1
"bub",0,1
"budding",0,1
"buff",0,1
"buffet",0,1
"buffling",0,1
"buffs",0,1
"bugged",0,1
"bugging",0,1
"buggy",0,1
"buildings",0,1
"builds",0,1
"bulldoze",0,1
"bulldozers",0,1
"bulldozes",0,1
"bullet",0,1
"bullets",0,1
"bullshit",-1,1
"bullybug",0,1
"bump",0,1
"bumped",0,1
"bumps",0,1
"bunyan's",0,1
"burdick",0,1
"burgers",0,1
"burning",0,1
"bursts",0,1
"burton",0,1
"buses",0,1
"bust",0,1
"bustling",0,1
"butcher",0,1
"butter",0,1
"butterflies",0,1
"butthole",0,1
"button",0,1
"buttons",0,1
"buys",0,1
"buzz",0,1
"bwah",0,1
"bygone",0,1
"byng",0,1
"byomkesh",0,1
"bystander",0,1
"byu",0,1
"cabbageheads",0,1
"cabinets",0,1
"cabrera's",0,1
"cabret",0,1
"caddie's",0,1
"caedmon",0,1
"calamity",0,1
"calavera",0,1
"california",0,1
"callipygian",0,1
"callum",0,1
"camartinez",0,1
"camille",0,1
"campaigning",0,1
"camper",0,1
"campfire",0,1
"camping",0,1
"campy",0,1
"canada",0,1
"cannibal",0,1
"canning",0,1
"cannon",0,1
"canoe",0,1
"canon",0,1
"capabilities",0,1
"capacity",0,1
"captivating",0,1
"captures",0,1
"careening",0,1
"career",0,1
"careers",0,1
"carefree",1,1
"carefreeness",0,1
"carefully",1,1
"careless",-1,1
"caretakers",0,1
"cargo",0,1
"carnegie",0,1
"carole",0,1
"carousel",0,1
"carpentry",0,1
"carried",0,1
"carriers",0,1
"carroll",0,1
"carrots",0,1
"carter's",0,1
"cartoonish",0,1
"carved",0,1
"cash",0,1
"cassandra",0,1
"catacombs",0,1
"catcher",0,1
"catching",0,1
"catechism",0,1
"categorised",0,1
"caterpillar",0,1
"catfish",0,1
"catholic",0,1
"causing",0,1
"cautiously",0,1
"caveat",0,1
"cavemen",0,1
"cd",0,1
"cease",0,1
"celebrate",1,1
"celebrated",1,1
"celebrating",1,1
"celie",0,1
"cell",0,1
"cellar",0,1
"cellphones",0,1
"center",0,1
"centers",0,1
"central",0,1
"centred",0,1
"cerberus",0,1
"cerebus",0,1
"ceremonial",0,1
"chairman",0,1
"chalet",0,1
"challenging",1,1
"champion",1,1
"chandler",0,1
"chanted",0,1
"chaos",-1,1
"characterizations",0,1
"charactors",0,1
"charcoal",0,1
"charged",-1,1
"chariot",0,1
"charmingly",1,1
"chart",0,1
"chases",0,1
"chat",0,1
"chatacters",0,1
"chaunt",0,1
"cheap",0,1
"cheated",-1,1
"cheeks",0,1
"cheeriness",1,1
"cheering",1,1
"cheerios",0,1
"cheerleading",1,1
"cheers",1,1
"cheeseburger",0,1
"cheeses",0,1
"cheesiness",0,1
"chefs",0,1
"chemical",0,1
"cher",0,1
"cherokee",0,1
"chester's",0,1
"chestnuts",0,1
"chew",0,1
"chewed",0,1
"chewer",0,1
"chi",0,1
"chihuahua",0,1
"childr's",0,1
"children.even",0,1
"childs",0,1
"chimeroan",0,1
"chimes",0,1
"chimney",0,1
"chimp",0,1
"chimpanzee",0,1
"china's",0,1
"chinatown",0,1
"chincoteague",0,1
"chins",0,1
"chip",0,1
"chloe",0,1
"choke",-1,1
"choosing",0,1
"chopping",0,1
"chore",0,1
"christie",0,1
"christmases",0,1
"christmassy",0,1
"christopher",0,1
"chronicle",0,1
"chronicles",0,1
"chtultean",0,1
"chu",0,1
"chuckle",1,1
"chuckling",1,1
"churlish",0,1
"churned",0,1
"cinderellas",0,1
"cinema",0,1
"cionnaoith's",0,1
"circulate",0,1
"cities",0,1
"citing",0,1
"cityscape",0,1
"clad",0,1
"clan",0,1
"clarify",0,1
"clarifying",0,1
"classical",0,1
"classmate",0,1
"classy",1,1
"claudia",0,1
"clay",0,1
"cleaner",1,1
"cleared",1,1
"cleary",0,1
"cleary's",0,1
"clementine's",0,1
"cleo",0,1
"cleverest",1,1
"cleverness",1,1
"cliches",0,1
"climates",0,1
"climatic",0,1
"climbed",0,1
"clippers",0,1
"clock",0,1
"clocks",0,1
"closed",0,1
"closes",0,1
"closet",0,1
"clothes",0,1
"clothesline",0,1
"clothing",0,1
"cloud",0,1
"clover",0,1
"clue",0,1
"coast",0,1
"coaster",0,1
"coaxing",0,1
"cobble",0,1
"cobra",0,1
"cockpit",0,1
"codebusters",0,1
"codes",0,1
"coe",0,1
"coelho's",0,1
"coherent",0,1
"colfer",0,1
"colin's",0,1
"collaborative",0,1
"collecting",0,1
"collections",0,1
"collector's",0,1
"colon",0,1
"colorfully",0,1
"coloring",0,1
"colorization",0,1
"coloured",0,1
"colours",0,1
"columnist",0,1
"comatose",0,1
"combat",-1,1
"combining",0,1
"comedic",1,1
"comet",0,1
"comeuppance",0,1
"comfortably",1,1
"comforting",1,1
"commences",0,1
"commendable",0,1
"commentary",0,1
"commented",0,1
"comments",0,1
"commit",1,1
"committed",1,1
"committee's",0,1
"committees",0,1
"commonplace",0,1
"communicate",0,1
"communicating",0,1
"communication",0,1
"communiting",0,1
"comparatively",0,1
"complaining",-1,1
"complaint",-1,1
"completed",0,1
"complexity",0,1
"complimentary",1,1
"compose",0,1
"compounded",0,1
"comprehend",0,1
"conceit",0,1
"concerns",0,1
"concluded",0,1
"concluding",0,1
"conclusions",0,1
"conference",0,1
"confess",0,1
"confident",1,1
"confines",0,1
"conflicts",-1,1
"conform",0,1
"confrontations",-1,1
"confronted",-1,1
"confronting",-1,1
"confuse",-1,1
"confusingly",-1,1
"conglomeration",0,1
"congrats",1,1
"congratulations",1,1
"congruent",0,1
"conklin",0,1
"connecticut",0,1
"connor",0,1
"connor's",0,1
"connotations",0,1
"cons",0,1
"conscience",0,1
"consciences",0,1
"consciously",0,1
"consecutive",0,1
"considerate",1,1
"consideration",0,1
"considers",0,1
"consistency",0,1
"consisting",0,1
"consists",0,1
"consolidating",0,1
"conspiracy",-1,1
"conspiring",0,1
"constant",0,1
"constrictors",0,1
"construed",0,1
"contagious",-1,1
"container",0,1
"contend",1,1
"contender",1,1
"contentment",1,1
"contestants",0,1
"contests",0,1
"continual",0,1
"continuing",0,1
"continuous",0,1
"contradiction",-1,1
"contrasted",0,1
"contrasts",0,1
"contribute",0,1
"contributing",0,1
"contribution",0,1
"controlling",0,1
"controversial",-1,1
"conveniently",0,1
"conversational",0,1
"convert",0,1
"convicts",0,1
