"token","vader","n"
"tuned",0,4
"voices",0,4
"voters",0,4
"wallace",0,4
"white",0,4
"wilberforce91",0,4
"winners",1,4
"ya",0,4
"yesterday",0,4
"_hankrearden",0,3
"16",0,3
"ac360",0,3
"advice",0,3
"agenda",0,3
"agree",1,3
"allenwestrepub",0,3
"amazing",1,3
"answers",0,3
"apologize",1,3
"attempt",0,3
"attention",0,3
"babies",0,3
"beautiful",1,3
"bencarson2016",0,3
"bernie",0,3
"bethbehrs",0,3
"bobbyjindal",0,3
"bomb",-1,3
"book",0,3
"border",0,3
"boy",0,3
"breaking",0,3
"business",0,3
"calls",0,3
"carly2016",0,3
"chances",1,3
"character",0,3
"chrischristie",0,3
"civil",0,3
"common",0,3
"congress",0,3
"cool",1,3
"crazy",-1,3
"created",1,3
"curly",0,3
"damn",-1,3
"deal",0,3
"dear",1,3
"declared",0,3
"defend",0,3
"direct",0,3
"door",0,3
"double",0,3
"drudge",0,3
"elected",0,3
"entertaining",1,3
"entertainment",1,3
"event",0,3
"everyday",0,3
"father",0,3
"fight",-1,3
"final",0,3
"frankluntz",0,3
"friends",1,3
"games",0,3
"hadiyah",0,3
"hand",1,3
"happened",0,3
"happiest",1,3
"hee",0,3
"hit",0,3
"home",0,3
"hurry",0,3
"icymi",0,3
"irandeal",0,3
"joe",0,3
"learned",0,3
"listening",0,3
"live",0,3
"marriage",0,3
"media",0,3
"megan",0,3
"mention",0,3
"mentions",0,3
"mic",0,3
"money",0,3
"monsterandboy",0,3
"mouth",0,3
"mozgovaya",0,3
"nevermind",0,3
"nights",0,3
"nomination",0,3
"notamistake",0,3
"obamacare",0,3
"ohio",0,3
"ohnoshetwitnt",0,3
"overrated",0,3
"p2",0,3
"parenting",0,3
"performance",0,3
"pissed",-1,3
"play",1,3
"playing",1,3
"politically",0,3
"potus",0,3
"ppact",0,3
"ppl",0,3
"primary",0,3
"pulse",0,3
"quotes",0,3
"record",0,3
"records",0,3
"remember",0,3
"rocked",0,3
"roll",0,3
"round",0,3
"sadly",-1,3
"sallykohn",0,3
"send",0,3
"sex",0,3
"smart",1,3
"smartest",1,3
"snl",0,3
"social",0,3
"sold",0,3
"spoken",0,3
"starts",0,3
"stay",0,3
"sums",0,3
"teaparty",0,3
"thepatriot143",0,3
"thinking",0,3
"throwing",0,3
"told",0,3
"totally",0,3
"tweet",0,3
"u.s",0,3
"uncle",0,3
"wall",0,3
"wasserman",0,3
"wedding",0,3
"weekend",0,3
"writeintrump",0,3
"100",0,2
"10th",0,2
"4",0,2
"5",0,2
"9",0,2
"abortion",0,2
"abortions",0,2
"accidentally",-1,2
"admit",1,2
"aint",0,2
"air",0,2
"alinsky",0,2
"alive",1,2
"amendment",0,2
"america's",0,2
"angry",-1,2
"annebayefsky",0,2
"anti",-1,2
"apparently",0,2
"applause",1,2
"article",0,2
"ass",-1,2
"assassination",-1,2
"b140_tweet",0,2
"bar",0,2
"bed",0,2
"belief",0,2
"billhemmer",0,2
"billionaire",0,2
"bimbo",0,2
"birth",0,2
"bitches",-1,2
"blessed",1,2
"blog",0,2
"body",0,2
"boom",0,2
"boys",0,2
"bridges",0,2
"broken",-1,2
"build",0,2
"bump",0,2
"called",0,2
"canadian",0,2
"carson's",0,2
"cartel",0,2
"change",0,2
"chase",0,2
"checkers",0,2
"child",0,2
"christian",0,2
"clips",0,2
"closed",0,2
"clown",0,2
"cnn",0,2
"collect",0,2
"color",0,2
"comcatholicgrl",0,2
"comment",0,2
"compared",0,2
"complain",-1,2
"complete",0,2
"congrats",1,2
"consequences",0,2
"contribution",0,2
"core",0,2
"couple",0,2
"court",0,2
"covers",0,2
"credit",1,2
"crispie",0,2
"cruz's",0,2
"cruzcrew",0,2
"cut",-1,2
"dad",0,2
"daily",0,2
"darth",0,2
"datechguyblog",0,2
"death",-1,2
"debbie",0,2
"decided",0,2
"demand",-1,2
"desdemona4u",0,2
"deserve",0,2
"die",-1,2
"disappointed",-1,2
"dl",0,2
"doctor",0,2
"dodd",0,2
"dog",0,2
"dominates",1,2
"donations",0,2
"donniewahlberg",0,2
"dont",0,2
"doubt",-1,2
"dougbenson",0,2
"drama",0,2
"dreamdefenders",0,2
"duh",0,2
"easily",1,2
"election",0,2
"elite",0,2
"endorsed",1,2
"enforce",0,2
"entertained",1,2
"epa",0,2
"episode",0,2
"evening",0,2
"expand",1,2
"facing",0,2
"fail",-1,2
"failed",-1,2
"fair",1,2
"families",0,2
"fan",1,2
"fbi",0,2
"fear",-1,2
"feelthebern",0,2
"fence",0,2
"fetuses",0,2
"feud",-1,2
"fifty",0,2
"finished",0,2
"fix",0,2
"flacco",0,2
"focus",0,2
"folks",0,2
"forget",-1,2
"form",0,2
"foxnewsdebate",0,2
"foxnewspolitics",0,2
"foxnewssunday",0,2
"foxy",0,2
"friday",0,2
"friend",1,2
"fucking",0,2
"fun",1,2
"girls",0,2
"glad",1,2
"god's",0,2
"gold",0,2
"gonna",0,2
"gopclowncar",0,2
"gopfail",0,2
"gotta",0,2
"govchristie",0,2
"ground",0,2
"gt",1,2
"guess",0,2
"guypbenson",0,2
"guys",0,2
"hat",0,2
"headed",0,2
"heard",0,2
"hilarious",1,2
"hillary2016",0,2
"homes",0,2
"honor",1,2
"horse",0,2
"hour",0,2
"hug",1,2
"hugs",1,2
"hurt",-1,2
"iats8vyx7c",0,2
"ijreview",0,2
"incredible",0,2
"independent",0,2
"influence",0,2
"ingrahamangle",0,2
"insightful",0,2
"instagram",0,2
"insult",-1,2
"insulting",-1,2
"insurance",0,2
"involved",0,2
"iota",0,2
"iran",0,2
"issue",0,2
"jersey",0,2
"jesus",0,2
"jimmyjames38",0,2
"jindal",0,2
"jon",0,2
"kasich's",0,2
"kellyfile",0,2
"kennedynation",0,2
"kicked",0,2
"kids",0,2
"knock",0,2
"lannister",0,2
"leader",0,2
"leaders",0,2
"leasavoy",0,2
"leave",-1,2
"lemme",0,2
"lgbt",0,2
"liar",-1,2
"likes",1,2
"listen",0,2
"looked",0,2
"losers",-1,2
"lot",0,2
"loved",1,2
"loves",1,2
"markdavis",0,2
"market",0,2
"marthamaccallum",0,2
"matters",1,2
"matthews",0,2
"mayor",0,2
"means",0,2
"mess",-1,2
"mette_mariek",0,2
"mexican",0,2
"million",0,2
"millions",0,2
"min",0,2
"minute",0,2
"minutes",0,2
"miss",-1,2
"moderators",0,2
"mongering",-1,2
"months",0,2
"movement",0,2
"mush",0,2
"mutant",0,2
"nailed",0,2
"naral",0,2
"nielsen",0,2
"nominee",0,2
"nro",0,2
"nyt",0,2
"obama's",0,2
"obvious",0,2
"odds",0,2
"office",0,2
"omg",0,2
"opponents",0,2
"palin",0,2
"pandering",0,2
"parade",0,2
"patriotmom61",0,2
"pattonoswalt",0,2
"pc",0,2
"perfect",1,2
"perry",0,2
"phillyd",0,2
"pick",0,2
"picture",0,2
"plan",0,2
"plans",0,2
"pls",1,2
"policy",0,2
"political",0,2
"politician",0,2
"politicians",0,2
"polls",0,2
"polo",0,2
"poor",-1,2
"postmortem",0,2
"pres",0,2
"prez",0,2
"primaries",0,2
"priorities",0,2
"proper",0,2
"proud",1,2
"psychic",0,2
"push",0,2
"quality",0,2
"quote",0,2
"racist",-1,2
"ran",0,2
"rate",0,2
"realalexjones",0,2
"realize",0,2
"reason",0,2
"reform",0,2
"registered",0,2
"remarks",0,2
"remedy",0,2
"reminder",0,2
"rep",0,2
"response",0,2
"retweet",0,2
"rhetoric",0,2
"rick",0,2
"rightly",0,2
"ring",0,2
"rino",0,2
"rip",0,2
"road",0,2
"rocks",0,2
"roger",0,2
"rowdy",0,2
"rupert",0,2
"rush",0,2
"rushlimbaugh",0,2
"russia",0,2
"sanders",0,2
"sayin",0,2
"scary",-1,2
"school",0,2
"scott",0,2
"security",1,2
"sensanders",0,2
"sets",0,2
"shannonrwatts",0,2
"shared",1,2
"shawndrurysc",0,2
"shot",0,2
"shout",0,2
"shoutout",0,2
"shut",0,2
"similar",0,2
"site",0,2
"slone",0,2
"sober",0,2
"specific",0,2
"specifics",0,2
"standing",0,2
"standwithrand",0,2
"star",0,2
"started",0,2
"stayed",0,2
"summary",0,2
"supermanhotmale",0,2
"superpower",0,2
"table",0,2
"tactics",0,2
"taking",0,2
"tense",-1,2
"terrorism",-1,2
"terrorists",-1,2
"thatchrisgore",0,2
"thebaxterbean",0,2
"thedailyshow",0,2
"thedemocrats",0,2
"thursday's",0,2
"tickets",0,2
"todd",0,2
"topic",0,2
"total",0,2
"transgender",0,2
"trumps",0,2
"trust",1,2
"tweets",0,2
"twitterland",0,2
"type",0,2
"unborn",0,2
"understand",0,2
"unfathomable",0,2
"united",1,2
"usa",0,2
"view",0,2
"wakeupamerica",0,2
"walker's",0,2
"wanna",0,2
"washingtonpost",0,2
"women's",0,2
"wondering",0,2
"wrong",-1,2
"wrote",0,2
"wxaf0qvhi5",0,2
"yarn",0,2
"yeah",1,2
"youngblkrepub",0,2
"_ciaradanix3",0,1
"_kingmalcolm",0,1
"0787",0,1
"1.6m",0,1
"11000",0,1
"13",0,1
"13_band",0,1
"14",0,1
"140characters",0,1
"1491",0,1
"16.0",0,1
"18.9",0,1
"1800",0,1
"19,000,000,000,000",0,1
"1929",0,1
"1964",0,1
"1gt4lreepo",0,1
"1m",0,1
"1mttug98ch",0,1
"1st",0,1
"1z3vufjzlw",0,1
"2013",0,1
"2015",0,1
"22gjyz5dz9",0,1
"22nd",0,1
"24",0,1
"24000",0,1
"250",0,1
"26",0,1
"2b",0,1
"2kvlxwb9kd",0,1
"2nd",0,1
"2wndaiiikc",0,1
"32",0,1
"34",0,1
"35",0,1
"360vodka",0,1
"37.5",0,1
"3afiekcitk",0,1
"3d",0,1
"3jmydidcdf",0,1
"3l7yimjxdl",0,1
"3rd",0,1
"3tep5zszun",0,1
"40",0,1
"43.0",0,1
"49",0,1
"4djcc81a5m",0,1
"4ljeug3gye",0,1
"4n6wgnunhn",0,1
"4th",0,1
"4yp5vfabjq",0,1
"50th",0,1
"5guj7pe5ei",0,1
"5h5prwi7ju",0,1
"5sgveo7r8n",0,1
"5votes",0,1
"60min",0,1
"6d6xvafpf1",0,1
"6t2pwpyix1",0,1
"7.50",0,1
"7n0vljf2sn",0,1
"7qk0peaecw",0,1
"8",0,1
"80",0,1
"87p5eew8w7",0,1
"8aqyj9byor",0,1
"8aupr2vs6z",0,1
"8jbvwjtj3t",0,1
"8lveuhtjuj",0,1
"93wibc",0,1
"aaaaand",0,1
"aaand",0,1
"aandgshow",0,1
"abbijacobson",0,1
"ableg",0,1
"abusive",-1,1
"account",0,1
"acct",0,1
"accurate",0,1
"acerbicaxioms",0,1
"ack",0,1
"actions",0,1
"ad",0,1
"adamslily",0,1
"add",0,1
"admin",0,1
"admirers",1,1
"admitting",0,1
"advance",0,1
"advise",0,1
"advisor",0,1
"aegon",0,1
"aerosmith",0,1
"affect'n",0,1
"affinity",0,1
"affordable",0,1
"africa",0,1
"afrochubbz",0,1
"aftermath",0,1
"afternoon",0,1
"again3",0,1
"againstcronycap",0,1
"agents",0,1
"aggressively",-1,1
"ahead",0,1
"aiartbsmtx",0,1
"ailes",0,1
"aimff13ktm",0,1
"ak",0,1
"alas",-1,1
"alexandergold",0,1
"alexandraheuser",0,1
"alexconant",0,1
"algore",0,1
"alilihay",0,1
"alittlestats",0,1
"allamericanrally.us",0,1
"allowed",0,1
"alot",0,1
"alyonamink",0,1
"alyssaphucker",0,1
"amazed",1,1
"amdt",0,1
"amen",0,1
"americansunited",0,1
"amnesty",0,1
"amount",0,1
"amprog",0,1
"analyst",0,1
"ancient",0,1
"andersoncooper",0,1
"andreatantaros",0,1
"andrewcryer1",0,1
"angelaledgerwoo",0,1
"angryblacklady",0,1
"animal",0,1
"ann",0,1
"annise",0,1
"anniversary",0,1
"announce",0,1
"announcements",0,1
"anointed",0,1
"answering",0,1
"anymore",0,1
"anytime",0,1
"ao0zzfzep1",0,1
"apology",1,1
"appalling",-1,1
"appeared",0,1
"apprentice.cries",0,1
"approaches",0,1
"aprillives",0,1
"aq8v8c6p0p",0,1
"aqv21",0,1
"arab",0,1
"archerone",0,1
"argue",-1,1
"argument",-1,1
"aridavidusa",0,1
"arm",0,1
"armor",0,1
"army",0,1
"arriving",0,1
"art",0,1
"articles",0,1
"articulate",0,1
"asdsfke513",0,1
"ashamed",-1,1
"asia",0,1
"assesses",0,1
"asshat",0,1
"association",0,1
"atom",0,1
"attacked",-1,1
"attacking",-1,1
"attacks",-1,1
"attempted",0,1
"attend",0,1
"attended",0,1
"attitude",0,1
"auhlnza3ww",0,1
"authority",1,1
"avabeata",0,1
"averykayla",0,1
"avoid",-1,1
"award",1,1
"awesome",1,1
"ax",0,1
"b140tweet",0,1
"b4",0,1
"babara",0,1
"baby",0,1
"backhanded",0,1
"badly",-1,1
"bagged",0,1
"baier",0,1
"balance",0,1
"ban",-1,1
"bankruptcy",0,1
"banks",0,1
"barbarians",0,1
"barbhaynes",0,1
"barracudamama",0,1
"bars",0,1
"bartles",0,1
"base",0,1
"based",0,1
"bashing",0,1
"basically",0,1
"basis",0,1
"bass",0,1
"batsask",0,1
"bayonets",0,1
"bc",0,1
"bdsp6ig77v",0,1
"bdxb2vkyqw",0,1
"beachpeanuts",0,1
"beat",0,1
"becca0mae",0,1
"bedchamber",0,1
"beem_skeem",0,1
"beer",0,1
"beginning",0,1
"behaved",0,1
"believable",0,1
"bencarson",0,1
"bender",0,1
"beneath",0,1
"benefitted",1,1
"benswann_",0,1
"benwikler",0,1
"bern",0,1
"bernardgoldberg",0,1
"bernie's",0,1
"bernie2016",0,1
"bgzysysfsu",0,1
"bheartland",0,1
"bigger",0,1
"bill",0,1
"billy",0,1
"billyeichner",0,1
"bin",0,1
"bingo",0,1
"bipartisan",0,1
"birthday",0,1
"biz",0,1
"bizkit",0,1
"bjqhgppphy",0,1
"bkshelvesofdoom",0,1
"blackfolksgave",0,1
"blacks",0,1
"blahahaha",0,1
"blame",-1,1
"blew",0,1
"blimey",0,1
"blur",0,1
"bmorebrian",0,1
"bnrdebate",0,1
"board",0,1
"boatrocker",0,1
"bob",0,1
"bob's",0,1
"bobby",0,1
"bone",0,1
"books",0,1
"borders",0,1
"born",0,1
"borowitzreport",0,1
"borrowing",0,1
"bother",-1,1
"bottle",0,1
"bottom",0,1
"bottomless",0,1
"bounce_comic",0,1
"bowel",0,1
"boxer",0,1
"bradonmessage",0,1
"bradthor",0,1
"brags",0,1
"branch",0,1
"brappy55",0,1
"braveconwarrior",0,1
"brawling",0,1
"bret",0,1
"brianmrosenthal",0,1
"brianstelter",0,1
"bridgegate",0,1
"brietbart",0,1
"brilliant",1,1
"bringing",0,1
"brithume",0,1
"broadcast",0,1
"brock_a_r",0,1
"brother",0,1
"brotherhood",0,1
"brothers",0,1
"brownblaze",0,1
"brucebartlett",0,1
"brunches",0,1
"bryanlowry3",0,1
"bryjh5epif",0,1
"btl",0,1
"btw",0,1
"budgets",0,1
"buffoon",0,1
"buhbyegop",0,1
"building",0,1
"built",0,1
"bull",0,1
"bunch",0,1
"burn",0,1
"bus",0,1
"bushland",0,1
"businesspeople",0,1
"buying",0,1
"buzzer",0,1
"bwahaha",1,1
"c6qmagevf3",0,1
"c7fwjmdqcz",0,1
"cabinet",0,1
"caked",0,1
"calif",0,1
"camacho",0,1
"camelotgypsy",0,1
"cameo",0,1
"campground",0,1
"cancelled",-1,1
"candidacy",0,1
"candy",0,1
"candycrowley",0,1
"canned",0,1
"canttrustabush",0,1
"cap",0,1
"capitalizes",0,1
"captain_landon",0,1
"captioning",0,1
"cards",0,1
"careing",0,1
"carmengoblue",0,1
"carry",0,1
"cary",0,1
"catastrophe",-1,1
"catching",0,1
"catholicdems",0,1
"catie__warren",0,1
"cavaticat",0,1
"cbslaelsa",0,1
"cdc",0,1
"cdm",0,1
"cecilthelion",0,1
"ceejaycraig",0,1
"celebs",0,1
"cemented",0,1
"center",0,1
"chadpergram",0,1
"chadstanton",0,1
"chains",0,1
"chakerkhazaal",0,1
"changegun",0,1
"charles_gaba",0,1
"charlesmcnulty",0,1
"charted",0,1
"cheer",1,1
"cheering",1,1
"cherishes",1,1
"chess",0,1
"chevy",0,1
"chew",0,1
"chewbacca",0,1
"chhzb49t0w",0,1
"chief",0,1
"children",0,1
"chill",0,1
"chip",0,1
"choose",0,1
"chrischristie's",0,1
"christi",0,1
"christians",0,1
"christie's",0,1
"chriswallace",0,1
"chrome",0,1
"church",0,1
"cinderella",0,1
"cities",0,1
"citizenship",0,1
"city",0,1
"civilrightsorg",0,1
"claim",0,1
"claimed",0,1
"claims",0,1
"claire",0,1
"clap",0,1
"clapped",0,1
"clapping",0,1
"clarknt67",0,1
"cleveland",0,1
"clinton's",0,1
"clip",0,1
"close",0,1
"coach",0,1
"code",0,1
"cohealthaccess",0,1
"collection",0,1
"collegedemstx",0,1
"colored",0,1
"columnist",0,1
"comeback",0,1
"comedians",1,1
"comedy",1,1
"command",0,1
"commanded",0,1
"commander",0,1
"commentary",0,1
"commentator",0,1
"commentators",0,1
"commit",1,1
"commitment",1,1
"committing",1,1
"communicator",0,1
"community",0,1
"competence",0,1
"competent",1,1
"complaints",-1,1
"concerns",0,1
"conditional",0,1
"confidence.too",0,1
"confirmed",0,1
"congratulations",1,1
"congressional",0,1
"conservative",0,1
"considered",0,1
"consistent",0,1
"consistently",0,1
"conssista",0,1
"consults",0,1
"consume",0,1
"contact",0,1
"contenders",0,1
"content",0,1
"continues",0,1
"contrary",0,1
"contrast",0,1
"control",0,1
"controversy",0,1
"convent",0,1
"convinced",1,1
"coolest",0,1
"cop",0,1
"corn",0,1
"corp",0,1
"correctly",0,1
"correctrecord",0,1
"correctrecordcancel",0,1
"corrupt",0,1
"cougar",0,1
"cr",0,1
"crack",0,1
"cracking",0,1
"cral",0,1
"crashes",0,1
"cratering",0,1
"craziness",-1,1
"crickets",0,1
"cries",-1,1
"crime",-1,1
"critic",-1,1
"critique",0,1
"crowley",0,1
"crowns",0,1
"crush",-1,1
"cruz2016",0,1
"crying",-1,1
"cs0usassqs",0,1
"cspanwj",0,1
"ctblogger",0,1
"culkin",0,1
"cult",0,1
"culture",0,1
"curtain",0,1
"cute",1,1
"cw0rac9wqh",0,1
"cycles",0,1
"da",0,1
"daddy",0,1
"daenerys",0,1
"dalestokely",0,1
"dan_bernstein",0,1
"dangerfield",0,1
"danholler",0,1
"danmoore755",0,1
"danscavino",0,1
"data",0,1
"dataviz",0,1
"dave_gosh",0,1
"daveanthony",0,1
"davidbrockdc",0,1
"davidjwhite640",0,1
"dayum",0,1
"dc's",0,1
"dd",0,1
"dead",-1,1
"deals",0,1
"debaitandswith",0,1
"debated",0,1
"debaters",0,1
"debatewithbernie",0,1
"debating",0,1
"debt",-1,1
"debtinequality",0,1
"decade",0,1
"decades",0,1
"decent",0,1
"decision",0,1
"declares",0,1
"declaring",0,1
"deenazarucnn",0,1
"defeat",-1,1
"define",0,1
"defined",0,1
"definitive",0,1
"defunded",0,1
"degree",0,1
"delay",-1,1
"deleted",0,1
"delicacy",0,1
"delight",1,1
"delivered",0,1
"delusions",0,1
"demagog",0,1
"democracy",0,1
"democracymatrz",0,1
"democrat's",0,1
"democratic",0,1
"demonstrated",0,1
"dems",0,1
"demsrrealracist",0,1
"denies",-1,1
"dentist",0,1
"derail",-1,1
"deray",0,1
"derogatory",0,1
"des",0,1
"describe",0,1
"description",0,1
"deserves",0,1
"desperate",-1,1
"destroy",-1,1
"devryguy",0,1
"dhniels",0,1
"dicks",0,1
"dictating",0,1
"diegueno",0,1
"difference",0,1
"differences",0,1
"digest",0,1
"dire",-1,1
"dirt",-1,1
"disagree",-1,1
"disapproval",0,1
"discriminated",0,1
"discuss",0,1
"discussion",0,1
"disgusting",-1,1
"dislike",-1,1
"displayed",0,1
"disrespectful",0,1
"disruptepreneur",0,1
"dissatisfying",-1,1
"dissect",0,1
"ditch",0,1
"diversity",0,1
"divide",0,1
"djcj7bhgzb",0,1
"dloesch",0,1
"dole",0,1
"domeniconpr",0,1
"domestic",0,1
"dominionin",0,1
"donated",0,1
"donation",0,1
"donkeyarguing",0,1
"donnabrazile",0,1
"doom",-1,1
"doriabiddle",0,1
"downright",0,1
"draft",0,1
"dragging",0,1
"dragswolf",0,1
"draw",0,1
"dress",0,1
"drinking",0,1
"drinks",0,1
"driving",0,1
"drn2bhohii",0,1
"drnickmorgan",0,1
"dropping",0,1
"drudge_repo",0,1
"drugs",0,1
"drum",0,1
"drunk",-1,1
"dust",0,1
"dwarfs",0,1
"dwstweets",0,1
"dy8knz122t",0,1
"e0huw70rrr",0,1
"e1smu0hn5j",0,1
"e2rboz1zwy",0,1
"e68hblfc2g",0,1
"earlier",0,1
"ears",0,1
"earth",0,1
"east",0,1
"easy",1,1
"eat",0,1
"eat24",0,1
"eclipses",0,1
"economics",0,1
"ed",0,1
"eddiepepitone's",0,1
"edgeofsports",0,1
"education",0,1
"effectivley",0,1
"egypt",0,1
"electable",0,1
"elegant",1,1
"elizabeth",0,1
"ellemagazine",0,1
"eloquently",0,1
"email",0,1
"emails",0,1
"embrace",1,1
"emerges",0,1
"emissary",0,1
"emphatically",0,1
"encourage",1,1
"english",0,1
"enjoy",1,1
"enjoying",1,1
"enterprise",0,1
"enthusiasm",1,1
"entire",0,1
"envelope",0,1
"epicfail",0,1
"equality",0,1
"equations",0,1
"ericbolling",0,1
"essentially",0,1
"eugenics",0,1
"eusebiaaq",0,1
"ewing",0,1
"exaggerates",-1,1
"excellent",1,1
"exclamation",0,1
"executive",0,1
"expect",0,1
"expectation",0,1
"expected",0,1
"expecting",0,1
"experiment",0,1
"explaining",0,1
"exposed",-1,1
"extends",1,1
"extra",0,1
"extraordinaire",0,1
"extremist",0,1
"eye",0,1
"eyes",0,1
"ez9yl3uxxs",0,1
"f687d6objl",0,1
"fackinpeter",0,1
"factlsxf4g",0,1
"facttank",0,1
"faith",1,1
"fall",0,1
"fallen",-1,1
"falters",0,1
"family",0,1
"fancy",0,1
"fascinating",1,1
"fashion",0,1
"fast",0,1
"favor",1,1
"fb",0,1
"fdgxg3vv13",0,1
"fec",0,1
"federal",0,1
"fedral",0,1
"feeds",0,1
"feel",0,1
"feeling",1,1
"female",0,1
"fetus",0,1
"fewer",0,1
"field",0,1
"fighter",1,1
"fightfor15",0,1
"figure",0,1
"finalized",0,1
"finance",0,1
"fincbj3pos",0,1
"fine",1,1
"finest",0,1
"firstamendment",0,1
"fit",1,1
"fl",0,1
"flailing",0,1
"flashreport",0,1
"flat",0,1
"flips",0,1
"florida",0,1
"floridamep",0,1
"fly",0,1
"fmafdubmfb",0,1
"focused",1,1
"follower",0,1
"followers",0,1
"food",0,1
"fools",-1,1
"footage",0,1
"footies",0,1
"fop",0,1
"forearm",0,1
"foreign",0,1
"foreshadowed",0,1
"forgives",1,1
"fought",-1,1
"foul",0,1
"found",0,1
"foundation",0,1
"fourmoreyears",0,1
"foxdebate",0,1
"foxdebates",0,1
"foxnewsmom",0,1
"fragile",0,1
"frankbruni",0,1
"freakin",0,1
"freakishly",-1,1
"freeamerican100",0,1
"freedomjames7",0,1
"freedomtexasmom",0,1
"freelion7",0,1
"fresh",1,1
"frogs",0,1
"front",0,1
"fruit",0,1
"fs7r705es9",0,1
"ftw",1,1
"fuk",0,1
