"","id","text","rating","afinn","lsd","vader","sums"
"422",422,"Any reader has a long list of books from their past that hover at the edges of their memory. You read them as a child, you grow up, you forget about them, until years later, picking up a copy by sheer accident, a sudden rush of memory flits through your blood like an electric shock as, for just a fraction of a moment, you are ten years old again, curled up in a quiet corner somewhere out of reach of all the annoying adults who are annoyingly prone to interrupting you just at the best part, so wrapped up in the book in your hands that an earthquake could pass you by unnoticed. 
 Of course you buy the book. Of course you rush home and curl up with it again, wanting to extend that feeling of untainted childhood pleasure that you felt with the book in your hand. 
 Sadly it's a hell of a gamble with that type of book. What is mindblowing at 10 years old is sometimes disappointingly empty when you are nearly 40. And so it is with A Handful of Time. I dug into the book wanting, waiting, and willing to be pleased, but unfortunately from the viewpoint of my adult self, this book is disappointing. 
 The idea itself is very good - an unhappy girl finds a way to go back in time and, in viewing the troubles of others, manages to get a grasp on her own. The execution of the idea, however, I find to be lacking. The situations, the characters, the morals and the lessons, all struck me as cardboard, flavorless, with nothing to make them come to life. 
 And yet I very clearly remember loving this as a child. And as a child, I had the same sort of issues the protagonist had. I felt isolated from my family, different from all of them, incapable of connecting. I struggled with loving things nobody else did, and trying to master the things everybody else did that I didn't actually care much about, but tried anyway just to fit in. 
 So... how do I rate this book? As an adult (and in order not to mess up my recommendations!) I have had to rate it as a 2. It wasn't terrible, but it certainly wasn't anything more than 'okay' and I found it rather more tedious than anything else to get through. BUT I if I were rating this without consideration for my own profile, I would have rated it 5 stars because it is a children's book, and I think that for children, especially young girls who feel a disconnect with the people around them, this book is likely going to be a 5-star experience. So if you're looking for you, pass it by. If you're looking for a little girl that you love and want to give something special to, this is a very good bet. But while you're at it, throw in another Canadian author's work and pick up Anne of Green Gables as well, for I feel it does a far, far better job of taking typical situations and characters and breathing a life and personality into them that will live into adulthood and remain one of those books that is a pleasure to read at any age.",2,0.023,-0.174,0.986,2.32
"453",453,"I can't really say why...but I did not enjoy this at all. You'd think that with a story this short, there isn't a reason not to like it. The art is adorable, both the dog (Calvin) and cat (Gloria) are adorable...but yeah. I guess the message that this family keeps getting new pets and then ignoring their old ones is kind of irresponsible to me. Not a favorite. Two stars, only for the art.",2,0.425,0.143,-0.729,2.308
"284",284,"In Lon Po Po, Ed Young tells the dark story of a bad wolf who sees the opportunity to catch three small children--Shang, Tao, and Paotze--when their mother leaves them alone to visit their grandmother far away. Dressed in makeshift garb to resemble their grandmother (called ""Po Po""), the wolf gains access to the children's home. When the oldest girl, Shang, realizes that the concealed creature who claims to be their Po Po is actually a wolf in disguise, she has to muster her creativity to outwit the hungry predator and free herself and her two sisters from the imminent threat of being eaten by the wolf. 
 Lon Po Po is filled with Chinese cultural vibes that add a fair amount to this well-known story. Ed Young's visceral take on the illustrations captures the tense nature of the story well, and works in harmony with his writing. I would give one and a half stars to this book.",1,-0.067,0.167,-0.977,2.288
"747",747,"Jonas vive in un mondo che a noi sembra assurdo e assolutamente raccapricciante,ma che per lui e la semplice realta. Vive con due adulti che chiama 'mamma' e 'papa', ma con cui non ha nessun legame di sangue, e semplicemente stato assegnato a loro dopo che chi di dovere l'aveva partorito. Non ci sono malattie, ne guerre e tutto, dalla scelta del lavoro a quella del marito/moglie,e regolato da rigide leggi che non permettono alle persone di prendere decisioni. Non ci sono emozioni,ne sentimenti,neppure impulsi sessuali, qualsiasi sensazione fisica o psicologica e stata inibita per il bene e la sicurezza della Comunita. Chi non e idoneo o non rispetta le regole viene ''congedato''. Quando un bambino raggiunge i 12 anni gli viene assegnato il lavoro che dovra svolgere per tutta la vita, ma quando e il turno di Jonas accade qualcosa che nessuno si sarebbe aspettato: non viene designato come i suoi compagni per un normale lavoro ma gli viene comunicato che sara il nuovo Accoglitore di memorie :ricevera dal Donatore tutte le memorie degli uomini vissuti prima di lui per essere pronto a diventare a sua volta il Donatore in carica. Le memorie vanno conservate perche quando ci sono grosse decisioni da prendere la Comunita chiede consiglio al Donatore, che grazie alla conoscenza e all'esperienza di centinaia di anni e l'unica persona a poter dare un consiglio giusto e saggio. Jonas scopre cosi emozioni e sensazioni che non aveva mai conosciuto prima e il loro peso minaccia di schiacciarlo. Scopre la neve, le stagioni, i colori, l'affetto e l'amore ma anche la sofferenza, il dolore, la guerra, la morte. Scopre cose terribili e inizia a farsi domande sul suo mondo: vivere cosi e davvero la cosa migliore per tutti? La goccia che fa traboccare il vaso e collegata a Gabe,un vivace bambino di cui si occupa suo padre,condannato al congedo perche ritenuto inadatto ad essere affidato ad una famiglia. Questo libro mi ha davvero stregato. Creare un mondo dal nulla e sempre una prova dura per uno scrittore e pochi ci sono riusciti davvero: Lois Lowry e tra questi. Attraverso le sue parole mi ha catapultato in questo mondo tutto nuovo e incredibile che a prima vista sembra perfetto,senza malattie,senza cattiveria,ma che pagina dopo pagina si rivela per quel che e davvero:una crudele dittatura in cui il pensiero individuale e le emozioni non sono permesse. Immaginate di non poter scegliere chi sposare, quanti figli avere, che lavoro fare, di non provare emozioni di nessun tipo. Certo cosi si eliminano cose negative come la disonesta, l'egoismo, le bugie ma anche l'amore e tutti i buoni sentimenti. Queste persone sono quasi automi. Fanno quel che devono fare e seguono le regole,meccanicamente,senza mai provare noia o frustazione. Questa societa e asettica,come un ospedale, e fredda e vuota. E nessuno vorrebbe vivere in un ospedale sapendo com'e vivere davvero. Un libro adatto ai piu giovani,ma non solo!",4,0.2,-0.714,0.42,2.268
"489",489,"I have to admit, I really didnt like it.",2,0.1,1,-0.132,2.264
"65",65,"Love Pam Munoz Ryan books, but the audio of this ethereal story wasn't a good match for sitting in traffic. Will swap the audio for the book.",0,0.6,1,-0.13,2.26
"390",390,"This would be a great book for boys (and tom-boys). It is a story where a boy, Brian, gets stranded in the woods near a lake after a plane crash. The author does a good job describing survival techniques which would pique kids' interest. Very naturalist/survivalist. 
 My problems were how the author made Brian double-triple repeat his thoughts and how some of the situations were too improbable. For example, a moose stampeding him into the lake and as soon as he crawls out a tornado explodes around him. Brian actually thought, ""I hope the tornado hit the moose."" REALLY?! Another issue I have is ""The Secret"" Brian is harboring. What is this terrible secret? His mom was in a car kissing another man before his parents divorced. I am not sure the point except to give a reason why he was taking a plane trip to see his dad in Canada. It ruins the flow of the story especially when he has some dramatic moment and then ponders about ""The Secret"". Gag me. What kid (boy) wants to think of his mom kissing a man, even if it was his father, which it wasn't? Another problem I had was the audio book music that seemed to come about to remind you that you should feel emotional during a scene. Give me a break. All it did was make it harder to hear the narrator, who I did like. And it was 70s drama muzak. Completely distracting.",2,-0.067,-0.273,0.835,2.216
"208",208,"Ok this is a sort of fun storybook about Froggy having a plan, recruiting help and carrying it out. I had a few concerns. Firstly there are quite a lot of safety issues! It is inspirational to go and get a saw and hammer and get building but Although Froggy has accidents and near accidents, it's all a bit risky and dangerous! There are no suggestions how to improve the safety of the plan! Also this is completely sexist - the girls are told to go away and are not allowed to help apart from to provide food! Not such a great story then!",1,0.218,0.25,-0.855,2.21
"245",245,"I was trying to read this in order to then encourage my kids to read it, but I just can't bear to finish this book myself. The story is just not engaging to me.",1,0.4,1,-0.104,2.208
"325",325,"This book tries to be cute with words like Dr. Seuss but fails, and the story itself is neither clever nor whimsical.",1,0.2,0.5,-0.602,2.204
"933",933,"HAHAHAHAHAHA wtf I love it",5,-0.1,1,0.103,2.2
"73",73,"Laura's appreciation for the harmony in her home contrasted with Mrs.Brewster's stormy house was good for me. beware the chapter about the knife in the dark if reading for your kids!",0,0.5,-0.25,0.848,2.196
"261",261,"Diving back into the stack of Diana Wynne Jones books from my kind friend who evidently has an endless supply.In Cranbury-on-Sea Aunt Maria rules with a rod of sweetness far tougher than iron and deadlier than poison. Strange and awful things keep happening in Cranbury. Why are all the men apparently gray-suited zombies? Why do all the children -- if you ever see them -- behave like clones? And what has happened to Mig's brother, Chris? Could gentle, civilized Aunt Maria, with her talk and daily tea parties, possibly have anything to do with it?More as I go... 
 I never thought I'd see the day when I was actively bored (if there is such a term) by a book by this author, but that day has come. As my friend warned me, Diana Wynne Jones wrote a lot of books and some are much worse than the ones I already had read. 
 In this case, I found the story-telling style meandering and it took much too long to get to the actual story. Again, this is a book for younger readers so perhaps that has something to do with it, but I've enjoyed some of her books aimed at that audience quite a bit. At any rate, nine thumbs down on this one.",1,-0.225,0.053,0.869,2.188
"810",810,"I really liked this! It was great getting to know the author on a more personal level and seeing how various little incidents throughout his life influenced his work. What striked me most about it is the subtle dark tone in some chapters especially those detailing the horrors children faced in schools back then. Dahl didn't shy away from tackling such dark themes and was sure not to make light of them,even when it seemed he was masking them with humor, I think it was just dark cynicism. Overall this was an immensely interesting read and I would especially recommend it to fans of Dahl's work.",4,0.229,-0.2,0.894,2.188
"375",375,"I'm not a big fan of epistolary novels. This book didn't turn me into a fan. While the character names are pretty amusing (Ignatius B. Grumply -- mean-spirited author, Anita Sale -- real estate agent, Olive C. Spense -- ghost), that's where my enjoyment ended. I can't see the patrons at my library being truly amused by this book because it's a ghost story without being scary. There's no suspense. No gore. And there's not even a doubt about the development of the plot. I finished the book only because I dislike leaving things undone. Many people mentioned Lemony Snicket, which is somewhat fair. But I found the Lemony Snicket books to be really witty. And this wasn't. 
 Wait, there are two good things about this book -- the illustrations are cute.",2,0.12,-0.125,0.946,2.142
"396",396,"An excerpt from the author's bio: '""The Loneliest Robot"" was released in 2017 and is a highly original and imaginative work of fiction which challenges modern life and technology.' 
 Wall-E did it better. 
 Every page before the timeskip had a genuine and warm affect of a coming of age story that address the problems of technology and consumerism in a modern-esque world. What's refreshing about this story is that it directly addresses the disconnect that techonology has on human interactions and relationships. It could be a good read for the stated audience in the description above (""especially frustrated parents of technology-addicted children!""). I'll keep this review short and sweet. 
 Firstly, the story is devoid of character development, mind the robot UMA who naturally learns more about humans, love, etc. as the story goes on. My main problem is the development of Robert. While this book is aimed at young adult population, it does not excuse the poor character development of Robert that occurs after the timeskip. To keep this short, it took a direction that I personally felt was a betrayal of character for the sake of the narrative, rather than flushing out the character we were introduced to in the beginning. And yeah, I'm down with characters pulling a complete 180 and become unlikable, but only when it's done properly. Unfortunately, this isn't the case for Robert. 
 Another issue I had is the reptition of the concepts of technology and consumerism that became quite the nuisance. Yeah, it's toted as a ""dark comedy,"" but it became tiring after awhile, especially when the ideas remain static and unexplored. I get that a satire needs to hit on those points and be critical of it, but the story falls flat in trying to convey the purposeful and impactful message the author originally intended. 
 I wanted to like this book, I really did. My overall impression of the story is that it had a lot of potential, but gets lost in the redundant exaggeration of the concepts it tries to criticize, becoming silly after awhile. Do note that the abandonment of a key feature of the story is not revisited until the very end of the story, which ultimately led to my personal dissapointment in the direction of the story. I will say that it is an OK novel, and would at the very least recommend it to support a new author with good intentions.",2,0.064,-0.118,0.946,2.128
"278",278,"I hated this book. It is the most repetitive book I have ever read. I had to read this book for school and I guess it has some good life lessons in there. However, I still think that this was possibly one of my least favorite books of all time.",1,0.133,0.333,-0.725,2.116
"606",606,"E ARC from Edelweiss Above the Treeline 
 Ken and Dan like hanging out with their other geeky friends, and often construct things out of rubber bands and chopsticks. When Ken finds a box on his porch, he figures it is something fun to construct that his grandfather must have left. He calls Dan, and the two follow the directions until they have a rough idea that the project is a robot. Unfortunately, the two have to go out and hunt down Ken's dog... and when they get back, the robot has finished putting itself together! Greeeeg is also demanding ""all the comestibles"" and stows these in his stomach section, which he mysteriously empties quickly and wants to refill again. John Henry and Jerry also gets a robots, and they, too demand food. Before long, the robots are on the warpath to find things to eat, working their collective way to a grocery store and wreaking havoc. Ken is still confused about where the robots came from, but he knows they are dangerous-- they process the food, turning it into highly compacted squares that they can fire out of their hindquarters with great intensity! Eventually, the boys work together to find a way to disable the robots and manage to avert disaster, and even figure out the origin and use of the machines. 
 Strengths: I loved that the robots were a project gone awry and was something that had the remote possibility of actually happening. The fact that the had ballistic farts didn't hurt. There are lots of funny lines (""He shrieked like a terrified ferret."") and slightly goofy if terrifying robot antics. The cover is great and will cause a lot of reluctant readers to pick up the book and hopefully get caught up in the story. I know I enjoyed it. 
 Weaknesses: This looks like it should have interior illustrations but only has them at the beginning of chapters. There's not a lot of character development, and I wish that the grandfather had somehow gotten more involved with the project. I'm a little surprised this isn't included in the MAX line up. 
 What I really think: There just aren't enough robot books out there, and this was a really good one. It was somewhat realistic, didn't have the quirky names of Robots Rule or the flippancy of House of Robots or Frank Einstein.",3,0.13,-0.086,0.97,2.112
"449",449,"I found this tedious. It seemed to go on for a very long time, and I'm not sure the argument over who is ""the best"" is something I really want my kids dwelling on.",2,0.4,-0.333,0.722,2.11
"451",451,"** spoiler alert ** 
 I really really enjoyed the first two books but honestly this one really let me down. I did like how dark it was, but the plot was was too repetitive. Parts that were exciting were short and parts that were boring and dull were long. 
 I was also really disappointed in how Emily changed. She started as such a outspoken and strong women, and ended up as a shell of the person she was who let self doubt and other people opinions stop her doing what she wanted to do. It was such a departure from the previous two books and really didn't fit with the character development of the rest of the series. 
 The romance in this made me want to bang my head against the wall. JUST TALK TO EACH OTHER! If they loved each other so much why wouldn't they say something or try to make it work?!? Stupid! Also Emily and Ilse need slaps for doing that to those two boys. Mean is what that was. 
 However I was happy that Emily cast Dean off! He's been a thorn in my side this whole series! He pretty much groomed her from childhood, which was super creepy! Then was so controlling of her when she finally gave up and got with him. What he said about her writing was despicable! 
 I'm glad the ending happened the way that it did, but it was so rushed. It didn't seem real or fleshed out at all. ""Oh Teddy's back! The end!"" Come on I need more than that L. M.. 
 In the end I feel like this was a book written out of obligation and not love. It was pretty poorly done compared to her other works and honestly felt like I was reading a first draft of a novel. I liked that things didn't always work out for the characters and that they weren't always happy. But expressing this could have been done a lot better. Overall very weak ending to a series and I feel very disappointed. 
 Update: I lowered the star rating from a 3 to a 2 as I thought more about it. It had too many problems to merit a 3 star rating.",2,0.159,-0.053,0.991,2.088
"18",18,"Cookbook on trial, the ratings of recipes will appear as tried. 
 p. 22 - 5 stars - Blueberry pancakes - a bit simplistic, but fast, easy, and well within abilities of a 6 year old. It even allows for evening preparation, which leaves for the morning only combining two jars and frying = breakfast. 
 p. 98 - 2 stars - Chocolate brownies - too dry.",0,0.3,-0.2,0.84,2.08
"474",474,"Mallory is thrilled to be taking a ""Short Takes"" class in children's literature, her favorite topic, but to her surprise, the class quickly becomes her least favorite. The class is 100% in-class discussion and participation, and the teacher, a coach, doesn't call on her, even though she raises her hand for most of the class. When she finally does get a chance to talk, he doesn't give her time to think, and she sounds stupid. She theorizes that he is much more lenient with the boys. Meanwhile, she is also finding it difficult to voice her opinions in sixth-grade council meetings, since the president is so cute and the treasurer, a dopey girl, agrees with everything he says and asserts ridiculous opinions such as ""Boys don't like pushy girls."" Mallory discovers an injustice she just can't ignore in the school accounting of past sixth-grade school gifts, and she forces herself to speak up. She then screws up her courage and asks for a meeting with her teacher, where she tells him she's noticed him giving more attention to the boys. He denies being sexist, but she notices him making an effort to be more egalitarian in his next class. 
 Mallory's characterization is extremely problematic in this book; although she's a long-established nerd, admittedly, her problems asserting herself seem out-of-character for the practical, mature, eldest-of-eight we usually know. She seems to be representing The Generic Girl, like someone did a survey of the things girls don't like in school, and just dumped them all on Mallory for one book to make a Point About Sexism In School, which is probably actually how this book was written. The problem is, they DO have a shy, unassertive character who hates being the center of attention and would certainly do poorly in a class-participation centered class, and that is Mary Anne! 
 Lingering Questions: I don't understand how the ""Short Takes"" program works. I understand it's supposed to allow students to take short-term classes in addition to their normal courseload, but how? and when? During study hall? It doesn't seem to be optional, and Mallory says specifically that the topic is the same for everybody, which seems dumb. It would require less coincidence if Mallory had chosen to study children's literature because she likes it so much. And how much worse when she discovers the class she chose is so hateful, and she could have been in a different one. Also, do sixth graders really give school gifts? Since Mallory is super-secretly in college now, I guess it doesn't matter. 
 Timing: April and early May 
 Revised Timeline: If the older crowd is in their senior year of college now, that puts Mallory in her sophomore year of same, so in this case Short Takes really means a college class.",2,0.007,0.07,-0.97,2.08
"678",678,"Yazul loves spending time making kites with his maternal grandfather, but he often feels torn between that enjoyment and his father's displeasure over his hobby. When bandits attack and lay siege to the family's compound, the family is close to dying from thirst and hunger until Yazul crafts a daring plan to outwit them with kites and explosive devices. The pen and watercolor illustrations of this book are just as appealing as the story itself. I particularly liked how Yazul is not perfect and makes plenty of mistakes and how conflicted he is in his family loyalties. Originally published in England, the book will make readers smile at Yazul's cleverness and how he tricks the bandits.",4,0.05,-0.158,0.876,2.068
"213",213,"This is not nearly so bad as I Am Henry Finch, which I read at the same time, but there is nothing lower than one star and I cannot justify giving this book two stars because it was most definitely NOT ok. Another seriously creepy offering from Deacon. I shudder to think what his childhood was like if he thinks these are children's books that are actually appropriate for children. And what's up with his obsession with ""beasts""?",1,-0.1,-0.429,0.597,2.052
"649",649,"The kids thought this book was really fun. The story begins with a monster, then proceeds to erase the monster away one part at a time, one page at a time, until the monster is gone. no more monstet to be afraid of.",3,0.067,-0.667,0.338,2.01
"14",14,"Extraordinary art.",0,0,1,0,2
"25",25,"# 
 NC 
 Own on Nook. In 50 Classic Books Volume Two. 
 FS: ""I have been asked to tell you about the back of the north wind."" 
 LS: ""I knew that he had gone to the back of the north wind.""",0,0,1,0,2
"28",28,"This ended well if nothing else can be said.",0,0,1,0.273,2
"46",46,"Bittersweet story",0,0,-1,-0.077,2
"104",104,"Um curso completo sobre a cultura dragoniana, com montes de ilustracoes e exercicios e detalhes fabulosos, adorei!",0,0,1,0,2
"107",107,"This educational book features the history, uses, and anatomy of apples. Also includes recipes and nutritional information.",0,0,1,0,2
"109",109,"Priceless",0,0,1,0,2
"113",113,"I finally bought my own copy. Wishy washy wishy washy . . .",0,0,-1,0,2
"139",139,"part of a series, so need to read the Birchbark books first, OK for middle graders",0,0,1,0.482,2
"140",140,"one of my all time favourites as a child.",0,0,1,0,2
"150",150,"Precisely portrays what really makes the flawless fete. 
 -Monty K.",0,0,1,0.552,2
"151",151,"A classic of Canadian literature",0,0,1,0,2
"161",161,"ok",0,0,1,0.34,2
"169",169,"Eyes on book. Butt on chair. 
 :(, I don't why I bought and read this book. Just feeling waste of time and money. 
 BTW: This is a very first book I purchased on Kindle.",1,0,-1,-0.318,2
"182",182,"This red neck re-telling of cinderella involves a pistol toting fairy godmother and an evening rollick at a rodeo.....maybe for you, but not for me! 
 This story was read to my kids at a library group for preschoolers....I thought that it was not an age appropriate choice. My children simply cannot relate to the sounds of gunfire and a pistol toting fairy....maybe more appropriate for a rodeo family... ;)",1,0,1,0.39,2
"224",224,"I couldn't finnish this book. 
 The style it was written in was very dissorientating and made me rather uncomfortable. 
 After reading the first 13 chapters I felt kind of dazed.",1,0,-1,-0.46,2
"233",233,"I'm surprised they haven't made this book into a movie. A HORROR movie.",1,0,-1,-0.547,2
"371",371,"What can I say... it's the book that came attached to everyone's first koosh ball. Well, maybe not everyone's, but it was back when it was easier to find a koosh with the book than to find one without. Lots of koosh games that assume you have access to many many kooshes.",2,0,1,0.643,2
"407",407,"A 2006 California Young Reader Medal Nominee. Does not work well as a read aloud. References to Elvis may not resonate with the target age group.",2,0,1,0.315,2
"411",411,"Didn't quite understand the Kitty Olympics interlude.",2,0,1,0,2
"426",426,"i prA!ncipi delle favole li ho trovati quasi sempre delle piattole, a prescindere. ma questo si impegna per batterli tutti. di azzurro qui c'A"" solo il telefono che chiamerebbe saint-exupA(c)ry se io dicessi quanto ho sempre sognato di scuotere per le spalle il poetico moccioso. 
 in piA1 A"" risaputo che dagli asteroidi seri vengono pericoli, come in goldrake, o astronavi come in capitan harlock. mica ragazzini che blaterano di rose, su.",2,0,1,0,2
"471",471,"Couldn't stay away from those delicious graduation day dollars, huh?",2,0,1,0.572,2
"502",502,"An unusual field trip driven by an unusual bus driver.",3,0,-1,0,2
"515",515,"Tasta poitsu tykkas niin kympilla etta piti lukea heti kaksi kertaa ja selailla viela lisaa.",3,0,-1,0,2
"528",528,"Overall this book was just okay but THE ENDING OMG",3,0,1,0.115,2
"530",530,"Too busy text.",3,0,-1,0,2
"531",531,"Aunque tarda mucho mas en leer este libro que el anterior (11 dias para ser exactos) este libro contiene una mejora notable imposible de negar.",3,0,1,0,2
"535",535,"Barton's simple yet expressive illustrations make this traditional story memorable, especially for two-year-olds. When she saw this book at the library, Anna asked to borrow it again, even though we had just returned it a week ago.",3,0,1,0,2
"537",537,"Foe Hoe Hoe Hoe, wat een leuk boek!",3,0,-1,-0.493,2
"618",618,"3.5 I enjoyed but wished I read back on childhood",3,0,1,0.285,2
"619",619,"And they all lived happily ever after.",3,0,1,0.557,2
"638",638,"I miss the historical notes and photos at the end of the book as they appeared in the earlier American Girl books. They added depth and background and made the books useful for teaching a historical period.",3,0,1,0.318,2
"655",655,"It was okay.",3,0,1,0.226,2
"671",671,"Charmingly told story in very simple chapters. The alligator is expressive and wonderfully drawn.",4,0,1,0.796,2
"676",676,"Ich liebe es, weil es meinen Namen hat. Und als eine Rebekka mit Doppel-K, liebe ich alles, was meinen Namen 'richtig' schreibt.",4,0,1,0,2
"701",701,"Bear wakes to a totally white world and wonders where the color has gone. Other animals start bringing their contributions to decorate the snow tree. Delightful woodland setting!",4,0,1,0.624,2
"717",717,"Part three in the series that began with my friend Flicka and continues as Ken grows up.",4,0,1,0.494,2
"732",732,"2010 Kane Press paperback series Animal Antics A to Z. A picture book story with a large number of words and names beginning with the letter ""E"" and a heart-warming story about friendship.",4,0,1,0.494,2
"771",771,"Richly evocative illustrations combine with a narrative infused with expressions of the time and place to take the reader to opening night at the Savoy.",4,0,1,0.44,2
"828",828,"Muito divertido",4,0,-1,0,2
"830",830,"These books are legendary in their amazingness and this is the poster child for the series.",4,0,1,0,2
"835",835,"4.5 stars. But is this all a metaphor for acceptance in society and whatnot, that is the real question.",4,0,1,0.612,2
"839",839,"My boys know this one by heart and dance when I read it!!!",5,0,1,0,2
"929",929,"Summary: 
 Audience: 
 Genre: 
 Use: 
 Life Lessons: 
 Recommendations/Awards: 
 Publisher:",5,0.6,1,0,2
"994",994,"The date I finished this book is an estimate based on the stairs I see in my mind's eye when I read the poem Halfway Down. Over 60 years after my mother read me these poems, I find I can still recite some of them from memory. I will be giving the copy I just bought to my grandson for his 3rd birthday. Will it still resonate with little ones or was it so special for me because my mother enjoyed it so much?",5,0,1,0.827,2
"340",340,"I am a big Cavanna fan but this one is too preachy and the heroine is annoyingly sorry for herself. Nor does she take any responsibility for her depressed younger brother. In general, Cavanna's siblings may squabble but they are protective of each other. However, I like the Concord setting and glimpses of local landmarks. A description of a Harvard party where everyone ends up at someone's parents' home dancing was a bit jarring, and seemed unlikely even in the 60s. Would a lot of Harvard students have been interested in high school girls?",2,0.167,-0.091,0.903,1.988
"386",386,"Did not really enjoy this one. Could see how it could hook reluctant readers but to me was just kind of dumb. Also didn't like language for intended age group",2,0.15,0,-0.844,1.988
